DateTime,AddedIPs,RemovedIPs
1529402820,1,1
1529406405,3,0
1529410024,2,2
1529413610,1,0
1529417205,1,1
1529420794,1,4
1529424414,0,1
1529428017,1,1
1529431606,2,2
1529435222,2,3
1529438806,1,0
1529442399,2,1
1529446013,0,1
1529449609,1,1
1529453234,1,1
1529456812,1,1
1529460390,2,1
1529463999,1,1
1529467612,0,1
1529471210,1,2
1529474817,5,2
1529478410,1,1
1529482023,1,1
1529485615,1,1
1529489216,2,2
1529492824,1,1
1529496402,1,2
1529500006,2,2
1529503613,2,2
1529507202,2,1
1529514430,0,1
1529518031,0,1
1529521653,2,1
1529525237,0,18
1529528811,8,6
1529532435,13,1
1529536008,3,1
1529539667,3,0
1529543323,0,1
1529546931,1,1
1529550426,1,2
1529554007,0,4
1529557620,2,0
1529561222,0,1
1529564807,2,0
1529568426,2,0
1529572018,1,2
1529575613,2,1
1529582806,1,1
1529586412,1,2
1529590020,3,1
1529593626,1,3
1529597234,1,2
1529600826,2,1
1529604431,1,3
1529608014,1,1
1529611588,1,0
1529615230,2,0
1529618814,2,3
1529622420,3,1
1529626044,0,2
1529629605,2,1
1529633227,0,2
1529636799,1,0
1529644020,2,2
1529647633,1,0
1529651225,0,1
1529654812,1,1
1529658419,2,2
1529662008,2,3
1529665630,1,0
1529669207,3,2
1529672815,2,2
1529676423,0,1
1529680002,1,1
1529683627,2,1
1529687198,3,1
1529690816,1,0
1529694418,1,2
1529698013,1,3
1529701623,1,1
1529705228,0,1
1529708837,0,1
1529712438,2,1
1529716007,1,4
1529719601,3,0
1529723192,1,0
1529726773,0,1
1529730392,1,2
1529733994,0,1
1529737587,1,0
1529741191,1,1
1529744792,1,0
1529748397,1,0
1529752004,0,2
1529755578,1,0
1529759190,1,0
1529762767,1,2
1529766410,1,1
1529769985,2,2
1529773613,0,1
1529777192,1,0
1529780804,1,1
1529784404,0,2
1529787985,1,2
1529791593,2,1
1529795180,1,0
1529798798,1,2
1529802389,2,1
1529806008,1,0
1529809601,2,1
1529813180,0,2
1529816800,2,0
1529820390,1,1
1529827586,2,1
1529831203,2,2
1529834812,2,2
1529838370,1,0
1529842011,2,5
1529845585,4,1
1529849200,1,2
1529852804,1,2
1529856379,2,1
1529860005,0,2
1529863585,1,2
1529867198,2,0
1529870791,1,2
1529874392,1,0
1529877988,3,1
1529881581,1,1
1529885213,1,1
1529888812,1,2
1529892422,1,2
1529896008,2,1
1529899592,1,3
1529903230,2,0
1529906805,2,1
1529910413,1,2
1529913991,1,2
1529917593,2,3
1529921201,1,1
1529924800,1,1
1529928405,2,2
1529932003,1,2
1529935595,2,0
1529939187,3,2
1529942806,2,1
1529946419,1,1
1529950023,1,1
1529953604,2,2
1529957188,1,3
1529960796,1,2
1529964406,1,2
1529968012,1,1
1529971608,2,1
1529975192,1,1
1529978797,1,1
1529982413,3,1
1529986005,1,2
1529989605,1,2
1529993204,1,0
1529996774,2,1
1530000363,1,2
1530003967,1,1
1530007560,0,2
1530011173,1,2
1530014770,2,0
1530018373,1,1
1530021967,1,0
1530025577,1,1
1530029162,1,2
1530032759,2,1
1530036370,2,3
