DateTime,AddedIPs,RemovedIPs
1530478332,7,7
1530480268,14,13
1530482175,6,3
1530484099,8,13
1530486981,11,17
1530488908,1,3
1530490811,11,5
1530492732,8,1
1530494690,15,13
1530496587,6,2
1530498514,19,12
1530500683,17,9
1530502575,2,2
1530504502,16,10
1530506429,1,4
1530508349,16,16
1530510299,1,1
1530512191,16,10
1530514098,2,1
1530516025,12,13
1530517969,4,2
1530519873,19,17
1530521722,8,0
1530523698,24,9
1530525658,4,4
1530528097,24,13
1530529952,27,13
1530531853,9,3
1530533786,24,19
1530535702,6,1
1530537616,25,13
1530539674,11,4
1530541714,26,13
1530543626,8,3
1530545542,25,19
1530547470,17,24
1530549372,5,3
1530551292,13,13
1530553226,2,5
1530555134,15,17
1530557048,4,3
1530558987,12,19
1530560893,8,3
1530562809,11,12
1530564786,1,6
1530566924,16,17
1530569016,16,12
1530571002,8,2
1530572911,9,11
1530574882,5,1
1530576776,10,10
1530578655,5,8
1530580655,12,14
1530582769,7,8
1530584652,14,19
1530586872,6,10
1530588749,22,12
1530590667,17,15
1530592722,7,0
1530594749,14,13
1530596652,2,1
1530598576,19,18
1530600514,3,3
1530602416,11,14
1530604358,5,5
1530606271,11,18
1530608193,5,8
1530610097,15,24
1530612096,1,10
1530614513,16,15
1530616365,17,28
1530618253,4,8
1530620438,18,26
1530622340,5,5
1530624271,23,20
1530626175,8,9
1530628113,29,27
1530630056,7,7
1530631968,21,28
1530633806,13,19
1530636409,10,6
1530638332,17,13
1530640407,2,2
1530642263,10,16
1530644183,3,4
1530646034,17,15
1530647916,6,7
1530649830,11,9
1530651761,15,15
1530654120,5,9
1530655948,14,14
1530657853,5,8
1530659782,15,10
1530661814,0,4
1530663863,17,9
1530665787,3,6
1530667719,13,14
1530670581,25,15
1530672494,1,4
1530674412,7,22
1530676337,4,4
1530678258,25,20
1530680176,1,1
1530682100,12,14
1530685054,16,15
1530686904,1,2
1530688822,15,12
1530690757,6,4
1530692659,19,11
1530695795,20,18
1530697711,4,2
1530700251,13,16
1530702265,15,14
1530704193,2,3
1530706378,18,19
1530708289,4,3
1530710269,21,26
1530712415,4,12
1530714450,8,28
1530716809,15,23
1530718817,3,7
1530720755,34,15
1530722683,5,7
1530724592,20,18
1530727006,3,5
1530728896,17,10
1530731788,18,17
1530733724,2,4
1530735619,24,13
1530737547,4,4
1530739502,13,16
1530741386,2,3
1530743310,18,16
1530745312,5,4
1530747169,9,13
1530749069,9,9
1530750995,2,10
1530752902,8,10
1530754813,1,4
1530756735,8,20
1530758672,4,3
1530760823,10,7
1530762737,2,4
1530764669,8,23
1530766569,4,6
1530768494,21,13
1530771393,12,15
1530773312,4,1
1530775271,20,19
1530777147,6,5
1530779056,24,18
1530781027,10,6
1530782953,14,17
1530784887,4,3
1530786741,17,11
1530788673,28,18
1530790841,9,2
1530792752,20,17
1530794659,8,3
1530796595,17,19
1530798521,3,4
1530800425,18,7
1530802359,8,3
1530804275,22,15
1530806200,6,3
1530808099,24,27
1530810992,28,23
1530812820,8,3
1530814822,20,16
1530816738,5,3
1530818682,14,18
1530820586,4,3
1530822753,15,20
1530825318,18,18
1530827305,4,2
1530829229,18,20
1530831180,2,3
1530833254,8,10
1530836192,13,9
1530838111,5,7
1530840025,12,8
1530841952,3,2
1530843864,16,7
1530845799,9,4
1530847713,10,14
1530849647,5,1
1530851557,20,6
1530853465,11,19
1530855403,2,7
1530857322,13,9
1530859217,3,3
1530861163,16,20
1530863075,5,8
1530865004,14,19
1530866926,2,9
1530868836,29,19
1530870757,2,1
1530872594,15,14
1530874596,3,15
1530876556,24,23
1530878483,6,8
1530880365,23,20
1530882288,18,14
1530884580,10,6
1530886579,13,18
1530888916,7,8
1530890903,25,23
1530893791,17,27
1530895699,9,7
1530897632,24,28
1530899585,8,9
1530901459,19,21
1530903375,6,4
1530905295,20,17
1530907265,8,4
1530909146,13,14
1530911120,14,14
1530913003,5,3
1530914920,14,15
1530916821,8,3
1530918747,6,7
1530920674,5,4
1530922581,12,11
1530924505,4,5
1530926417,11,10
1530928344,3,3
1530930275,13,16
1530932191,4,10
1530934095,12,11
1530936270,7,16
1530938195,3,10
1530940116,16,12
1530942028,5,2
1530943953,13,11
1530945882,3,3
1530947791,19,16
1530949704,8,6
1530951617,17,14
1530953590,5,1
1530955479,26,28
1530957473,2,4
1530959297,21,15
1530961257,1,2
1530963135,15,19
1530965071,22,26
1530967219,2,9
1530969157,27,20
1530971098,1,8
1530972988,28,13
1530975064,3,6
1530977327,20,24
1530979269,1,6
1530981163,18,13
1530983061,9,23
1530984992,6,7
1530986931,23,24
1530988814,3,6
1530990761,15,17
1530992700,4,10
1530994591,20,17
1530996520,4,2
1530998431,14,17
1531000359,5,4
1531002278,19,19
1531004914,19,7
1531006829,2,5
1531008983,18,14
1531011163,3,4
1531013086,11,12
1531014974,4,4
1531016916,7,13
1531019802,9,12
1531021720,0,3
1531023890,14,9
1531025781,3,3
1531027694,16,19
1531030600,16,16
1531032507,1,3
1531034439,9,19
1531036356,1,7
1531038272,10,16
1531040193,2,7
1531042096,21,23
1531045012,16,21
1531047196,3,2
1531049072,23,15
1531050974,1,4
1531052907,15,20
1531055802,19,29
1531057699,0,2
1531060250,17,26
1531062277,17,26
1531064306,3,2
1531066451,20,17
1531068390,3,2
1531070305,12,9
1531072473,4,3
1531074488,19,22
1531076507,26,17
1531078343,1,4
1531080270,21,21
1531082183,5,4
1531084342,21,12
1531086252,5,5
1531088438,14,15
1531090344,1,7
1531092265,14,18
1531094464,3,4
1531096358,17,17
1531098280,10,11
1531100416,2,2
1531102337,11,8
1531104335,3,4
1531106434,23,8
1531108354,2,0
1531110506,19,12
