DateTime,Entries,UniqueIPs
1530493742,8988,8988
1530495618,8987,8987
1530497613,8988,8988
1530499479,8988,8988
1530501392,8987,8987
1530503299,8791,8791
1530505350,8789,8789
1530507399,6929,6929
1530509332,6914,6914
1530511243,6936,6936
1530513174,6022,6022
1530515069,6080,6080
1530516984,6070,6070
1530518929,5861,5861
1530521118,5842,5842
1530522988,5844,5844
1530524899,5845,5845
1530527089,5837,5837
1530528969,5780,5780
1530530903,5190,5190
1530532904,5184,5184
1530534893,5182,5182
1530536700,5179,5179
1530538608,5093,5093
1530540499,5337,5337
1530542431,5367,5367
1530544348,5367,5367
1530546255,5422,5422
1530548192,5420,5420
1530550111,5423,5423
1530552014,3900,3900
1530553949,2768,2768
1530555854,2783,2783
1530557771,2791,2791
1530559706,2791,2791
1530561653,2923,2923
1530564341,2928,2928
1530566212,2931,2931
1530568098,2926,2926
1530570015,2925,2925
1530571955,2922,2922
1530573858,2923,2923
1530576066,2926,2926
1530577937,2926,2926
1530579886,2928,2928
1530581781,2932,2932
1530583970,2936,2936
1530585880,2935,2935
1530587785,2942,2942
1530589715,2944,2944
1530591649,2952,2952
1530593535,2936,2936
1530595474,2932,2932
1530597378,2927,2927
1530599295,2740,2740
1530601290,2752,2752
1530603152,2749,2749
1530605068,2751,2751
1530606980,2755,2755
1530608998,2910,2910
1530610816,2908,2908
1530613005,2909,2909
1530615194,2799,2799
1530617072,2799,2799
1530618982,2798,2798
1530620900,2799,2799
1530623780,2779,2779
1530625762,2780,2780
1530627611,2245,2245
1530629547,2137,2137
1530631456,2080,2080
1530633808,2081,2081
1530636411,2281,2281
1530638334,2281,2281
1530640409,2278,2278
1530642265,2262,2262
1530644185,2268,2268
1530646036,2269,2269
1530647919,2114,2114
1530649834,2110,2110
1530651763,2109,2109
1530654123,2076,2076
1530655951,2075,2075
1530657855,2077,2077
1530659784,2076,2076
1530661816,2472,2472
1530663866,4633,4633
1530665790,4973,4973
1530667721,4972,4972
1530669696,4972,4972
1530671607,4989,4989
1530673716,4990,4990
1530675646,4995,4995
1530677553,4992,4992
1530679520,4997,4997
1530681379,4996,4996
1530683308,4994,4994
1530685219,4995,4995
1530687132,4845,4845
1530689061,4846,4846
1530690982,4852,4852
1530692914,4850,4850
1530694911,4699,4699
1530696755,4697,4697
1530698687,4746,4746
1530701364,4734,4734
1530703224,4747,4747
1530705139,4746,4746
1530707058,4741,4741
1530708979,4743,4743
1530710989,4735,4735
1530713123,4736,4736
1530715866,4737,4737
1530717891,5171,5171
1530719794,6076,6076
1530721704,6701,6701
1530723684,7923,7923
1530725563,7923,7923
1530727896,7925,7925
1530729888,7929,7929
1530731791,7926,7926
1530733727,7928,7928
1530735622,7929,7929
1530737550,9385,9385
1530739505,9383,9383
1530741388,9384,9384
1530743312,9369,9369
1530745356,9386,9386
1530747172,9392,9392
1530749072,8251,8251
1530750998,6687,6687
1530752905,6691,6691
1530754816,6693,6693
1530756738,6690,6690
1530758674,6693,6693
1530760826,6692,6692
1530762740,6689,6689
1530764672,6698,6698
1530766572,6679,6679
1530768497,6680,6680
1530770488,6683,6683
1530772422,6687,6687
1530774291,6691,6691
1530776179,6688,6688
1530778114,6687,6687
1530780018,6686,6686
1530781940,6687,6687
1530783877,6660,6660
1530785738,6652,6652
1530787722,6655,6655
1530789617,6657,6657
1530791574,6904,6904
