DateTime,AddedIPs,RemovedIPs
1530493743,2,4
1530495619,2,3
1530497613,4,1
1530499479,4,5
1530501393,2,3
1530503299,3,199
1530505351,2,6
1530507399,115,1975
1530509332,6,25
1530511260,29,10
1530513175,63,976
1530515069,97,39
1530516984,3,15
1530518930,2,213
1530521118,1,19
1530522989,2,0
1530524900,3,4
1530527089,6,11
1530528969,18,75
1530530903,3,595
1530532911,7,12
1530534894,0,2
1530536701,1,6
1530538609,18,102
1530540499,245,1
1530542431,94,65
1530544348,2,1
1530546256,57,2
1530548192,3,3
1530550112,4,2
1530552015,2,1525
1530553950,4,1136
1530555855,15,2
1530557772,17,3
1530559707,5,4
1530561655,135,2
1530564342,12,10
1530566213,5,1
1530568099,10,13
1530570015,9,4
1530571955,6,8
1530573858,7,4
1530576082,4,1
1530577938,4,5
1530579886,5,2
1530581782,8,2
1530583970,7,4
1530585880,4,5
1530587786,11,2
1530589716,6,2
1530591649,10,2
1530593536,4,19
1530595475,5,7
1530597378,9,13
1530599295,8,197
1530601290,21,6
1530603152,0,4
1530605068,4,1
1530606981,8,3
1530608998,160,1
1530610817,4,4
1530613005,3,5
1530615194,6,116
1530617072,3,3
1530618983,4,6
1530620901,3,1
1530622889,4,25
1530624762,10,6
1530626790,7,537
1530628827,4,113
1530630735,2,3
1530632555,6,58
1530634622,25,3
1530637368,182,3
1530639300,3,3
1530641299,1,8
1530643403,11,22
1530646037,15,8
1530647919,2,158
1530649834,2,5
1530651764,12,11
1530654123,3,37
1530655951,5,12
1530657856,6,5
1530659785,4,7
1530661817,400,5
1530663866,2164,2
1530665790,342,2
1530667722,3,5
1530669697,7,2
1530671608,19,3
1530673717,8,6
1530675647,7,3
1530677554,2,6
1530679521,33,29
1530681379,4,4
1530683308,3,5
1530685219,3,1
1530687132,2,154
1530689061,2,3
1530690982,6,1
1530692914,2,8
1530694911,1,155
1530696756,2,7
1530698688,50,1
1530701364,5,15
1530703225,15,0
1530705140,4,4
1530707058,0,6
1530708980,5,2
1530710989,4,13
1530713124,5,8
1530715866,7,6
1530717891,438,2
1530719795,911,5
1530721704,803,176
1530723684,1221,3
1530725564,1,2
1530727897,5,1
1530729888,8,6
1530731791,9,10
1530733728,5,3
1530735622,4,2
1530737551,1459,4
1530739506,5,7
1530741390,4,2
1530743313,9,23
1530745356,20,2
1530747172,9,3
1530749072,8,1148
1530750998,11,1574
1530752905,6,4
1530754817,5,3
1530756739,7,13
1530758675,8,2
1530760827,9,11
1530762740,3,6
1530764672,14,3
1530766572,10,29
1530768497,3,5
1530770495,5,3
1530772423,9,4
1530774291,7,1
1530776179,2,4
1530778114,2,4
1530780019,4,3
1530781940,4,2
1530783878,10,36
1530785739,1,10
1530787722,5,3
1530789617,4,2
1530791575,250,3
1530793455,2,3
1530795686,5,4
1530797561,5,4
1530799469,2,4
1530801393,3,6
1530803327,10,54
1530805236,23,803
1530807190,3,450
1530809064,4,1
1530810996,5,4
1530812823,2,5
1530814825,3,6
1530816741,1,8
1530818686,2,13
1530820589,4,3
1530822757,19,1250
1530825322,4,590
1530827308,38,5
1530829232,1106,10
1530831183,2187,2
1530833258,2,8
1530835301,3,9
1530837176,3,1930
1530839075,11,92
1530840993,3,1
1530842908,4,20
1530844840,3,5
1530846769,3,6
1530848674,9,4
1530850607,0,37
1530852503,5,5
1530854437,5,1
1530856375,1,4
1530858264,7,5
1530860192,1,7
1530862121,7,3
1530864091,8,1
1530865966,1,2
1530867894,2,4
1530869814,1,7
1530871961,2,39
1530874114,6,198
1530876035,2,22
1530877970,4,477
1530879882,5,2
1530881788,453,3
1530884583,17,4
1530886583,4,2
1530888920,4,11
1530890907,2,25
1530892909,4,2
1530894758,25,5
1530896710,16,169
1530898582,26,3
1530900532,3,3
1530902434,4,1
1530904484,6,2
1530906300,5,3
1530908194,6,5
1530910102,5,10
1530912052,1,3
1530913946,4,25
1530915875,6,1458
1530917794,4,1956
1530919724,29,5
1530921708,6,3
1530923565,4,4
1530925496,7,12
1530927402,4,3
1530929315,5,4
1530931219,6,3
1530933152,6,3
1530935097,9,10
1530936973,96,0
1530938910,5,5
1530941071,8,5
1530942990,623,1
1530944917,7,8
1530946891,7,1
1530948776,7,8
1530950701,3,6
1530952580,4,3
1530954507,5,2
1530956426,3,1
1530958600,2,3
1530960501,7,5
1530962423,1,3
1530964384,4,4
1530966279,4,5
1530968196,6,454
1530970097,8,70
1530972103,8,3
1530973950,5,4
1530975862,110,2
1530977785,576,4
1530979735,3,5
1530981619,4,27
1530983586,1479,17
1530985518,543,30
1530987392,4,4
1530989325,3,5
1530991217,8,6
1530993147,2,1
1530995074,4,6
1530996982,6,2
1530998895,24,1
1531000922,20,4
1531002761,15,4
1531004917,14,7
1531006832,11,25
1531008986,3,8
1531011166,6,5
1531013089,4,5
1531014977,1,9
1531016920,22,5
1531018905,3,4
1531020768,3,10
1531022687,7,39
1531024844,37,52
1531026761,4,4
1531028689,22,449
1531030603,4,7
1531032509,116,7
1531034442,5,3
1531036358,153,5
1531038274,244,2
1531040196,2,5
1531042100,3,4
1531044096,6,2
1531046195,14,3
1531048130,8,6
1531050034,8,2
1531051948,34,5
1531053861,6,3
1531055805,27,9
1531057701,38,4
1531060252,8,8
1531062280,5,193
1531064309,4,597
1531066454,1,2
1531068393,5,9
1531070308,3,4
1531072476,5,3
1531074491,5,6
1531076510,145,7
1531078346,898,4
1531080273,7,3
1531082185,3,7
1531084345,2,4
1531086255,4,16
1531088441,1,3
1531090346,4,17
1531092268,3,9
1531094518,12,7
1531096361,2,6
1531098283,5,4
1531100419,4,1
1531102340,2,2
1531105466,3,6
1531107375,2,3
1531109322,2,6
1531111495,11,37
1531113410,2,3
1531115309,259,22
1531117225,4,5
1531119146,626,16
1531121070,4,5
1531122994,5,150
1531124896,1,221
1531126898,8,2
1531128743,4,4
1531130676,18,3
1531132587,2,14
1531134524,1,8
1531136417,3,8
1531138593,5,36
1531140504,4,6
1531142437,1,32
1531144412,2,37
1531146278,1,4
1531148198,2,8
1531150100,106,5
1531152096,2,0
1531153951,5,2
1531155882,2,99
1531157840,3,3
1531159897,2,5
1531161877,0,2
1531163797,3,728
1531166002,6,8
1531167882,3,6
1531169839,8,3
1531171713,15,6
1531173683,7,16
1531175547,24,3
1531177470,4,4
1531179624,4,10
1531181539,7,5
1531183507,4,3
1531185439,3,5
1531187313,4,4
1531189240,10,3
1531192594,4,2
1531194510,6,3
1531196426,5,2
1531198579,5,7
1531200496,5,1227
1531202503,4,1056
1531204359,4,698
1531206263,3,319
1531208180,5,5
1531210106,7,2
1531212031,28,6
1531213953,5,4
1531215856,5,2
1531217799,3,24
1531219697,8,0
1531221629,10,2
1531223613,10,4
1531225472,8,4
1531227372,0,2
1531229567,85,58
1531231474,2,2
1531233391,8,4
1531235311,4,3
1531237241,91,119
1531239198,906,3
1531241087,215,3
1531242993,3,4
1531244901,4,3
1531246818,3,1
1531248751,3,2
1531250728,3,2
1531252619,46,6
1531254507,6,5
1531256499,7,8
1531258355,7,36
1531260286,3,8
1531262198,4,9
1531264130,4,3
1531266019,1,5
1531267970,6,9
1531269856,3,4
1531271785,5,2
1531273712,5,3
1531275632,3,11
1531277601,9,4
1531279456,3,1
1531281382,2,7
1531283563,4,3
1531285730,4,5
1531287683,0,4
1531289548,3,5
1531291481,4,11
1531293415,4,4
1531295312,6,2
1531297232,5,8
1531299155,2,26
1531301067,0,6
1531302998,3,3
1531304901,6,4
1531306901,7,8
1531308773,7,10
1531310689,5,7
1531312591,1,7
1531314514,0,79
1531316439,3,6
1531318367,4,4
1531320306,3,6
1531322193,1,3
1531324113,2,97
1531326406,4,1116
1531328494,4,4
1531330347,4,4
1531332261,5,3
1531334428,5,8
1531336358,3,3
1531338280,2,75
1531340195,3,5
1531342111,8,9
1531344031,5,4
1531345956,42,8
1531348105,3,5
1531350097,2,2
1531351941,4,4
1531353876,5,5
1531355789,7,4
1531357721,4,4
1531359615,3,7
1531361558,2,6
1531363467,0,10
1531365403,8,3
1531367300,3,2
1531369215,5,5
1531371158,8,1
1531373054,5,3
1531374993,3,2
1531376897,10,4
1531378890,2,4
1531380744,1,7
1531382677,6,6
1531384588,6,0
1531386524,5,3
1531388414,3,1
1531390355,5,8
1531392298,152,4
1531394189,3,9
1531396109,3,8
1531398034,3,1
1531399999,9,0
1531401882,44,1
1531403787,4,5
1531405699,156,3
1531407692,349,3
1531409554,2,3
1531411502,6,3
1531413414,5,3
1531415292,2,3
1531417227,6,4
1531419136,3,4
1531421050,3,5
1531422992,0,1
1531425161,5,5
1531427055,4,5
1531429008,8,6
1531430917,4,6
1531434402,11,28
1531436202,27,1
1531438090,2,5
1531440101,4,5
1531441939,4,6
1531443868,8,5
1531445773,5,3
1531447711,3,2
1531449611,5,0
1531451560,1,8
1531453462,1,3
1531455636,6,2
1531457555,1,9
1531459487,4,5
1531462609,4,6
1531464500,4,10
1531466432,5,0
1531468362,2,2
1531470263,3,5
1531472196,6,7
1531474110,3,5
1531476100,1,1
