DateTime,Entries,UniqueIPs
1530493743,9036,9036
1530495619,9035,9035
1530497613,9038,9038
1530499479,9037,9037
1530501393,9036,9036
1530503299,8840,8840
1530505351,8836,8836
1530507399,6976,6976
1530509332,6957,6957
1530511260,6976,6976
1530513175,6063,6063
1530515069,6121,6121
1530516984,6109,6109
1530518930,5898,5898
1530521118,5880,5880
1530522989,5882,5882
1530524900,5881,5881
1530527089,5876,5876
1530528969,5819,5819
1530530903,5227,5227
1530532911,5222,5222
1530534894,5220,5220
1530536701,5215,5215
1530538609,5131,5131
1530540499,5375,5375
1530542431,5404,5404
1530544348,5405,5405
1530546256,5460,5460
1530548192,5460,5460
1530550112,5462,5462
1530552015,3939,3939
1530553950,2807,2807
1530555855,2820,2820
1530557772,2834,2834
1530559707,2835,2835
1530561655,2968,2968
1530564342,2970,2970
1530566213,2974,2974
1530568099,2971,2971
1530570015,2976,2976
1530571955,2974,2974
1530573858,2977,2977
1530576082,2980,2980
1530577938,2979,2979
1530579886,2982,2982
1530581782,2988,2988
1530583970,2991,2991
1530585880,2990,2990
1530587786,2999,2999
1530589716,3003,3003
1530591649,3011,3011
1530593536,2996,2996
1530595475,2994,2994
1530597378,2990,2990
1530599295,2801,2801
1530601290,2816,2816
1530603152,2812,2812
1530605068,2815,2815
1530606981,2820,2820
1530608998,2979,2979
1530610817,2979,2979
1530613005,2977,2977
1530615194,2867,2867
1530617072,2867,2867
1530618983,2865,2865
1530620901,2867,2867
1530622889,2846,2846
1530624762,2850,2850
1530626790,2320,2320
1530628827,2211,2211
1530630735,2210,2210
1530632555,2158,2158
1530634622,2180,2180
1530637368,2359,2359
1530639300,2359,2359
1530641299,2352,2352
1530643403,2341,2341
1530646037,2348,2348
1530647919,2192,2192
1530649834,2189,2189
1530651764,2190,2190
1530654123,2156,2156
1530655951,2149,2149
1530657856,2150,2150
1530659785,2147,2147
1530661817,2542,2542
1530663866,4704,4704
1530665790,5044,5044
1530667722,5042,5042
1530669697,5047,5047
1530671608,5063,5063
1530673717,5065,5065
1530675647,5069,5069
1530677554,5065,5065
1530679521,5069,5069
1530681379,5069,5069
1530683308,5067,5067
1530685219,5069,5069
1530687132,4917,4917
1530689061,4916,4916
1530690982,4921,4921
1530692914,4915,4915
1530694911,4761,4761
1530696756,4756,4756
1530698688,4805,4805
1530701364,4795,4795
1530703225,4810,4810
1530705140,4810,4810
1530707058,4804,4804
1530708980,4807,4807
1530710989,4798,4798
1530713124,4795,4795
1530715866,4796,4796
1530717891,5232,5232
1530719795,6138,6138
1530721704,6765,6765
1530723684,7983,7983
1530725564,7982,7982
1530727897,7986,7986
1530729888,7988,7988
1530731791,7987,7987
1530733728,7989,7989
1530735622,7991,7991
1530737551,9446,9446
1530739506,9444,9444
1530741390,9446,9446
1530743313,9432,9432
1530745356,9450,9450
1530747172,9456,9456
1530749072,8316,8316
1530750998,6753,6753
1530752905,6755,6755
1530754817,6757,6757
1530756739,6751,6751
1530758675,6757,6757
1530760827,6755,6755
1530762740,6752,6752
1530764672,6763,6763
1530766572,6744,6744
1530768497,6742,6742
1530770495,6744,6744
1530772423,6749,6749
1530774291,6755,6755
1530776179,6753,6753
1530778114,6751,6751
1530780019,6752,6752
1530781940,6754,6754
1530783878,6728,6728
1530785739,6719,6719
1530787722,6721,6721
1530789617,6723,6723
1530791575,6970,6970
1530793455,6969,6969
1530795686,6970,6970
1530797561,6971,6971
1530799469,6969,6969
1530801393,6966,6966
1530803327,6922,6922
1530805236,6142,6142
1530807190,5695,5695
1530809064,5698,5698
1530810996,5699,5699
1530812823,5696,5696
1530814825,5693,5693
1530816741,5686,5686
1530818686,5675,5675
1530820589,5676,5676
1530822757,4445,4445
1530825322,3859,3859
1530827308,3892,3892
1530829232,4988,4988
1530831183,7173,7173
1530833258,7167,7167
1530835301,7161,7161
1530837176,5234,5234
1530839075,5153,5153
1530840993,5155,5155
1530842908,5139,5139
1530844840,5137,5137
1530846769,5134,5134
1530848674,5139,5139
1530850607,5102,5102
1530852503,5102,5102
1530854437,5106,5106
1530856375,5103,5103
1530858264,5105,5105
1530860192,5099,5099
1530862121,5103,5103
1530864091,5110,5110
1530865966,5109,5109
1530867894,5107,5107
1530869814,5101,5101
1530871961,5064,5064
1530874114,4872,4872
1530876035,4852,4852
1530877970,4379,4379
1530879882,4382,4382
1530881788,4832,4832
1530884583,4845,4845
1530886583,4847,4847
1530888920,4840,4840
1530890907,4817,4817
1530892909,4819,4819
1530894758,4839,4839
1530896710,4686,4686
1530898582,4709,4709
1530900532,4709,4709
1530902434,4712,4712
1530904484,4716,4716
1530906300,4718,4718
1530908194,4719,4719
1530910102,4714,4714
1530912052,4712,4712
1530913946,4691,4691
1530915875,3239,3239
1530917794,1287,1287
1530919724,1311,1311
1530921708,1314,1314
1530923565,1314,1314
1530925496,1309,1309
1530927402,1310,1310
1530929315,1311,1311
1530931219,1314,1314
1530933152,1317,1317
1530935097,1316,1316
1530936973,1412,1412
1530938910,1412,1412
1530941071,1415,1415
1530942990,2037,2037
1530944917,2036,2036
1530946891,2042,2042
1530948776,2041,2041
1530950701,2038,2038
1530952580,2039,2039
1530954507,2042,2042
1530956426,2044,2044
1530958600,2043,2043
1530960501,2045,2045
1530962423,2043,2043
1530964384,2043,2043
1530966279,2042,2042
1530968196,1594,1594
1530970097,1532,1532
1530972103,1537,1537
1530973950,1538,1538
1530975862,1646,1646
1530977785,2218,2218
1530979735,2216,2216
1530981619,2193,2193
1530983586,3655,3655
1530985518,4168,4168
1530987392,4168,4168
1530989325,4166,4166
1530991217,4168,4168
1530993147,4169,4169
1530995074,4167,4167
1530996982,4171,4171
1530998895,4194,4194
1531000922,4210,4210
1531002761,4221,4221
1531004917,4228,4228
1531006832,4214,4214
1531008986,4209,4209
1531011166,4210,4210
1531013089,4209,4209
1531014977,4201,4201
1531016920,4218,4218
1531018905,4217,4217
1531020768,4210,4210
1531022687,4178,4178
1531024844,4163,4163
1531026761,4163,4163
1531028689,3736,3736
1531030603,3733,3733
1531032509,3842,3842
1531034442,3844,3844
1531036358,3992,3992
1531038274,4234,4234
1531040196,4231,4231
1531042100,4230,4230
1531044096,4234,4234
1531046195,4245,4245
1531048130,4247,4247
1531050034,4253,4253
1531051948,4282,4282
1531053861,4285,4285
1531055805,4303,4303
1531057701,4337,4337
1531060252,4337,4337
1531062280,4149,4149
1531064309,3556,3556
1531066454,3555,3555
1531068393,3551,3551
1531070308,3550,3550
1531072476,3552,3552
1531074491,3551,3551
1531076510,3689,3689
1531078346,4583,4583
1531080273,4587,4587
1531082185,4583,4583
1531084345,4581,4581
1531086255,4569,4569
1531088441,4567,4567
1531090346,4554,4554
1531092268,4548,4548
1531094518,4553,4553
1531096361,4549,4549
1531098283,4550,4550
1531100419,4553,4553
1531102340,4553,4553
1531105466,4550,4550
1531107375,4549,4549
1531109322,4545,4545
1531111495,4519,4519
1531113410,4518,4518
1531115309,4755,4755
1531117225,4754,4754
1531119146,5364,5364
1531121070,5363,5363
1531122994,5218,5218
1531124896,4998,4998
1531126898,5004,5004
1531128743,5004,5004
1531130676,5019,5019
1531132587,5007,5007
1531134524,5000,5000
1531136417,4995,4995
1531138593,4964,4964
1531140504,4962,4962
1531142437,4931,4931
1531144412,4896,4896
1531146278,4893,4893
1531148198,4887,4887
1531150100,4988,4988
1531152096,4990,4990
1531153951,4993,4993
1531155882,4896,4896
1531157840,4896,4896
1531159897,4893,4893
1531161877,4891,4891
1531163797,4166,4166
1531166002,4164,4164
1531167882,4161,4161
1531169839,4166,4166
1531171713,4175,4175
1531173683,4166,4166
1531175547,4187,4187
1531177470,4187,4187
1531179624,4181,4181
1531181539,4183,4183
1531183507,4184,4184
1531185439,4182,4182
1531187313,4182,4182
1531189240,4189,4189
1531192594,4191,4191
1531194510,4194,4194
1531196426,4197,4197
1531198579,4195,4195
1531200496,2973,2973
1531202503,1921,1921
1531204359,1227,1227
1531206263,911,911
1531208180,911,911
1531210106,916,916
1531212031,938,938
1531213953,939,939
1531215856,942,942
1531217799,921,921
1531219697,929,929
1531221629,937,937
1531223613,943,943
1531225472,947,947
1531227372,945,945
1531229567,972,972
1531231474,972,972
1531233391,976,976
1531235311,977,977
1531237241,949,949
1531239198,1852,1852
1531241087,2064,2064
1531242993,2063,2063
1531244901,2064,2064
1531246818,2066,2066
1531248751,2067,2067
1531250728,2068,2068
1531252619,2108,2108
1531254507,2109,2109
1531256499,2108,2108
1531258355,2079,2079
1531260286,2074,2074
1531262198,2069,2069
1531264130,2070,2070
1531266019,2066,2066
1531267970,2063,2063
1531269856,2062,2062
1531271785,2065,2065
1531273712,2067,2067
1531275632,2059,2059
1531277601,2064,2064
1531279456,2066,2066
1531281382,2061,2061
1531283563,2062,2062
1531285730,2061,2061
1531287683,2057,2057
1531289548,2055,2055
1531291481,2048,2048
1531293415,2048,2048
1531295312,2052,2052
1531297232,2049,2049
1531299155,2025,2025
1531301067,2019,2019
1531302998,2019,2019
1531304901,2021,2021
1531306901,2020,2020
1531308773,2017,2017
1531310689,2015,2015
1531312591,2009,2009
1531314514,1930,1930
1531316439,1927,1927
1531318367,1927,1927
1531320306,1924,1924
1531322193,1922,1922
1531324113,1827,1827
1531326406,715,715
1531328494,715,715
1531330347,715,715
1531332261,717,717
1531334428,714,714
1531336358,714,714
1531338280,641,641
1531340195,639,639
1531342111,638,638
1531344031,639,639
1531345956,673,673
1531348105,671,671
1531350097,671,671
1531351941,671,671
1531353876,671,671
1531355789,674,674
1531357721,674,674
1531359615,670,670
1531361558,666,666
1531363467,656,656
1531365403,661,661
1531367300,662,662
1531369215,662,662
1531371158,669,669
1531373054,671,671
1531374993,672,672
1531376897,678,678
1531378890,676,676
1531380744,670,670
1531382677,670,670
1531384588,676,676
1531386524,678,678
1531388414,680,680
1531390355,677,677
1531392298,825,825
1531394189,819,819
1531396109,814,814
1531398034,816,816
1531399999,825,825
1531401882,868,868
1531403787,867,867
1531405699,1020,1020
1531407692,1366,1366
1531409554,1365,1365
1531411502,1368,1368
1531413414,1370,1370
1531415292,1369,1369
1531417227,1371,1371
1531419136,1370,1370
1531421050,1368,1368
1531422992,1367,1367
1531425161,1367,1367
1531427055,1366,1366
1531429008,1368,1368
1531430917,1366,1366
1531434402,1349,1349
1531436202,1375,1375
1531438090,1372,1372
1531440101,1371,1371
1531441939,1369,1369
1531443868,1372,1372
1531445773,1374,1374
1531447711,1375,1375
1531449611,1380,1380
1531451560,1373,1373
1531453462,1371,1371
1531455636,1375,1375
1531457555,1367,1367
1531459487,1366,1366
1531462609,1364,1364
1531464500,1358,1358
1531466432,1363,1363
1531468362,1363,1363
1531470263,1361,1361
1531472196,1360,1360
1531474110,1358,1358
1531476100,1358,1358
