DateTime,AddedIPs,RemovedIPs
1530492737,7,1
1530494696,0,4
1530496593,4,10
1530498523,3,1
1530500690,0,2
1530502582,5,7
1530504510,3,6
1530506436,4,5
1530508357,3,0
1530510307,0,3
1530512200,2,0
1530514106,0,3
1530516035,1,1
1530517979,5,3
1530519883,2,2
1530521733,3,6
1530523707,4,1
1530525702,0,1
1530528107,3,2
1530529961,1,1
1530531862,2,0
1530533796,6,3
1530535711,1,6
1530537626,8,4
1530539682,9,0
1530541725,10,2
1530543705,5,1
1530545551,4,4
1530547479,6,1
1530549380,211,3
1530551300,1,2
1530553234,6,5
1530555141,7,1
1530557056,19,3
1530558995,14,0
1530560902,7,2
1530562819,5,1
1530564795,10,8
1530566932,12,5
1530569024,9,3
1530571010,6,4
1530572920,3,2
1530574891,2,2
1530576785,2,7
1530578664,6,5
1530580664,2,5
1530582778,5,4
1530584661,3,4
1530587547,29,3
1530589453,38,3
1530591653,2,2
1530593539,8,5
1530595478,5,4
1530599298,2,1
1530601293,2,0
1530603156,4,3
1530605071,1,5
1530606984,3,1
1530609002,8,6
1530610821,1,2
1530613009,17,2
1530615197,4,2
1530617076,4,2
1530618986,2,7
1530620903,3,3
1530622909,5,4
1530624765,3,9
1530626793,7,7
1530628830,5,7
1530630739,4,4
1530632559,5,4
1530634627,5,9
1530637372,6,4
1530639304,4,212
1530641303,10,9
1530643407,5,15
1530646044,2,16
1530647926,4,6
1530649841,2,8
1530651770,3,8
1530654133,2,18
1530655958,4,3
1530657863,2,5
1530659792,5,1
1530661825,10,3
1530663875,6,7
1530665798,8,2
1530667729,5,2
1530669704,10,3
1530671615,12,4
1530673724,9,21
1530675654,5,47
1530677560,2,1
1530679528,3,9
1530681386,4,5
1530683315,5,0
1530685226,2,1
1530687139,5,2
1530689069,5,1
1530690990,3,4
1530692928,2,3
1530694918,1,7
1530696764,7,1
1530698696,5,10
1530701372,8,10
1530703233,6,4
1530705147,12,5
1530707066,8,3
1530708988,5,5
1530710996,9,4
1530713132,4,6
1530715874,2,6
1530717899,4,8
1530719802,4,5
1530721711,8,7
1530723692,5,4
1530725571,1,5
1530727905,6,9
1530729900,5,4
1530731798,3,1
1530733734,5,5
1530735629,0,2
1530737557,3,4
1530739513,6,3
1530741401,4,5
1530743320,12,2
1530745364,7,3
1530747179,4,4
1530749080,7,8
1530751005,2,5
1530752912,8,0
1530754824,2,3
1530756745,3,8
1530758682,9,14
1530760834,6,5
1530762747,3,3
1530764679,4,4
1530766580,2,1
1530768504,4,1
1530770506,3,4
1530772431,2,3
1530774299,4,6
1530776189,2,1
1530778125,0,6
1530780028,4,1
1530781957,4,1
1530783887,2,6
1530785749,7,1
1530787732,5,8
1530789626,1,6
1530791584,8,10
1530793464,1,6
1530795700,14,6
1530797570,6,46
1530799478,7,7
1530801403,7,5
1530803337,4,5
1530805245,18,4
1530807199,1,10
1530809073,4,4
1530811004,5,6
1530812831,7,9
1530814835,4,3
1530816749,9,5
1530818695,4,5
1530820599,1,5
1530822766,3,4
1530825332,8,11
1530827317,3,5
1530829240,3,13
1530831193,5,11
1530833268,8,3
1530835310,3,6
1530837184,2,1
1530839084,4,6
1530841001,9,3
1530842916,12,2
1530844848,8,6
1530846777,3,7
1530848682,4,1
1530850616,1,6
1530852512,3,2
1530854446,0,2
1530856385,5,3
1530858273,7,1
1530860201,2,4
1530862130,11,3
1530864101,6,0
1530865974,2,3
1530867902,8,3
1530869822,5,4
1530871971,6,9
1530874125,3,7
1530876045,8,0
1530877978,2,9
1530879891,1,1
1530881797,1,11
1530884592,7,14
1530886591,3,7
1530888929,5,1
1530890915,3,16
1530892917,1,3
1530894766,1,4
1530896718,2,3
1530898591,5,5
1530900541,8,8
1530902442,7,5
1530904493,7,15
1530906310,5,3
1530908203,2,0
1530910110,0,5
1530912061,8,5
1530913955,4,5
1530915882,5,4
1530917801,6,6
1530919731,3,4
1530921715,5,0
1530923572,5,3
1530925504,7,3
1530927410,2,9
1530929328,8,11
1530931227,9,7
1530933159,6,2
1530935105,0,3
1530936980,1,0
1530938918,6,2
1530941078,1,1
1530942997,3,2
1530944924,3,8
1530946898,3,1
1530948783,1,11
1530950708,4,5
1530952588,3,2
1530954513,4,6
1530956433,4,3
1530958607,5,4
1530960509,5,4
1530962431,2,8
1530964392,2,2
1530966288,6,2
1530968205,4,2
1530970106,3,5
1530972111,1,4
1530973958,7,1
1530975868,4,5
1530977792,5,5
1530979742,1,2
1530981627,6,3
1530983593,3,1
1530985525,3,6
1530987400,5,6
1530989332,2,5
1530991224,2,6
1530993155,6,4
1530995081,2,1
1530996990,3,2
1530998903,3,5
1531000930,8,5
1531002768,4,2
1531004924,4,4
1531006838,18,6
1531008993,23,7
1531011173,5,8
1531013096,5,2
1531014983,4,5
1531016926,2,9
1531018914,1,13
1531020774,6,2
1531022695,3,1
1531024851,0,6
1531026769,3,3
1531028697,4,1
1531030610,6,5
1531032516,2,4
1531034448,5,3
1531036365,2,6
1531038281,3,2
1531040202,3,2
1531042107,4,4
1531044103,1,8
1531046202,7,2
1531048136,8,0
1531050040,5,3
1531051954,3,3
1531053868,3,4
1531055811,2,8
1531057708,4,6
1531060259,6,11
1531062098,1,1
1531064314,4,2
1531066460,5,4
1531068398,5,6
1531070313,3,2
1531072483,7,2
1531074496,6,4
1531076516,2,4
1531078351,0,4
1531080278,8,5
1531082191,2,2
1531084349,15,4
1531086259,2,0
1531088448,7,7
1531090352,1,1
1531092274,2,5
1531094526,5,18
