DateTime,AddedIPs,RemovedIPs
1530494697,5,4
1530496594,1,2
1530498524,2,4
1530500691,5,4
1530502583,4,5
1530504510,7,5
1530506437,3,8
1530508358,6,3
1530510307,8,12
1530512201,4,9
1530514107,6,13
1530516036,4,4
1530517980,6,5
1530519883,6,6
1530521734,5,2
1530523708,9,4
1530525703,6,3
1530528108,8,5
1530529962,4,0
1530531863,1,1
1530533797,3,2
1530535712,4,13
1530537627,6,4
1530539683,20,3
1530541726,10,6
1530543706,3,4
1530545552,5,1
1530547480,1,0
1530549381,4,6
1530551301,6,4
1530553235,3,8
1530555142,3,0
1530557057,1,4
1530558995,6,4
1530560902,3,5
1530562820,3,1
1530564796,6,2
1530566933,4,6
1530569025,2,4
1530571011,3,3
1530572921,2,4
1530574892,4,1
1530576786,2,2
1530578665,1,4
1530580665,2,3
1530582779,7,2
1530584662,3,0
1530587548,3,8
1530589454,1,3
1530591653,8,7
1530593540,6,5
1530595478,3,8
1530597382,7,6
1530599299,3,8
1530601294,13,6
1530603157,5,5
1530605072,9,5
1530606984,6,4
1530609003,7,9
1530610821,3,6
1530613010,5,8
1530615198,8,5
1530617076,3,2
1530618986,2,2
1530620904,9,5
1530622910,7,5
1530624766,1,4
1530626794,3,19
1530628831,9,11
1530630740,3,5
1530632560,4,1
1530634628,4,1
1530637373,8,5
1530639305,3,4
1530641304,2,3
1530643408,1,2
1530646045,5,8
1530647928,2,3
1530649842,1,2
1530651772,2,7
1530654134,1,4
1530655959,2,0
1530657864,2,5
1530659793,0,2
1530661826,2,4
1530663876,3,2
1530665799,1,1
1530667729,3,5
1530669705,5,4
1530671616,3,2
1530673724,8,1
1530675655,4,3
1530677561,11,3
1530679529,9,7
1530681387,2,4
1530683316,8,4
1530685227,12,8
1530687140,6,8
1530689069,8,10
1530690991,15,8
1530692929,7,3
1530694919,11,10
1530696765,4,6
1530698697,10,3
1530701374,9,11
1530703234,4,3
1530705149,6,4
1530707068,3,8
1530708989,10,8
1530710998,2,1
1530713133,8,2
1530715876,11,11
1530717900,6,2
1530719803,3,5
1530721713,4,6
1530723693,6,4
1530725573,4,3
1530727907,1,1
1530729903,5,2
1530731799,5,7
1530733735,6,1
1530735631,1,2
1530737558,2,0
1530739514,1,3
1530741402,2,0
1530743321,0,2
1530745365,2,2
1530747180,1,1
1530749081,3,1
1530751006,1,4
1530752914,6,2
1530754825,6,4
1530756746,3,1
1530758683,4,5
1530760835,2,4
1530762748,2,4
1530764680,1,7
1530766581,4,7
1530768505,1,7
1530770507,7,8
1530772432,2,14
1530774300,3,9
1530776190,5,10
1530778126,4,10
1530780030,6,9
1530781959,6,12
1530783889,2,4
1530785751,9,11
1530787734,6,6
1530789627,6,5
1530791586,5,6
1530793466,3,3
1530795702,8,9
1530797571,8,2
1530799480,7,8
1530801405,6,10
1530803338,5,7
1530805247,6,2
1530807201,5,2
1530809074,3,5
1530811006,1,7
1530812833,5,2
1530814837,4,0
1530816751,2,6
1530818697,1,6
1530820601,2,5
1530822768,1,1
1530825333,3,2
1530827319,0,2
1530829241,1,0
1530831194,1,1
1530833269,1,2
1530835311,3,3
1530837185,5,1
1530839085,6,5
1530841002,1,4
1530842917,4,3
1530844849,2,2
1530846778,1,2
1530848683,3,4
1530850617,5,2
1530852513,8,4
1530854447,2,3
1530856386,4,5
1530858274,14,3
1530860202,5,2
1530862131,3,4
1530864103,2,4
1530865976,4,4
1530867904,4,5
1530869823,3,3
1530871973,6,10
1530874126,5,9
1530876047,3,8
1530877980,5,5
1530879893,3,3
1530881799,3,4
1530884594,4,14
1530886593,4,8
1530888930,4,4
1530890916,1,8
1530892918,2,5
1530894767,3,6
1530896720,2,2
1530898592,1,4
1530900542,2,3
1530902443,5,6
1530904494,3,3
1530906311,4,2
1530908204,1,2
1530910111,2,2
1530912062,1,2
1530913955,3,0
1530915883,2,1
1530917802,2,1
1530919732,1,1
1530921716,2,3
1530923573,3,4
1530925504,4,4
1530927411,5,1
1530929330,2,2
1530931228,2,0
1530933160,4,2
1530935106,3,1
1530936981,3,4
1530938919,3,6
1530941079,3,4
1530942998,3,5
1530944925,3,12
1530946900,4,4
1530948784,4,5
1530950709,3,3
1530952589,3,3
1530954514,6,5
1530956434,5,4
1530958608,4,10
1530960510,4,4
1530962432,2,4
1530964393,3,5
1530966289,5,3
1530968205,1,4
1530970107,2,2
1530972112,3,2
1530973958,3,5
1530975869,4,1
1530977793,4,3
1530979743,3,1
1530981627,4,2
1530983594,5,3
1530985526,3,3
