DateTime,AddedIPs,RemovedIPs
1530494698,16,23
1530496596,12,24
1530498526,16,19
1530500692,11,28
1530502585,14,14
1530504512,16,25
1530506439,17,31
1530508359,15,27
1530510309,15,19
1530512202,22,34
1530514109,17,13
1530516037,11,18
1530517981,6460,15
1530519885,862,13
1530521737,8,16
1530523710,8,15
1530525705,16,10
1530528110,14,20
1530529964,9,14
1530531865,18,16
1530533799,7,24
1530535714,12,9
1530537629,4,10
1530539685,13,15
1530541728,15,15
1530543709,11,7
1530545554,15,10
1530547482,5,10
1530549383,6,13
1530551303,25,13
1530553236,19,17
1530555144,53,14
1530557059,25,16
1530558997,32,11
1530560904,25,10
1530562822,45,12
1530564797,27,7
1530566935,29,18
1530569027,38,18
1530571012,21,16
1530572923,22,21
1530574893,38,22
1530576788,34,8
1530578667,21,14
1530580667,18,12
1530582781,24,16
1530584664,27,19
1530587550,31,21
1530589455,18,13
1530591655,19,12
1530593542,16,13
1530595481,14,15
1530597384,20,12
1530599301,21,11
1530601296,17,14
1530603159,18,1369
1530605074,20,5804
1530606986,23,14
1530609004,26,12
1530610823,39,20
1530613012,34,20
1530615200,17,15
1530617078,22,18
1530618988,13,18
1530620906,18,18
1530622912,19,14
1530624767,17,8
1530626796,22,21
1530628833,18,24
1530630742,533,19
1530632562,434,11
1530634630,24,11
1530637375,31,21
1530639307,26,9
1530641306,14,35
1530643410,18,23
1530646047,29,42
1530647930,15,23
1530649844,14,26
1530651773,23,22
1530654137,16,23
1530655961,24,38
1530657866,10,20
1530659795,12,22
1530661828,15,43
1530663877,19,27
1530665800,17,17
1530667731,18,22
1530669706,9,18
1530671618,22,23
1530673726,15,33
1530675657,16,21
1530677563,22,19
1530679530,11,17
1530681388,14,17
1530683318,50,20
1530685229,11,26
1530687142,18,22
1530689071,17,16
1530690992,13,20
1530692932,19,16
1530694921,10,29
1530696767,16,20
1530698699,19,47
1530701376,20,33
1530703236,16,22
1530705151,13,15
1530707069,12,20
1530708991,10,24
1530711000,17,13
1530713135,9,27
1530715877,18,23
1530717902,16,24
1530719805,12,14
1530721715,15,23
1530723695,21,22
1530725575,30,31
1530727909,39,21
1530729907,27,16
1530731801,35,24
1530733737,34,15
1530735634,31,21
1530737560,30,23
1530739516,31,21
1530741405,21,24
1530743323,35,20
1530745367,21,20
1530747182,14,12
1530749083,14,20
1530751008,77,15
1530752915,9,21
1530754827,22,20
1530756748,23,16
1530758685,22,16
1530760837,23,15
1530762751,12,22
1530764682,31,16
1530766583,9,13
1530768507,8,25
1530770509,11,49
1530772434,21,14
1530774301,20,27
1530776193,2849,10
1530778129,4329,12
1530780033,5,12
1530781962,15,5
1530783892,14,15
1530785754,15,15
1530787737,15,11
1530789630,21,13
1530791588,21,10
1530793469,13,10
1530795704,21,9
1530797574,15,22
1530799483,11,8
1530801408,11,13
1530803341,13,342
1530805249,17,573
1530807204,7,15
1530809077,18,14
1530811009,15,20
1530812835,11,18
1530814839,16,12
1530816753,11,16
1530818700,13,21
1530820604,11,17
1530822771,11,14
1530825336,18,22
1530827321,15,21
1530829244,22,24
1530831197,15,17
1530833272,13,18
1530835314,24,17
1530837188,8,57
1530839087,15,30
1530841005,13,16
1530842919,12,15
1530844852,8,12
1530846781,13,19
1530848686,11,11
1530850620,11,20
1530852516,7,12
1530854450,9,7
1530856389,14,8
1530858277,16,14
1530860204,15,10
1530862134,44,1078
1530864104,11,6301
1530865978,3001,15
1530867906,4368,15
1530869826,21,13
1530871975,11,18
1530874130,18,14
1530876049,7,17
1530877982,13,15
1530879895,12,11
1530881801,13,11
1530884596,29,21
1530886595,657,13
1530888932,18,14
1530890918,25,26
1530892921,242,10
1530894770,2653,11
1530896722,17,15
1530898594,16,15
1530900544,24,12
1530902446,16,15
1530904496,30,12
1530906313,17,13
1530908206,35,8
1530910114,19,7
1530912064,18,25
1530913958,23,8
1530915886,17,23
1530917804,24,11
1530919734,21,14
1530921718,16,35
1530923575,15,11
1530925507,18,13
1530927413,16,10
1530929334,29,16
1530931230,41,7
1530933162,12,16
1530935108,19,13
1530936983,10,13
1530938921,17,8
1530941081,9,15
1530943001,19,8
1530944928,17,16
1530946902,22,15
1530948787,10,44
1530950711,5,9
1530952590,14,3231
1530954516,19,2875
1530956436,12,17
1530958610,30,11
1530960512,25,26
1530962434,23,11
1530964395,9,13
1530966291,14,14
1530968207,15,14
1530970109,12,19
1530972114,18,21
1530973960,15,12
