DateTime,Entries,UniqueIPs
1530494698,1079,1079
1530496596,1067,1067
1530498526,1064,1064
1530500692,1047,1047
1530502585,1047,1047
1530504512,1038,1038
1530506439,1024,1024
1530508359,1012,1012
1530510309,1008,1008
1530512202,996,996
1530514109,1000,1000
1530516037,993,993
1530517981,7438,7438
1530519885,8287,8287
1530521737,8279,8279
1530523710,8272,8272
1530525705,8278,8278
1530528110,8272,8272
1530529964,8267,8267
1530531865,8269,8269
1530533799,8252,8252
1530535714,8255,8255
1530537629,8249,8249
1530539685,8247,8247
1530541728,8247,8247
1530543709,8251,8251
1530545554,8256,8256
1530547482,8251,8251
1530549383,8244,8244
1530551303,8256,8256
1530553236,8258,8258
1530555144,8297,8297
1530557059,8306,8306
1530558997,8327,8327
1530560904,8342,8342
1530562822,8375,8375
1530564797,8395,8395
1530566935,8406,8406
1530569027,8426,8426
1530571012,8431,8431
1530572923,8432,8432
1530574893,8448,8448
1530576788,8474,8474
1530578667,8481,8481
1530580667,8487,8487
1530582781,8495,8495
1530584664,8503,8503
1530587550,8513,8513
1530589455,8518,8518
1530591655,8525,8525
1530593542,8528,8528
1530595481,8527,8527
1530597384,8535,8535
1530599301,8545,8545
1530601296,8548,8548
1530603159,7197,7197
1530605074,1413,1413
1530606986,1422,1422
1530609004,1436,1436
1530610823,1455,1455
1530613012,1469,1469
1530615200,1471,1471
1530617078,1475,1475
1530618988,1470,1470
1530620906,1470,1470
1530622912,1475,1475
1530624767,1484,1484
1530626796,1485,1485
1530628833,1479,1479
1530630742,1993,1993
1530632562,2416,2416
1530634630,2429,2429
1530637375,2439,2439
1530639307,2456,2456
1530641306,2435,2435
1530643410,2430,2430
1530646047,2417,2417
1530647930,2409,2409
1530649844,2397,2397
1530651773,2398,2398
1530654137,2391,2391
1530655961,2377,2377
1530657866,2367,2367
1530659795,2357,2357
1530661828,2329,2329
1530663877,2321,2321
1530665800,2321,2321
1530667731,2317,2317
1530669706,2308,2308
