DateTime,AddedIPs,RemovedIPs
1530778227,6,1
1530780157,1,0
1530782069,3,7
1530783899,2,0
1530785048,2,2
1530786637,0,3
1530787341,1,2
1530789335,1,1
1530790522,0,2
1530791790,4,1
1530792872,2,1
1530794546,6,7
1530795392,1,0
1530796468,1,1
1530797933,2,0
1530798146,2,0
1530798988,3,0
1530800072,1,1
1530802587,1,2
1530803667,2,1
1530805232,2,1
1530807036,3,0
1530808955,2,1
1530810327,3,7
1530811713,1,1
1530812552,1,11
1530813391,3,0
1530814466,5,11
1530816049,2,20
1530818061,2,10
1530819324,2,8
1530820587,4,0
1530821668,6,1
1530823349,1,3
1530824187,1,0
1530825261,1,2
1530826953,3,9
1530827783,1,0
1530828934,7,1
1530830548,9,5
1530831392,4,0
1530832531,4,1
1530833721,2,3
1530835832,5,6
1530837321,8,13
1530838526,9,0
1530839733,9,4
1530841259,1,5
1530842187,3,0
1530843328,8,4
1530844528,9,11
1530845733,19,0
1530846940,9,4
1530848137,7,3
1530850461,16,2
1530851638,8,1
1530852986,13,2
1530854129,8,2
1530854901,1,0
1530856525,1,9
1530857736,1,3
1530858501,1,0
1530860129,0,8
1530861328,0,5
1530862941,0,6
1530864875,5,2
1530865702,1,0
1530867322,2,9
1530868524,2,5
1530869314,1,1
1530870626,0,10
1530871840,2,3
1530873036,1,5
1530874669,4,0
1530876034,2,3
1530877348,1,8
1530878195,5,0
1530880108,3,3
1530880954,1,2
1530881781,1,0
1530883707,3,3
1530884551,1,4
1530886232,3,2
1530888142,8,7
1530888989,2,0
1530890066,0,3
1530890916,1,0
1530892580,2,3
1530893732,0,2
1530895349,3,3
1530897267,2,1
1530898101,2,0
1530899792,3,6
1530900878,1,1
1530902546,0,3
1530903935,12,6
1530905306,6,0
1530906630,19,6
1530907834,8,2
1530909044,4,5
1530911132,21,1
1530912316,11,0
1530912507,2,0
1530914128,13,18
1530915278,9,7
1530916531,9,8
1530917736,5,0
1530918878,7,3
1530920560,8,3
1530921385,4,0
1530922483,6,2
1530924161,9,3
1530924986,8,0
1530926077,8,2
1530927677,12,3
1530929452,5,0
1530930658,7,1
1530933282,10,3
1530934117,3,0
1530935793,4,5
1530936931,1,3
1530937704,1,1
1530938544,1,6
1530939395,1,0
1530940537,3,7
1530942079,1,15
1530942996,1,0
1530944139,2,8
1530944923,1,0
1530945754,5,9
1530947676,6,3
1530948510,1,0
1530950124,0,2
1530951336,1,1
1530952104,2,0
1530953784,4,6
1530955709,11,3
1530957390,4,1
1530958462,2,0
1530959311,1,0
1530960161,5,4
1530961533,6,2
1530963752,4,6
1530965439,7,1
1530966637,3,1
1530967352,1,0
1530969280,5,4
1530971138,7,3
1530972863,10,1
1530973701,3,0
1530974543,3,1
1530976477,0,1
1530978332,2,1
1530979458,1,1
1530980072,2,0
1530980901,2,0
1530983137,5,9
1530984539,3,0
1530985352,1,7
1530986487,1,2
1530987636,0,2
1530988862,0,1
1530990866,9,3
1530992124,4,5
1530994465,6,3
1530995607,2,3
1530996931,2,0
1530998073,0,2
1530999743,1,18
1531001684,6,7
1531002504,2,0
1531003355,4,6
1531005273,3,9
1531008631,5,19
1531010545,1,5
1531011392,1,0
1531013314,1,5
1531014633,0,14
1531015842,1,14
1531017747,1,14
1531019664,2,13
1531020519,1,0
1531022193,1,11
1531023262,5,17
1531024951,3,5
1531027707,6,2
1531029028,2,2
1531030471,2,3
1531031730,3,0
1531033531,1,1
1531036137,4,1
1531037667,2,0
1531039237,5,3
1531040736,3,1
1531042941,7,4
1531043785,4,0
1531045714,9,1
1531047322,3,1
1531048537,4,7
1531050067,4,3
1531051837,8,2
1531053747,5,4
1531055676,2,1
1531057344,0,5
1531058994,0,4
1531060241,2,0
1531060944,1,1
1531062870,1,2
1531064540,1,2
1531065875,1,0
1531068627,0,5
1531070072,2,2
1531071751,1,4
1531073674,5,10
1531074913,12,10
1531076556,15,12
1531078117,15,0
1531078953,7,13
1531080873,7,8
1531082549,2,13
1531084475,5,12
1531086081,1,18
1531087003,3,0
1531088132,3,6
1531089327,3,5
1531091120,12,16
1531092504,5,0
1531093354,2,9
1531095274,6,9
1531096944,1,22
1531097786,4,0
1531098935,9,4
1531099712,10,0
1531100550,5,9
1531102481,14,3
1531103318,1,0
1531104525,5,9
1531106077,3,4
1531107681,5,5
1531108594,4,0
1531110507,8,0
1531111358,3,2
1531112192,3,0
1531113264,3,2
1531114419,2,2
1531116637,11,7
1531117829,1,6
1531120536,1,0
1531122155,3,4
1531124076,3,7
1531125362,1,8
1531126589,0,4
1531127674,2,4
1531128816,0,3
1531130842,0,12
1531132237,0,2
1531133797,2,2
1531134939,3,2
1531135709,2,0
1531137395,3,4
1531138536,2,3
1531139715,1,7
1531141530,2,8
1531142913,5,0
1531144120,2,14
1531145441,1,4
1531147343,2,6
1531148573,1,2
1531150257,5,2
1531152868,1,4
1531154550,4,7
1531156833,4,2
1531158143,3,1
1531159474,0,3
1531161746,1,9
1531163671,5,6
1531165080,6,1
1531166193,1,3
1531167338,1,2
1531168944,2,3
1531170938,2,2
1531172126,0,19
1531173950,5,9
1531175845,1,2
1531177536,1,2
1531178675,4,0
1531179752,1,3
1531181436,1,1
1531182925,3,2
1531184386,1,1
1531185278,2,0
1531186955,0,2
1531188635,3,2
1531191302,3,2
1531192536,4,1
1531194044,4,8
1531195834,2,4
1531196912,1,0
1531198596,2,3
1531199737,1,0
1531200508,2,0
1531202123,1,5
1531203331,1,2
1531204947,2,2
1531206258,2,4
1531207711,3,0
1531209214,1,6
1531210526,1,3
1531211726,1,5
1531212924,2,2
1531214028,1,5
1531215742,2,11
1531217436,1,0
1531218641,2,2
1531220184,1,1
1531221332,1,5
1531222113,1,0
1531222961,1,2
1531223791,1,0
1531224874,5,0
1531226344,1,3
1531228463,5,0
1531229635,0,2
1531230996,8,1
1531232136,3,0
1531232903,1,0
1531234225,1,3
1531235666,6,0
1531236776,3,2
1531238182,1,0
1531239335,0,1
1531240940,0,2
1531242339,3,1
1531243707,7,0
1531244542,2,16
1531246462,4,5
1531247315,2,0
1531248988,3,18
1531250069,2,2
1531250900,1,0
1531251747,1,3
1531252593,1,0
1531253669,0,7
1531254796,1,4
1531255342,2,1
1531256182,3,0
1531257274,5,0
1531258113,2,0
1531258953,0,45
1531260640,0,12
1531261841,2,12
1531263392,3,0
1531264535,1,1
1531267051,5,1
1531268434,2,8
1531270583,8,21
1531271726,3,13
1531273342,2,10
1531275279,2,1
1531277138,10,8
1531278342,6,6
1531280554,8,7
1531282237,7,11
1531283314,3,0
1531284141,1,4
1531286073,3,6
1531287748,0,5
1531289666,0,1
1531291827,0,4
1531293262,2,0
1531294941,1,0
1531296121,2,3
1531297701,2,0
1531299032,1,2
1531300228,0,3
1531301439,1,0
1531302989,1,0
1531304073,1,1
1531305667,2,3
1531307671,1,2
1531308501,1,0
1531309342,3,4
1531311269,6,2
1531312943,6,6
1531313782,2,0
1531314937,0,1
1531316547,0,5
1531318538,2,2
1531319307,1,0
1531320621,0,5
1531321834,2,1
1531323001,2,3
1531325660,2,5
1531327345,5,4
1531328183,1,0
1531329331,5,1
1531330941,12,3
1531332865,11,1
1531333700,6,0
1531335029,8,6
1531336235,21,2
1531337310,17,0
1531338987,5,4
1531340908,2,0
1531342589,5,2
1531343740,3,0
1531344505,0,1
1531345831,2,7
1531347040,2,0
1531349737,2,2
1531350934,1,1
1531352541,3,3
1531354477,5,1
1531355311,1,0
1531356932,2,3
1531358067,13,1
1531360616,33,1
1531361683,13,2
1531362505,7,0
1531364186,8,7
1531365311,6,2
1531366878,6,4
1531368870,5,1
1531370460,5,3
1531372470,6,2
1531374029,6,0
1531375835,11,0
1531377033,6,3
1531378528,9,0
1531380508,7,5
1531382182,13,5
1531383260,3,0
1531384378,1,4
1531384942,1,0
1531385781,2,0
1531386868,3,2
1531388554,5,1
1531389388,2,0
1531390472,2,3
1531391652,7,2
1531394070,13,2
1531395935,8,11
1531397666,5,3
1531398501,5,0
1531400188,9,4
1531401269,6,4
1531402951,4,3
1531403787,3,0
1531404933,7,5
1531405709,2,0
1531407932,10,6
1531409307,12,0
1531410141,4,1
1531410982,2,0
1531412126,3,2
1531413750,4,6
1531414581,2,0
1531415669,7,2
1531416938,1,5
1531418799,3,4
1531420955,9,1
1531422329,4,3
1531423845,2,3
1531425329,1,1
1531427300,3,3
1531428155,0,4
1531428992,1,0
1531430133,3,1
1531431750,5,7
1531434619,5,2
1531437270,15,5
1531438942,5,6
1531440870,7,2
1531441702,1,0
1531442549,3,0
1531443396,1,0
1531444535,9,3
1531446142,10,3
1531448071,2,6
1531449759,2,6
1531451675,8,5
1531452925,2,4
