DateTime,AddedIPs,RemovedIPs
1530751538,1,12
1530752737,0,1
1530754111,1,0
1530755268,0,3
1530756653,0,1
1530758568,2,7
1530759401,1,0
1530760854,0,8
1530762061,2,4
1530763852,1,4
1530765689,9,1
1530767688,7,2
1530769352,10,5
1530771041,8,0
1530772117,8,0
1530774340,20,1
1530775718,2,1
1530776568,2,6
1530778238,5,1
1530780169,2,0
1530782079,1,7
1530783934,2,0
1530785071,0,2
1530786656,0,2
1530787353,1,1
1530789357,1,1
1530790534,0,1
1530791802,3,1
1530792884,2,0
1530794556,6,6
1530795403,1,0
1530796479,1,1
1530798158,4,0
1530799000,2,0
1530800083,1,1
1530802602,1,2
1530803677,1,1
1530805247,1,0
1530807047,2,0
1530808967,2,1
1530810338,3,6
1530811727,1,1
1530812565,0,11
1530813403,3,0
1530814476,4,10
1530816061,2,13
1530818072,2,9
1530819336,2,8
1530820598,5,0
1530821679,5,1
1530823360,1,1
1530824199,1,0
1530825272,1,2
1530826965,2,9
1530827794,1,0
1530828947,7,1
1530830559,10,4
1530831406,3,0
1530832543,4,0
1530833733,2,2
1530835851,4,6
1530837334,5,13
1530838537,9,0
1530839744,9,3
1530841287,1,5
1530842199,4,0
1530843344,8,4
1530844550,9,7
1530845774,19,0
1530846954,8,4
1530848157,8,3
1530850473,14,2
1530851665,8,1
1530852997,12,1
1530854140,6,2
1530856537,1,6
1530857751,1,3
1530860141,0,7
1530861340,0,5
1530862952,0,6
1530864886,4,2
1530867333,0,9
1530868536,1,4
1530869326,1,1
1530870636,0,10
1530871852,1,3
1530873066,1,4
1530874679,4,0
1530876046,2,3
1530877361,1,8
1530878207,4,0
1530880119,3,3
1530880966,1,2
1530883719,3,3
1530884561,1,3
1530886243,3,2
1530888153,7,7
1530889000,2,0
1530890076,0,3
1530890927,1,0
1530892591,1,1
1530893745,0,2
1530895359,2,3
1530897279,2,1
1530898111,2,0
1530899805,3,6
1530900888,0,1
1530902558,0,2
1530903946,11,6
1530905318,6,0
1530906640,18,5
1530907845,8,2
1530909062,5,5
1530911144,19,1
1530912332,11,0
1530912517,2,0
1530914141,12,18
1530915292,9,7
1530916554,10,8
1530917749,3,0
1530918890,5,2
1530920578,8,3
1530921404,4,0
1530922529,7,1
1530924173,9,3
1530924999,6,0
1530926090,8,1
1530927690,11,3
1530929477,5,0
1530930709,8,0
1530933297,9,1
1530934132,3,0
1530935807,4,3
1530936966,1,4
1530938555,1,6
1530939407,1,0
1530940551,3,7
1530942110,1,14
1530943008,1,0
1530944158,2,8
1530944940,1,0
1530945766,5,8
1530947687,6,2
1530948522,1,0
1530950136,0,2
1530951351,1,1
1530952115,2,0
1530953795,3,5
1530955721,10,1
1530957403,4,1
1530958473,2,0
1530959323,1,0
1530960172,6,4
1530961548,5,1
1530963765,4,6
1530965468,7,1
1530967365,3,1
1530969291,5,3
1530971152,7,3
1530972874,10,1
1530973713,3,0
1530974554,3,0
1530978343,1,0
1530979477,1,1
1530980083,2,0
1530980912,2,0
1530983150,4,8
1530984613,3,4
1530985363,0,2
1530986508,1,3
1530987650,0,1
1530988880,0,1
1530990878,8,3
1530992136,3,5
1530994477,6,3
1530995636,2,2
1530996944,2,0
1530998086,0,1
1530999757,1,18
1531001696,5,7
1531002517,2,0
1531003366,5,5
1531005285,2,8
1531008650,4,17
1531010557,1,5
1531011405,1,0
1531013325,0,5
1531014644,0,14
1531015856,1,14
1531016915,1,0
1531017761,0,13
1531019677,2,13
1531020532,1,0
1531022205,2,11
1531023273,4,17
1531024962,3,2
1531026330,2,2
1531027719,2,0
1531029041,2,1
1531030483,2,3
1531031742,3,0
1531033542,1,1
1531036163,2,0
1531037680,2,0
1531039248,5,1
1531040748,3,1
1531042952,6,4
1531043797,4,0
1531045725,9,1
1531047338,2,1
1531048552,4,7
1531050078,4,3
1531051848,6,2
1531053762,3,4
1531055688,2,1
1531057355,0,4
1531059025,0,3
1531060256,1,0
1531060957,1,1
1531062881,0,1
1531064551,1,1
1531068639,0,3
1531070084,1,3
1531071762,0,2
1531073685,4,9
1531074939,12,9
1531076572,16,10
1531078129,13,0
1531078967,7,11
1531080885,7,8
1531082562,3,13
1531084487,5,12
1531086095,1,18
1531087016,3,0
1531088144,2,5
1531089340,3,4
1531091149,13,15
1531092516,4,0
1531094198,1,9
1531095285,0,9
1531096957,1,21
1531097798,3,0
1531098948,9,4
1531099723,10,0
1531100571,4,9
1531102261,12,3
1531102494,1,0
1531103332,1,0
1531104539,4,9
1531106090,3,3
1531107713,8,2
1531108611,2,0
1531110519,8,0
1531112203,6,2
1531113276,2,1
1531114432,2,2
1531116653,10,7
1531117873,1,6
1531120549,2,0
1531122201,2,3
1531124087,2,6
1531125405,1,7
1531126601,0,3
1531127686,2,3
1531128829,0,3
1531130854,0,12
1531132283,0,2
1531133809,2,1
1531134954,3,2
1531135719,2,0
1531137406,2,3
1531138548,1,2
1531139733,1,7
1531141552,2,7
1531142931,4,0
1531144135,2,14
1531145462,1,4
1531147354,2,6
1531148634,1,1
1531150287,5,2
1531152880,1,5
1531154572,4,5
1531155769,0,2
1531158154,4,1
1531159486,0,3
1531161757,0,8
1531163683,3,6
1531165111,6,1
1531166209,1,3
1531167352,1,2
1531168956,2,3
1531170951,2,1
1531172140,0,19
1531173963,5,9
1531175861,2,2
1531177549,0,1
1531178687,3,0
1531179766,1,3
1531181448,1,1
1531182941,2,1
1531184459,1,1
1531185290,2,0
1531186616,0,2
1531188648,2,2
1531191322,3,2
1531192550,4,1
1531194059,4,8
1531195848,2,4
1531196924,1,0
1531198608,2,2
1531200519,1,0
1531202135,1,5
1531203343,1,2
1531204959,2,2
1531206271,2,4
1531207722,2,0
1531209225,1,6
1531210539,0,3
1531211738,1,4
1531212935,1,2
1531214039,1,4
1531215753,1,11
1531218670,2,2
1531220196,1,1
1531221345,1,4
1531222125,1,0
1531223803,2,1
1531224886,5,0
1531226356,1,3
1531228474,4,0
1531229657,0,2
1531231008,7,0
1531232152,2,0
1531232914,1,0
1531234236,1,3
1531235678,6,0
1531236806,4,2
1531240951,0,2
1531242355,3,0
1531243719,7,0
1531244554,2,16
1531246473,3,5
1531247327,2,0
1531249001,2,17
1531250082,0,2
1531250912,1,0
1531251757,1,3
1531252604,1,0
1531253682,0,7
1531254816,1,4
1531255353,2,1
1531256193,3,0
1531257285,5,0
1531258974,0,45
1531260652,0,12
1531261860,2,12
1531263403,1,0
1531264547,1,0
1531267068,4,1
1531268445,3,7
1531270593,6,20
1531271740,2,11
1531273353,2,9
1531275292,2,1
1531277156,10,8
1531278355,7,6
1531280568,7,7
1531282250,6,9
1531283324,3,0
1531284154,1,4
1531286085,2,6
1531287758,0,5
1531289677,0,1
1531291837,0,3
1531293274,2,0
1531296158,2,2
1531297713,3,0
1531299047,0,2
1531300240,0,3
1531301471,1,0
1531304083,1,1
1531305687,2,3
1531307682,1,1
1531308511,2,0
1531309354,1,3
1531311279,6,2
1531312954,6,5
1531313793,2,0
1531314950,0,1
1531316560,0,5
1531318558,1,3
1531319318,1,0
1531320633,1,5
1531321845,2,1
1531323037,0,2
1531325671,2,4
1531327358,3,3
1531328194,1,0
1531329348,5,1
1531330952,12,2
1531332876,11,0
1531333712,5,0
1531335041,9,6
1531336247,19,2
1531337321,17,0
1531339000,4,4
1531340922,2,0
1531342601,2,1
1531343759,3,0
1531344578,0,7
1531347053,3,1
1531349748,2,2
1531350946,0,1
1531352552,2,3
1531354237,4,1
1531355322,1,0
1531356943,2,3
1531358077,13,0
1531360637,33,0
1531362519,18,2
1531364198,7,7
1531365339,7,2
1531366907,5,4
1531368881,5,1
1531370486,5,1
1531372481,7,2
1531374041,4,0
1531375847,8,0
1531377048,4,2
1531378540,9,0
1531380518,7,4
1531382193,13,4
1531383271,3,0
1531384414,1,4
1531385794,2,0
1531386878,3,2
1531388569,4,1
1531389399,2,0
1531390484,2,3
1531391678,6,2
1531394082,13,2
1531395948,8,11
1531397678,6,4
1531398511,5,0
1531400199,8,3
1531401280,6,4
1531402966,4,2
1531403799,3,0
1531404947,7,4
1531405721,2,0
1531407944,11,5
1531409318,10,0
1531410151,4,1
1531410993,2,0
1531412137,3,2
1531413761,4,6
1531414592,2,0
1531415679,7,2
1531416948,1,5
1531418810,3,3
1531420966,3,0
1531422339,4,2
1531423874,2,3
1531425341,1,1
1531427310,3,3
1531428167,0,3
1531429003,1,0
1531430150,2,1
1531431762,5,7
1531433441,2,0
1531434654,3,1
1531437280,15,4
1531438952,4,3
1531440882,7,2
1531442561,3,0
1531444548,8,3
1531446152,9,2
1531448084,2,6
1531449773,2,6
1531451144,5,5
1531451688,1,0
1531452940,2,4
1531454154,5,0
1531455283,2,0
1531456121,3,0
1531456962,2,0
1531458162,4,2
1531459713,5,1
1531461410,8,2
1531463318,3,0
1531464164,2,1
1531465000,5,0
1531466139,6,3
1531466913,3,0
1531469680,7,5
1531470514,4,0
1531471354,1,4
1531473278,7,2
1531475238,5,3
1531476881,6,0
