DateTime,AddedIPs,RemovedIPs
1530819307,42,100
1530820567,104,0
1530821647,89,107
1530822486,53,0
1530823327,33,128
1530824166,61,0
1530825245,90,49
1530826926,123,107
1530827765,50,0
1530828907,50,129
1530830527,78,181
1530831366,78,0
1530832510,103,57
1530833705,118,109
1530835807,183,169
1530837306,118,127
1530838506,124,0
1530839707,116,131
1530841233,132,153
1530842167,64,0
1530843309,110,77
1530844508,141,129
1530845698,160,0
1530846914,138,97
1530848107,106,113
1530850446,235,115
1530851621,109,167
1530852966,104,44
1530854107,97,74
1530854886,68,0
1530856511,87,188
1530857710,98,93
1530858485,66,0
1530860106,151,165
1530861306,137,67
1530862926,165,117
1530864847,240,149
1530865687,75,0
1530867306,124,155
1530868506,95,100
1530869291,64,0
1530870610,131,213
1530871821,96,177
1530873009,78,160
1530874653,113,0
1530876009,76,197
1530877327,123,232
1530878166,48,0
1530880086,199,91
1530880927,72,223
1530881766,54,0
1530883686,192,195
1530884526,44,248
1530886214,116,90
1530888127,128,101
1530888965,75,0
1530890045,78,113
1530890892,57,0
1530892565,155,121
1530893711,100,62
1530895327,129,117
1530896166,63,0
1530897247,71,126
1530898085,54,0
1530899766,112,116
1530900851,89,67
1530902527,117,130
1530903911,113,103
1530905287,176,1
1530906609,140,82
1530907811,109,109
1530909015,101,108
1530911106,160,90
1530912297,98,0
1530912486,15,0
1530914105,130,171
1530915247,82,124
1530916511,108,153
1530917706,105,0
1530918853,123,117
1530920533,156,196
1530921367,95,0
1530921655,27,82
1530922446,87,0
1530924134,119,81
1530924968,60,0
1530926054,72,91
1530927644,184,143
1530929408,190,70
1530930618,80,128
1530933255,203,123
1530934086,61,0
1530935768,135,137
1530936877,127,66
1530937686,67,0
1530938526,63,158
1530939367,55,0
1530940506,134,138
1530942047,124,159
1530942973,95,0
1530944116,90,91
1530944886,59,0
1530945727,63,161
1530947646,179,100
1530948487,66,0
1530950106,135,198
1530951307,91,75
1530952087,92,0
1530953767,116,149
1530955686,141,266
1530957366,131,122
1530958446,145,95
1530959286,57,0
1530960133,40,182
1530961506,114,77
1530963727,149,134
1530965410,114,67
1530966609,74,105
1530967334,76,0
1530969246,174,124
1530971107,131,163
1530972846,184,93
1530973685,66,1
1530974527,64,145
1530975366,50,0
1530976446,122,99
1530978306,691,152
1530980046,146,85
1530980885,82,0
1530983106,207,262
1530984523,112,0
1530985328,40,198
1530986457,99,65
1530987610,94,0
1530988839,94,108
1530990845,134,114
1530992107,85,129
1530994446,234,110
1530995588,88,122
1530996911,111,0
1530998047,90,132
1530999726,91,123
1531001653,143,123
1531002487,43,0
1531003326,90,230
1531005250,523,67
1531008606,272,353
1531010526,128,148
1531011367,33,0
1531013287,89,128
1531014614,68,227
1531015811,85,125
1531017727,125,224
1531019646,124,110
1531020486,48,0
1531022166,109,191
1531023246,117,152
1531024926,88,176
1531026046,49,62
1531027211,82,0
1531027686,25,0
1531029010,92,138
1531030446,183,152
1531031706,96,168
1531033507,120,201
1531034045,46,0
1531034886,45,0
1531036119,89,249
1531037646,130,67
1531039210,84,154
1531040710,101,193
1531042926,192,157
1531043766,76,0
1531045686,155,88
1531047306,116,106
1531048506,70,118
1531050038,72,219
1531051812,149,64
1531053727,75,166
1531055646,86,89
1531057327,79,78
1531058977,100,127
1531060206,68,107
1531060927,61,33
1531062846,127,79
1531064525,92,123
1531065859,60,144
1531067286,90,0
1531068610,50,122
1531068966,12,0
1531070046,89,82
1531071726,90,253
1531073646,156,86
1531074889,73,168
1531076533,78,128
1531078086,91,0
1531078927,55,194
1531080846,90,82
1531082526,61,178
1531084454,132,119
