DateTime,AddedIPs,RemovedIPs
1530787347,2,3
1530788191,1,0
1530789346,4,42
1530790528,2,9
1530791796,3,2
1530792878,2,2
1530794550,9,6
1530795397,1,0
1530796473,1,4
1530798153,5,3
1530798993,1,0
1530800077,2,3
1530800921,2,0
1530802591,1,6
1530803671,0,2
1530805238,1,0
1530807041,2,6
1530808124,4,0
1530808961,1,7
1530810332,7,7
1530811720,1,0
1530812559,0,5
1530814470,8,1
1530816054,0,6
1530818066,4,3
1530820591,1,0
1530821673,2,7
1530822516,1,1
1530823354,0,5
1530824192,2,0
1530825266,0,3
1530826958,3,2
1530828940,2,2
1530830552,3,6
1530831398,4,0
1530832536,1,5
1530833726,2,2
1530835840,7,8
1530837326,3,12
1530838531,3,1
1530839738,3,25
1530841264,5,18
1530842192,4,0
1530843335,0,6
1530844535,3,14
1530845753,34,0
1530846946,3,8
1530848148,6,4
1530850466,7,7
1530851643,5,12
1530852991,4,4
1530854134,4,3
1530854906,7,0
1530856531,7,8
1530857741,5,3
1530858506,6,0
1530860135,12,9
1530861334,5,2
1530862945,14,7
1530864880,13,9
1530865707,8,0
1530867327,14,12
1530868529,23,6
1530869319,5,0
1530870630,9,8
1530871845,5,3
1530873046,7,4
1530874673,8,0
1530876040,4,5
1530877355,5,3
1530878200,3,0
1530880113,7,1
1530880959,4,5
1530881785,4,0
1530883712,3,6
1530884555,2,3
1530886237,4,5
1530888147,7,4
1530888994,0,1
1530890070,2,2
1530892585,12,1
1530893737,1,0
1530895353,3,3
1530896190,1,0
1530897272,1,2
1530898105,1,0
1530899798,2,2
1530900882,1,4
1530902551,1,3
1530903940,3,1
1530905311,4,0
1530906635,1,1
1530907839,5,5
1530909054,2,5
1530911136,4,5
1530912321,1,0
1530914134,5,23
1530915285,2,5
1530916541,3,2
1530917742,5,1
1530918884,1,10
1530920572,3,6
1530921396,2,0
1530922489,3,4
1530924166,6,7
1530924992,2,0
1530926083,5,13
1530927683,7,15
1530929458,8,3
1530930673,15,9
1530933288,16,3
1530934123,2,0
1530935800,8,9
1530936938,6,7
1530937711,1,0
1530938549,3,25
1530939400,5,0
1530940543,6,11
1530942089,6,2
1530943002,4,1
1530944148,4,3
1530944929,4,0
1530945760,3,11
1530947680,9,6
1530948515,3,0
1530950129,7,11
1530951344,5,4
1530952109,7,0
1530953789,6,7
1530955714,8,7
1530957396,13,3
1530958467,5,8
1530959317,1,0
1530960166,1,7
1530961541,7,2
1530963758,8,3
1530965450,4,8
1530966654,1,2
1530967359,1,0
1530969284,5,3
1530971143,6,3
1530972867,3,2
1530973707,2,0
1530974548,0,1
1530975386,1,0
1530976482,4,0
1530978337,2,5
1530979468,0,4
1530980077,1,0
1530980906,2,0
1530983143,4,1
1530984585,3,11
1530986493,1,2
1530987643,2,0
1530988867,1,4
1530990871,4,1
1530992128,6,2
1530994470,5,3
1530995618,1,3
1530996936,1,0
1530998079,0,3
1530999749,2,1
1531001689,4,3
1531003360,12,3
1531005278,30,5
1531008639,5,6
1531010550,4,7
1531011398,4,0
1531013319,8,5
1531014638,3,1
1531015848,5,8
1531017753,4,8
1531019671,5,6
1531020524,3,0
1531022198,6,6
1531023267,5,3
1531024956,6,12
1531026315,6,2
1531027713,3,0
1531029033,5,6
1531030476,10,17
1531031736,1,4
1531033536,6,12
1531034071,6,0
1531034917,5,0
1531036142,3,15
1531037673,3,10
1531039242,3,27
1531040741,4,12
1531042946,8,8
1531043790,1,0
1531045718,6,7
1531047327,3,3
1531048544,2,9
1531050072,5,11
1531051843,8,3
1531053756,5,5
1531055682,2,3
1531057348,2,4
1531059007,3,2
1531060248,2,6
1531060950,0,4
1531062875,4,3
1531064545,2,4
1531065880,3,3
1531067306,2,0
1531068632,1,5
1531068986,1,0
1531070077,0,2
1531071755,3,2
1531073679,2,4
1531074928,0,3
1531076563,1,3
1531078121,3,0
1531078960,2,12
1531080878,2,2
1531082555,2,4
1531084480,1,4
1531086088,4,4
1531087009,3,0
1531088137,0,3
1531089333,3,3
1531091134,0,12
1531092509,1,0
1531093360,5,8
1531094191,5,0
1531095279,5,3
1531096950,4,9
1531097791,3,0
1531098940,7,6
1531099717,5,1
1531100557,4,14
1531102487,8,6
1531103324,8,0
1531104531,9,12
1531106083,11,0
1531107703,6,11
1531108599,5,0
1531110513,8,7
1531111367,2,6
1531112196,2,0
1531113270,2,11
1531114425,5,7
1531116642,7,12
1531117837,8,7
1531119206,15,2
1531120541,5,4
1531122169,5,16
1531124081,8,9
1531125380,13,7
1531126595,6,4
1531127679,4,10
1531128821,4,5
1531130849,7,4
1531132253,3,11
1531133802,12,1
1531134944,1,1
1531135713,6,0
1531137400,6,5
1531138541,0,5
1531139726,1,5
1531141539,5,3
1531142919,2,0
1531144128,3,2
1531145455,2,0
1531147348,7,6
1531148594,1,1
1531150267,0,3
1531152874,2,2
1531154557,4,3
1531156838,4,1
1531158148,3,2
1531159479,2,3
1531161751,1,4
1531163676,7,1
1531165092,3,6
1531166202,3,2
1531167344,3,2
1531168950,3,2
1531170943,3,3
1531172132,2,2
1531173955,3,5
1531175854,5,6
1531177542,2,2
1531178680,4,0
1531179759,3,4
1531181440,9,3
1531182931,4,7
1531184397,5,5
1531185283,2,1
1531186960,8,5
1531188641,6,9
1531189719,4,0
1531191314,4,9
1531192542,5,1
1531194051,9,5
1531195840,7,9
1531196917,1,1
1531198601,9,8
1531199742,8,3
1531200513,2,0
1531202128,6,8
1531203335,2,6
1531204953,3,14
1531206264,9,3
1531207716,8,0
1531209219,5,6
1531210531,6,3
1531211731,4,2
1531212929,3,4
1531214033,3,3
1531215747,9,3
1531217442,7,3
1531218652,3,7
1531220189,8,0
1531221339,8,4
1531222119,1,0
1531222966,3,8
1531223796,1,0
1531224879,1,1
1531226349,5,2
1531228468,7,3
1531229640,1,5
1531231001,2,1
1531232142,0,5
1531234230,8,3
1531235671,2,2
1531236782,4,2
1531238189,2,0
1531239342,3,0
1531240944,3,0
1531242345,15,5
1531243712,2,0
1531244546,2,3
1531246467,7,1
1531247320,1,0
1531248994,3,4
1531250076,3,2
1531250906,2,0
1531251751,2,4
1531252598,1,0
1531253676,11,1
1531254807,5,5
1531255346,1,1
1531256186,1,0
1531257279,0,1
1531258117,1,0
1531258959,2,1
1531260646,0,3
1531263397,2,0
1531264540,9,8
1531267060,3,4
1531268439,9,8
1531270588,8,8
