DateTime,AddedIPs,RemovedIPs
1530807040,40,47
1530807265,5,0
1530808123,33,0
1530808960,17,54
1530810331,59,55
1530811719,80,3
1530812558,38,40
1530813395,36,1
1530814469,45,29
1530816053,67,44
1530818064,40,27
1530819328,16,29
1530820590,64,1
1530821671,34,43
1530822515,26,1
1530823352,16,52
1530824191,35,2
1530825265,54,9
1530826956,66,21
1530827787,34,0
1530828938,12,15
1530830551,31,51
1530831397,49,2
1530832535,56,19
1530833725,74,36
1530835839,111,56
1530837325,76,34
1530838530,90,3
1530839736,58,46
1530841263,78,56
1530842190,28,2
1530843333,66,16
1530844533,98,54
1530845755,70,5
1530846945,84,38
1530848147,62,56
1530850465,167,53
1530851642,49,47
1530852989,51,25
1530854132,52,34
1530854905,47,0
1530856529,40,73
1530857740,69,43
1530858505,35,1
1530860133,82,70
1530861332,107,26
1530862944,113,41
1530864878,160,78
1530865706,44,1
1530867326,49,71
1530868527,37,52
1530869318,39,4
1530870629,61,128
1530871844,48,111
1530873041,36,79
1530874672,61,1
1530876037,35,115
1530877353,81,137
1530878199,23,2
1530880112,102,59
1530880958,15,148
1530881784,20,0
1530883711,96,127
1530884554,16,159
1530886236,37,46
1530888146,47,42
1530888993,47,1
1530890069,26,49
1530890919,12,1
1530892584,76,42
1530893735,58,21
1530895352,52,44
1530896189,25,4
1530897271,29,47
1530898104,21,0
1530899797,59,40
1530900881,46,19
1530902550,57,53
1530903939,38,65
1530905310,84,4
1530906634,45,34
1530907837,60,38
1530909052,37,39
1530911135,60,36
1530912320,47,3
1530912510,8,2
1530914133,53,35
1530915283,32,50
1530916540,47,52
1530917741,45,5
1530918882,65,29
1530920570,87,106
1530921390,59,3
1530922487,82,34
1530924165,72,35
1530924991,30,3
1530926081,26,23
1530927681,127,63
1530929457,96,38
1530930663,41,71
1530933287,104,74
1530934122,30,1
1530935798,73,71
1530936935,95,28
1530937710,42,3
1530938547,40,49
1530939398,36,1
1530940542,86,69
1530942088,88,72
1530943000,66,6
1530944146,64,37
1530944927,30,0
1530945758,38,53
1530947679,128,50
1530948514,24,2
1530950128,92,66
1530951342,64,35
1530952108,38,2
1530953788,60,79
1530955713,53,82
1530957394,48,64
1530958466,50,48
1530959316,15,2
1530960165,23,82
1530961540,67,35
1530963756,73,38
1530965448,69,31
1530966644,48,41
1530967358,60,3
1530969283,120,44
1530971142,76,92
1530972866,107,45
1530973705,27,2
1530974547,49,83
1530975385,27,3
1530976481,43,54
1530978335,76,72
1530979466,29,41
1530980076,32,2
1530980905,60,1
1530983142,145,172
1530984582,77,76
1530985355,18,35
1530986491,80,30
1530987642,64,5
1530988865,60,34
1530990870,78,77
1530992127,45,70
1530994468,106,69
1530995612,54,71
1530996935,46,3
1530998077,46,78
1530999748,47,33
1531001688,52,76
1531002508,22,2
1531003359,33,128
1531005277,231,63
1531008637,194,231
1531010549,81,88
1531011397,13,3
1531013318,40,59
1531014637,28,140
1531015846,63,63
1531017751,48,140
1531019669,76,70
1531020523,27,5
1531022197,70,115
1531023265,97,74
1531024954,51,119
1531026309,38,30
1531027711,41,4
1531029032,45,97
1531030475,149,83
1531031734,50,115
1531033535,75,138
1531034070,28,1
1531034916,20,2
1531036140,33,132
1531037671,52,25
1531039240,45,74
1531040740,48,96
1531042945,121,75
1531043789,52,11
1531045717,100,48
1531047326,61,53
1531048543,39,74
1531050071,41,123
1531051841,67,38
1531053755,36,84
1531055681,46,35
1531057347,52,26
1531059001,60,75
1531060246,30,29
1531060949,41,12
1531062874,56,48
1531064544,51,63
1531065878,29,78
1531067305,59,3
1531068631,29,48
1531068985,2,4
1531070075,59,49
1531071754,49,88
1531073678,96,34
1531074921,33,88
1531076561,41,69
1531078120,44,7
1531078959,11,92
1531080877,24,33
1531082553,22,88
1531084479,42,44
1531086086,46,84
1531087007,23,4
1531088136,11,52
1531089332,24,89
1531091129,134,114
1531092508,21,3
1531093358,15,105
1531094190,17,1
1531095278,23,79
1531096948,41,144
1531097790,19,1
1531098939,17,64
