DateTime,AddedIPs,RemovedIPs
1530808949,25,85
1530810323,83,72
1530811711,106,0
1530812548,48,65
1530813389,54,0
1530814464,58,43
1530816047,71,63
1530818059,60,37
1530819322,25,48
1530820585,69,0
1530821666,59,53
1530822505,40,1
1530823347,22,74
1530824185,45,0
1530825259,64,20
1530826951,84,41
1530827781,37,0
1530828929,25,44
1530830546,42,82
1530831387,59,0
1530832529,64,38
1530833719,80,63
1530835827,121,85
1530837319,95,58
1530838524,103,1
1530839728,71,57
1530841257,90,88
1530842185,43,0
1530843326,85,46
1530844525,108,74
1530845736,86,2
1530846933,93,59
1530848131,74,81
1530850459,187,76
1530851636,63,101
1530852983,60,31
1530854127,63,51
1530854899,54,0
1530856524,50,125
1530857731,79,59
1530858499,46,0
1530860127,96,105
1530861327,115,41
1530862939,132,63
1530864866,175,89
1530865700,50,0
1530867320,67,97
1530868521,42,66
1530869312,43,2
1530870623,75,154
1530871838,69,126
1530873027,47,103
1530874667,75,0
1530876032,50,140
1530877343,89,170
1530878189,28,0
1530880106,130,67
1530880952,19,173
1530881779,24,0
1530883706,106,153
1530884549,16,195
1530886230,44,58
1530888140,53,57
1530888987,50,0
1530890064,35,68
1530890914,18,0
1530892578,96,74
1530893730,71,37
1530895346,78,65
1530896183,41,3
1530897265,44,74
1530898099,30,0
1530899784,70,58
1530900876,60,37
1530902544,71,80
1530903933,50,79
1530905305,99,3
1530906623,69,48
1530907832,65,54
1530909034,52,61
1530911130,73,55
1530912314,61,1
1530912505,8,0
1530914126,68,58
1530915272,41,60
1530916527,63,67
1530917730,55,1
1530918875,75,43
1530920555,103,132
1530921383,65,1
1530922476,87,44
1530924158,80,42
1530924984,36,0
1530926075,38,32
1530927671,136,82
1530929439,111,45
1530930653,47,88
1530933280,113,91
1530934115,33,1
1530935791,100,90
1530936925,112,41
1530937702,49,1
1530938542,47,77
1530939393,36,0
1530940534,91,80
1530942071,96,105
1530942994,72,2
1530944135,73,48
1530944916,42,0
1530945747,40,84
1530947669,139,69
1530948508,34,0
1530950122,98,98
1530951329,76,45
1530952101,54,2
1530953782,77,100
1530955707,87,110
1530957388,64,88
1530958460,59,75
1530959309,27,0
1530960156,26,112
1530961525,70,53
1530963749,86,64
1530965441,81,44
1530966633,54,73
1530967350,63,1
1530969274,135,70
1530971133,87,110
1530972861,114,62
1530973699,35,1
1530974541,48,103
1530975380,31,0
1530976472,100,72
1530978328,650,100
1530979452,74,56
1530980066,39,0
1530980899,64,0
1530983124,156,204
1530984537,75,1
1530985349,25,121
1530986485,88,39
1530987631,73,0
1530988860,72,52
1530990864,86,87
1530992122,52,97
1530994462,109,76
1530995605,55,90
1530996928,55,3
1530998070,68,94
1530999741,54,49
1531001681,84,91
1531002501,27,0
1531003348,38,143
1531005271,436,44
1531008625,209,271
1531010543,88,101
1531011390,20,0
1531013312,49,80
1531014631,36,173
1531015840,66,70
1531017744,59,160
1531019662,87,72
1531020516,24,0
1531022187,71,136
1531023260,97,92
1531024950,60,136
1531026059,31,35
1531027236,53,1
1531027705,13,0
1531029026,60,107
1531030469,149,92
1531031728,62,135
1531033529,85,145
1531034065,31,0
1531034910,23,0
1531036134,37,184
1531037665,67,39
1531039234,58,84
1531040734,51,118
1531042939,133,109
1531043783,61,0
1531045708,101,58
1531047320,73,71
