DateTime,AddedIPs,RemovedIPs
1530569688,1,1
1530570943,0,1
1530572374,1,4
1530574114,0,1
1530576190,1,1
1530577710,0,1
1530580472,0,1
1530581306,1,0
1530583152,2,1
1530584077,0,1
1530584921,0,1
1530585751,1,0
1530591278,0,1
1530594335,3,1
1530595861,1,4
1530596553,0,2
1530599443,0,1
1530603639,1,1
1530605672,0,2
1530608143,1,0
1530610112,2,0
1530611443,0,1
1530612636,0,1
1530613837,0,1
1530616470,2,1
1530617315,0,1
1530621336,0,2
1530623742,2,0
1530627281,1,2
1530628958,1,0
1530631531,1,0
1530632742,0,1
1530634466,0,1
1530635740,1,0
1530638067,1,1
1530639328,0,1
1530639746,0,1
1530641429,1,1
1530642506,3,1
1530643834,0,2
1530645039,1,1
1530646957,7,2
1530648642,2,2
1530650737,1,1
1530651932,0,2
1530653130,2,1
1530654338,2,2
1530656078,1,0
1530657338,1,2
1530658537,1,2
1530659741,1,3
1530661242,1,1
1530663036,0,1
1530664960,1,1
1530668454,0,1
1530669387,2,0
1530670469,0,1
1530671312,0,1
1530672994,1,1
1530675764,0,1
1530679351,0,1
1530681287,2,1
1530682955,0,4
1530685714,0,1
1530687404,1,1
1530688474,2,1
1530692082,2,0
1530693671,1,0
1530695683,2,0
1530697357,1,1
1530699266,0,1
1530700953,1,0
1530702878,2,2
1530703721,3,1
1530705339,2,1
1530706541,1,0
1530709843,2,0
1530711747,2,1
1530714505,0,2
1530715640,1,0
1530716192,0,1
1530717340,0,1
1530720878,3,1
1530723331,1,1
1530724540,3,0
1530726988,0,2
1530729645,0,1
1530730598,1,0
1530731727,1,0
1530734191,1,1
1530736118,1,0
1530737443,0,1
1530739720,1,0
1530741274,2,0
1530744146,1,1
1530746080,2,1
1530747435,1,0
1530748742,0,1
1530751532,1,1
1530752731,0,1
1530758561,1,1
1530759395,1,0
1530762053,1,0
1530765667,0,3
1530767682,0,2
1530769346,0,1
1530775712,1,0
1530776562,1,0
1530778231,1,2
1530780162,2,1
1530782073,1,1
1530783910,2,1
1530785065,1,1
1530786647,0,1
1530787347,1,0
1530788191,0,1
1530791796,2,1
1530794551,1,1
1530796473,0,2
1530798153,0,1
1530798993,2,0
1530800077,1,1
1530802592,1,0
1530803672,1,0
1530805240,1,0
1530807041,1,1
1530808125,2,0
1530810332,0,1
1530811720,3,0
1530812559,0,4
1530813396,1,0
1530816054,1,2
1530818066,1,2
1530821673,0,1
1530822516,0,2
1530823354,0,1
1530826958,1,0
1530827788,0,1
1530828941,2,0
1530830553,1,1
1530832536,1,0
1530833726,2,1
1530837327,0,1
1530842192,1,0
1530843335,1,0
1530844535,1,1
1530845761,1,0
1530846946,4,1
1530848148,1,0
1530850467,2,1
1530851649,3,2
1530852991,1,0
1530854134,0,1
1530856531,1,1
1530860135,0,2
1530861334,1,2
1530864880,2,2
1530865708,1,0
1530867327,1,2
1530870630,2,1
1530873047,2,1
1530874674,0,1
1530876040,0,1
1530880113,0,1
1530880959,0,1
1530881786,0,1
1530883713,1,1
1530884555,0,1
1530888147,1,3
1530890071,1,0
1530890921,1,0
1530892585,2,1
1530893737,0,1
1530895354,3,2
1530896191,1,1
1530897272,2,1
1530898105,1,1
1530899799,5,0
1530900882,2,2
1530902551,1,1
1530905312,1,0
1530911136,2,1
1530912321,1,0
1530912511,1,0
1530914134,1,2
1530915285,1,0
1530918884,1,0
1530920572,1,2
1530921397,1,0
1530922489,1,0
1530924166,1,0
1530926083,3,2
1530927684,1,1
1530929458,2,0
1530930680,1,0
1530933289,1,1
1530934124,1,1
1530935800,1,1
1530936940,1,1
1530938549,1,1
1530939400,0,1
1530940544,0,1
1530943002,0,2
1530944149,1,0
1530944930,1,1
1530948516,1,0
1530950129,1,0
1530953789,2,0
1530955714,1,1
1530957396,1,2
1530958468,2,2
1530959317,1,0
1530960166,0,1
1530963758,3,1
1530965451,2,0
1530967359,1,1
1530969285,1,1
1530971144,3,1
1530972868,1,1
1530973707,0,1
1530975386,1,0
1530978337,0,2
1530980906,1,0
1530983144,0,2
1530984591,0,1
1530985357,1,1
1530986494,2,0
1530988871,1,3
1530992129,1,0
1530994470,2,2
1530995622,0,1
1530996936,0,1
1530999749,0,1
1531001690,1,0
1531002510,1,0
1531003360,1,5
1531005278,1,0
1531008644,6,3
1531010550,3,0
1531011398,1,0
1531013319,1,2
1531014638,1,2
1531015848,0,1
1531017753,2,3
1531022198,3,0
1531023267,1,1
1531024956,1,2
1531027713,0,1
1531029033,0,1
1531031736,1,1
1531033537,2,1
1531034072,0,1
1531036142,0,2
1531037673,3,0
1531039242,0,1
1531040742,0,1
1531042946,2,0
1531043790,1,1
1531045719,0,1
1531047332,0,1
1531048545,1,1
1531050072,1,2
1531051843,0,1
1531053756,2,1
1531055683,1,0
1531057349,1,3
1531059006,1,1
1531060249,1,1
1531060951,2,0
1531062875,1,1
1531065880,1,2
1531070077,2,0
1531071756,0,2
1531073679,1,0
1531076564,0,1
1531078122,0,1
1531078961,1,3
1531080878,2,0
1531082555,3,1
1531084480,1,2
1531086088,1,1
1531087009,1,0
1531088138,1,0
1531089334,2,1
1531091139,1,4
1531092510,1,0
1531093362,0,2
1531094192,0,1
1531095280,1,1
1531096950,1,2
1531097792,1,0
1531098941,1,1
1531102487,2,0
1531104531,1,0
1531106083,1,1
1531107707,2,1
1531108600,0,1
1531113270,0,1
1531114425,0,1
1531116642,1,0
1531119207,1,0
1531120542,0,1
1531122184,1,1
1531124081,1,0
1531125385,2,0
1531126596,0,1
1531127679,1,1
1531128821,1,1
1531132262,1,1
1531133802,1,1
1531134947,1,1
1531135714,2,0
1531137400,1,1
1531138541,2,3
1531139726,0,3
1531141539,0,2
1531142919,2,0
1531144128,3,0
1531147348,12,3
1531148599,1,0
1531150268,1,0
1531152874,2,1
1531154558,0,1
1531155751,0,2
1531158148,1,0
1531159480,0,1
1531163676,1,1
1531165096,2,0
1531168950,1,2
1531169798,0,1
1531170944,0,1
1531172132,1,1
1531173956,1,2
1531175854,1,1
1531177543,2,2
1531178680,1,3
1531179760,2,3
1531181441,1,0
1531184401,3,2
1531186961,1,2
1531188641,0,1
1531189720,2,0
1531194051,1,0
1531195840,1,0
1531196917,2,0
1531199742,1,1
1531202128,1,1
1531204954,0,1
1531206265,19,1
1531207716,4,3
1531209219,0,4
1531210532,0,2
1531211732,0,1
1531214033,1,1
1531215747,1,1
1531217443,2,0
1531220190,0,2
1531221339,1,1
1531222119,1,0
1531222967,1,1
1531224880,0,1
1531228468,2,1
1531229640,0,1
1531231001,1,3
1531232908,1,0
1531234230,1,1
1531235671,1,1
1531236790,1,2
1531238189,1,0
1531239342,0,1
1531240945,1,1
1531242345,1,3
1531243713,1,0
1531244547,1,0
1531246467,1,0
1531247321,1,0
1531248994,1,1
1531250076,0,2
1531250906,1,2
1531251751,0,2
1531252598,2,0
1531253676,0,2
1531254810,0,1
1531255347,1,1
1531256187,1,0
1531257279,1,0
1531258118,0,1
1531258959,0,2
1531260646,3,1
1531261853,0,1
1531263397,1,0
1531264540,1,0
1531267061,0,1
1531268439,0,2
1531270588,1,1
1531271732,0,2
1531273347,0,3
1531275284,1,0
1531278348,0,2
1531280561,1,1
1531282243,0,1
1531283318,1,0
1531286079,0,1
1531287753,1,0
1531293267,3,0
1531294946,0,1
1531297707,1,0
1531299041,0,1
1531301452,1,1
1531305675,2,2
1531309348,0,1
1531311273,2,1
1531312948,1,3
1531314942,4,1
1531316554,5,21
1531318546,0,3
1531320626,1,4
1531323014,1,0
1531323754,1,2
1531327352,1,1
1531328188,0,1
1531330946,1,0
1531332870,0,1
1531333706,0,1
1531335034,19,1
1531336241,2,0
1531338993,19,2
1531340914,0,4
1531342595,0,2
1531343751,0,2
1531345842,1,0
1531349742,0,4
1531350939,1,1
1531354482,1,4
1531355316,1,1
1531356937,1,1
1531360623,0,2
1531361689,2,0
1531362512,1,0
1531364192,1,3
1531366894,0,1
1531368875,1,1
1531370477,1,2
1531372476,4,0
1531374035,0,1
1531375840,1,1
1531377041,0,1
1531378533,0,1
1531380513,1,0
1531382187,1,1
1531383265,1,0
1531384401,2,0
1531384946,1,0
1531385787,0,1
1531389394,2,0
1531390478,1,0
1531391668,1,2
1531394075,0,3
1531395941,0,1
1531400193,0,1
1531402960,1,0
1531404939,2,0
1531407937,3,1
1531409312,1,0
1531410146,1,2
1531410987,0,2
1531412131,1,1
1531413755,1,2
1531414586,0,2
1531418804,2,0
1531419266,1,0
1531420960,1,3
1531422334,2,2
1531425335,2,0
1531427305,0,3
1531428997,1,0
1531430142,0,2
1531434645,2,3
1531437275,2,1
1531438947,2,0
1531441707,2,0
1531442555,1,0
1531443402,1,0
1531444540,0,2
1531446146,1,0
1531448077,0,2
1531451681,0,1
1531454141,1,0
1531456115,1,0
1531456956,0,1
1531458145,4,0
1531459707,3,1
1531461404,2,1
1531463312,0,1
1531464993,1,2
1531469674,0,3
1531470508,2,0
1531471348,0,1
1531473272,1,0
1531475225,0,1
