DateTime,Entries,UniqueIPs
1530569688,96,96
1530570943,95,95
1530572374,92,92
1530574114,91,91
1530576190,91,91
1530577710,90,90
1530580472,89,89
1530581306,90,90
1530583152,91,91
1530584077,90,90
1530584921,89,89
1530585751,90,90
1530591278,89,89
1530594335,91,91
1530595861,88,88
1530596553,86,86
1530599443,85,85
1530603639,85,85
1530605672,83,83
1530608143,84,84
1530610112,86,86
1530611443,85,85
1530612636,84,84
1530613837,83,83
1530616470,84,84
1530617315,83,83
1530621336,81,81
1530623742,83,83
1530627281,82,82
1530628958,83,83
1530631531,84,84
1530632742,83,83
1530634466,82,82
1530635740,83,83
1530638067,83,83
1530639328,82,82
1530639746,81,81
1530641429,81,81
1530642506,83,83
1530643834,81,81
1530645039,81,81
1530646957,86,86
1530648642,86,86
1530650737,86,86
1530651932,84,84
1530653130,85,85
1530654338,85,85
1530656078,86,86
1530657338,85,85
1530658537,84,84
1530659741,82,82
1530661242,82,82
1530663036,81,81
1530664960,81,81
1530668454,80,80
1530669387,82,82
1530670469,81,81
1530671312,80,80
1530672994,80,80
1530675764,79,79
1530679351,78,78
1530681287,79,79
1530682955,75,75
1530685714,74,74
1530687404,74,74
1530688474,75,75
1530692082,77,77
1530693671,78,78
1530695683,80,80
1530697357,80,80
1530699266,79,79
1530700953,80,80
1530702878,80,80
1530703721,82,82
1530705339,83,83
1530706541,84,84
1530709843,86,86
1530711747,87,87
1530714505,85,85
1530715640,86,86
1530716192,85,85
1530717340,84,84
1530720878,86,86
1530723331,86,86
1530724540,89,89
1530726988,87,87
1530729645,86,86
1530730598,87,87
1530731727,88,88
1530734191,88,88
1530736118,89,89
1530737443,88,88
1530739720,89,89
1530741274,91,91
1530744146,91,91
1530746080,92,92
1530747435,93,93
1530748742,92,92
1530751532,92,92
1530752731,91,91
1530758561,91,91
1530759395,92,92
1530762053,93,93
1530765667,90,90
1530767682,88,88
1530769346,87,87
1530775712,88,88
1530776562,89,89
1530778231,88,88
1530780162,89,89
1530782073,89,89
1530783910,90,90
1530785065,90,90
1530786647,89,89
1530787347,90,90
1530788191,89,89
1530791796,90,90
1530794551,90,90
1530796473,88,88
1530798153,87,87
1530798993,89,89
1530800077,89,89
1530802592,90,90
1530803672,91,91
1530805240,92,92
1530807041,92,92
1530808125,94,94
1530810332,93,93
1530811720,96,96
1530812559,92,92
1530813396,93,93
1530816054,92,92
1530818066,91,91
1530821673,90,90
1530822516,88,88
1530823354,87,87
1530826958,88,88
1530827788,87,87
1530828941,89,89
1530830553,89,89
1530832536,90,90
1530833726,91,91
1530837327,90,90
1530842192,91,91
1530843335,92,92
1530844535,92,92
1530845761,93,93
1530846946,96,96
1530848148,97,97
1530850467,98,98
1530851649,99,99
1530852991,100,100
1530854134,99,99
1530856531,99,99
1530860135,97,97
1530861334,96,96
1530864880,96,96
1530865708,97,97
1530867327,96,96
1530870630,97,97
1530873047,98,98
1530874674,97,97
