DateTime,AddedIPs,RemovedIPs
1530341547,14,4
1530345374,21,16
1530347301,18,39
1530349235,15,13
1530351136,9,0
1530353067,12,8
1530360975,5,74
1530362887,29,25
1530364815,22,7
1530370569,7,67
1530372491,17,16
1530374448,14,16
1530376334,11,0
1530378258,16,3
1530380178,9,10
1530382093,20,10
1530384010,6,20
1530385940,27,10
1530387856,24,0
1530391716,21,47
1530393610,20,9
1530395527,11,0
1530397571,25,19
1530401675,20,24
1530403811,17,33
1530407679,22,13
1530409696,12,15
1530411635,19,0
1530413530,16,24
1530415449,16,14
1530417367,15,15
1530419292,16,0
1530421218,16,20
1530423137,24,30
1530425067,24,14
1530427201,23,18
1530429132,16,18
1530432977,12,45
1530434893,8,22
1530436812,6,8
1530438730,6,19
1530440653,3,20
1530442575,3,22
1530444491,6,9
1530446436,9,18
1530448337,15,20
1530450255,28,16
1530452437,18,22
1530454346,22,23
1530456257,11,10
1530458173,8,0
1530460176,23,18
1530462026,14,21
1530465848,15,51
1530467772,8,17
1530469688,12,0
1530471615,19,19
1530473535,10,25
1530475454,17,8
1530477375,19,15
1530479295,22,0
1530481205,17,29
1530483140,16,16
1530485047,15,0
1530486971,19,15
1530488895,26,0
1530492726,9,38
1530494677,20,10
1530496568,6,9
1530500667,25,15
1530504493,16,44
1530506414,19,11
1530508335,17,13
1530510249,29,7
1530512183,14,12
1530516006,14,30
1530517956,20,12
1530519850,17,15
1530521709,10,16
1530523687,11,18
1530525623,4,6
1530528085,3,11
1530529948,10,4
1530531849,6,4
1530533775,9,0
1530535698,21,0
1530537609,15,46
1530539562,13,6
1530541452,19,4
1530543367,9,0
1530545298,15,25
1530547240,9,5
1530549136,6,17
1530551060,12,0
1530552972,10,10
1530554903,5,11
1530556814,5,10
1530558742,10,0
1530560650,21,0
1530562581,10,13
1530564762,7,3
1530566907,23,6
1530569001,9,11
1530570994,8,14
1530572901,5,19
1530578652,18,29
1530584648,18,49
1530586825,21,11
1530588739,23,0
1530590661,22,8
1530592692,21,6
1530594500,7,0
1530596417,18,17
1530598352,18,0
1530600259,26,20
1530602310,19,0
1530604350,13,17
1530606257,12,20
1530608181,15,13
1530610091,8,12
