DateTime,AddedIPs,RemovedIPs
1531173864,23,17
1531174102,2,2
1531174813,22,14
1531175065,5,3
1531175771,24,9
1531176022,4,9
1531176753,20,12
1531177011,5,22
1531177699,29,7
1531178190,4,0
1531178652,21,9
1531179153,7,9
1531179618,24,16
1531180100,7,17
1531180589,23,14
1531181059,8,19
1531181533,23,9
1531182032,10,28
1531182488,36,16
1531182971,5,29
1531183501,26,15
1531183938,9,21
1531184428,33,13
1531184927,10,22
1531185434,31,11
1531185889,9,17
1531186336,32,18
1531186847,12,10
1531187308,19,25
1531187788,8,24
1531188280,32,17
1531188790,9,26
1531189233,18,14
1531189699,14,8
1531190170,29,17
1531190681,19,9
1531191175,22,29
1531191645,14,9
1531192111,27,19
1531192588,3,11
1531193066,20,19
1531193541,7,19
1531194067,29,12
1531194504,9,4
1531194973,34,20
1531195463,6,19
1531195934,37,15
1531196419,6,5
1531196911,27,21
1531197392,8,7
1531198115,27,18
1531198572,7,11
1531199095,28,15
1531199567,5,3
1531200034,39,19
1531200489,1,1
1531200987,41,19
1531201468,1,18
1531201932,49,18
1531202460,13,6
1531202906,26,21
1531203398,6,10
1531203854,49,20
1531204353,8,5
1531204818,38,18
1531205296,10,0
1531205786,37,24
1531206257,8,7
1531206735,37,26
1531207228,5,15
1531207699,34,19
1531208174,1,0
1531209142,16,23
1531209640,31,40
1531210100,7,0
1531210598,26,21
1531211072,5,19
1531211539,37,23
1531212025,8,12
1531212499,42,16
1531212977,6,0
1531213475,35,16
1531213947,8,8
1531214412,48,21
1531214907,19,13
1531215372,44,27
1531215851,16,0
1531216351,29,18
1531216837,13,14
1531217293,30,26
1531217793,18,20
1531218272,57,21
1531218846,16,6
1531219221,46,27
1531219927,16,6
1531220190,32,28
1531220906,2,4
1531221134,36,15
1531221852,16,12
1531222108,27,23
1531222805,2,5
1531223605,45,37
1531224086,7,15
1531224751,33,18
1531225234,10,3
1531225713,22,24
1531226186,6,3
1531226672,29,14
1531227129,2,7
1531227635,22,26
1531228106,7,10
1531228609,30,27
1531229078,2,13
1531229561,26,24
1531230044,4,5
1531230509,16,2
1531230991,4,7
1531231468,24,37
1531231972,6,15
1531232424,33,25
1531232912,3,10
1531233384,22,2
1531233883,4,7
1531234351,32,34
1531234840,2,11
1531235305,21,18
1531235804,10,3
1531236258,30,5
1531236790,2,6
1531237235,64,42
1531237805,1,5
1531238193,31,25
1531239191,22,32
1531240129,32,17
1531241081,31,19
1531242038,22,29
1531242987,38,40
1531243976,27,31
1531244895,26,3
1531245931,25,55
1531246811,6,8
1531247068,20,21
1531247773,5,4
1531248023,25,22
1531248745,5,15
1531249263,27,22
1531249725,3,10
1531250183,18,15
1531250722,4,6
1531251146,20,21
1531252612,36,62
1531253533,23,6
1531254500,27,43
1531255527,21,36
1531255958,7,18
1531256454,24,17
1531256920,3,17
1531257384,30,6
1531257877,6,0
1531258349,32,5
1531258843,6,0
1531259300,23,19
1531259789,4,5
1531260279,35,14
1531260755,4,10
1531261213,21,16
1531261692,5,19
1531262191,22,12
1531262674,6,6
1531263154,30,19
1531263616,3,13
1531264123,24,18
1531264582,7,12
1531265560,27,20
1531266500,26,23
1531267466,30,23
1531268468,44,23
1531269390,41,39
1531270346,29,31
1531271294,28,25
1531272269,46,40
1531273218,34,34
1531274181,32,41
1531275215,48,31
1531276345,29,36
1531277297,28,76
1531278266,35,19
1531279221,30,39
1531280182,42,53
1531281133,29,36
1531282103,25,55
1531283090,46,47
1531284037,37,20
1531285271,39,44
1531286182,35,44
1531287140,35,57
1531288100,38,46
1531289061,26,32
1531290032,31,45
1531290984,40,33
1531291940,28,35
