DateTime,Entries,UniqueIPs
1531173864,2777,2777
1531174102,2770,2770
1531174813,2774,2774
1531175065,2769,2769
1531175771,2753,2753
1531176022,2753,2753
1531176753,2762,2762
1531177011,2757,2757
1531177699,2761,2761
1531178190,2756,2756
1531178652,2764,2764
1531179153,2760,2760
1531179618,2758,2758
1531180100,2762,2762
1531180589,2766,2766
1531181059,2763,2763
1531181533,2764,2764
1531182032,2763,2763
1531182488,2767,2767
1531182971,2762,2762
1531183501,2766,2766
1531183938,2773,2773
1531184428,2781,2781
1531184927,2783,2783
1531185434,2804,2804
1531185889,2806,2806
1531186336,2800,2800
1531186847,2807,2807
1531187308,2793,2793
1531187788,2795,2795
1531188280,2828,2828
1531188790,2823,2823
1531189233,2815,2815
1531189699,2813,2813
1531190170,2810,2810
1531190681,2818,2818
1531191175,2829,2829
1531191645,2838,2838
1531192111,2819,2819
1531192588,2817,2817
1531193066,2831,2831
1531193541,2832,2832
1531194067,2837,2837
1531194504,2842,2842
1531194973,2847,2847
1531195463,2835,2835
1531195934,2853,2853
1531196419,2826,2826
1531196911,2831,2831
1531197392,2823,2823
1531198115,2828,2828
1531198572,2826,2826
1531199095,2825,2825
1531199567,2807,2807
1531200034,2808,2808
1531200489,2798,2798
1531200987,2813,2813
1531201468,2809,2809
1531201932,2822,2822
1531202460,2826,2826
1531202906,2825,2825
1531203398,2821,2821
1531203854,2817,2817
1531204353,2797,2797
1531204818,2808,2808
1531205296,2799,2799
1531205786,2809,2809
1531206257,2799,2799
1531206735,2821,2821
1531207228,2813,2813
1531207699,2809,2809
1531208174,2805,2805
1531209142,2793,2793
1531209640,2828,2828
1531210100,2801,2801
1531210598,2773,2773
1531211072,2761,2761
1531211539,2770,2770
1531212025,2749,2749
1531212499,2755,2755
1531212977,2752,2752
1531213475,2752,2752
1531213947,2752,2752
1531214412,2769,2769
1531214907,2778,2778
1531215372,2807,2807
1531215851,2803,2803
1531216351,2824,2824
1531216837,2813,2813
1531217293,2817,2817
1531217793,2819,2819
1531218272,2782,2782
1531218846,2791,2791
1531219221,2798,2798
1531219927,2801,2801
1531220190,2808,2808
1531220906,2795,2795
1531221134,2794,2794
1531221852,2793,2793
1531222108,2797,2797
1531222805,2790,2790
1531223605,2813,2813
1531224086,2808,2808
1531224751,2808,2808
1531225234,2805,2805
1531225713,2840,2840
1531226186,2831,2831
1531226672,2812,2812
1531227129,2804,2804
1531227635,2803,2803
1531228106,2799,2799
1531228609,2805,2805
1531229078,2798,2798
1531229561,2806,2806
1531230044,2803,2803
1531230509,2802,2802
1531230991,2789,2789
1531231468,2793,2793
1531231972,2789,2789
1531232424,2796,2796
1531232912,2789,2789
1531233384,2797,2797
1531233883,2797,2797
1531234351,2798,2798
1531234840,2790,2790
1531235305,2789,2789
1531235804,2788,2788
1531236258,2795,2795
1531236790,2786,2786
1531237235,2807,2807
1531237805,2800,2800
1531238193,2802,2802
1531239191,2788,2788
1531240129,2789,2789
1531241081,2795,2795
1531242038,2787,2787
1531242987,2782,2782
1531243976,2786,2786
1531244895,2792,2792
1531245931,2800,2800
1531246811,2803,2803
1531247068,2799,2799
1531247773,2798,2798
1531248023,2794,2794
1531248745,2791,2791
1531249263,2786,2786
1531249725,2784,2784
1531250183,2799,2799
1531250722,2794,2794
1531251146,2789,2789
1531252612,2778,2778
1531253533,2797,2797
1531254500,2806,2806
1531255527,2795,2795
1531255958,2795,2795
1531256454,2810,2810
1531256920,2807,2807
1531257384,2793,2793
1531257877,2789,2789
1531258349,2788,2788
1531258843,2786,2786
1531259300,2796,2796
1531259789,2794,2794
1531260279,2802,2802
1531260755,2800,2800
1531261213,2782,2782
1531261692,2776,2776
1531262191,2793,2793
1531262674,2791,2791
1531263154,2798,2798
1531263616,2796,2796
1531264123,2793,2793
1531264582,2793,2793
1531265560,2790,2790
1531266500,2789,2789
1531267466,2791,2791
1531268468,2791,2791
1531269390,2792,2792
1531270346,2799,2799
1531271294,2763,2763
1531272269,2784,2784
1531273218,2786,2786
1531274181,2785,2785
1531275215,2778,2778
1531276345,2751,2751
1531277297,2766,2766
1531278266,2765,2765
1531279221,2751,2751
1531280182,2764,2764
1531281133,2740,2740
1531282103,2743,2743
1531283090,2745,2745
1531284037,2760,2760
1531285271,2749,2749
1531286182,2743,2743
1531287140,2767,2767
1531288100,2761,2761
1531289061,2759,2759
1531290032,2740,2740
1531290984,2745,2745
1531291940,2731,2731
1531292904,2719,2719
1531293872,2716,2716
1531294812,2731,2731
1531295778,2760,2760
1531296752,2728,2728
1531297689,2734,2734
1531298691,2724,2724
1531299630,2717,2717
1531300575,2732,2732
1531301556,2684,2684
1531302494,2703,2703
1531303470,2711,2711
1531304410,2698,2698
1531305392,2692,2692
1531306356,2689,2689
1531307295,2692,2692
1531308280,2698,2698
1531309224,2694,2694
1531310177,2698,2698
1531311185,2707,2707
1531312137,2690,2690
1531313126,2699,2699
1531314019,2701,2701
1531314308,2723,2723
1531314983,2724,2724
1531315224,2711,2711
1531315950,2711,2711
1531316432,2724,2724
1531316912,2727,2727
1531317386,2729,2729
1531317873,2731,2731
1531318359,2711,2711
1531318821,2710,2710
1531319312,2735,2735
1531319803,2734,2734
1531320299,2748,2748
1531320751,2748,2748
1531321233,2748,2748
1531321720,2744,2744
1531322186,2763,2763
1531322674,2756,2756
1531323142,2722,2722
1531323632,2716,2716
1531324105,2729,2729
1531324590,2730,2730
1531325363,2738,2738
1531325793,2738,2738
