DateTime,Entries,UniqueIPs
1530984489,2249,2254
1530985453,2243,2248
1530986430,2240,2245
1530987387,2231,2236
1530988342,2225,2230
1530989321,2220,2225
1530990287,2217,2221
1530991211,2226,2230
1530992194,2220,2224
1530993142,2224,2228
1530994123,2223,2227
1530995068,2215,2219
1530996010,2219,2223
1530996975,2221,2225
1530997957,2216,2220
1530998889,2216,2220
1530999859,2205,2209
1531000859,2204,2208
1531001802,2198,2202
1531002757,2198,2202
1531003694,2190,2194
1531005424,2173,2177
1531006337,2185,2189
1531007314,2174,2178
1531008254,2163,2167
1531009232,2157,2161
1531010195,2152,2156
1531011159,2142,2145
1531012116,2115,2118
1531013082,2103,2106
1531014027,2121,2124
1531014970,2101,2104
1531015938,2095,2098
1531016912,2088,2090
1531017869,2093,2095
1531018837,2096,2098
1531019797,2096,2098
1531020762,2101,2103
1531021715,2100,2102
1531022682,2092,2094
1531023886,2098,2100
1531024820,2099,2101
1531025776,2093,2095
1531026755,2094,2096
1531027689,2095,2097
1531028684,2092,2094
1531029624,2085,2087
1531030595,2084,2086
1531031553,2079,2081
1531032502,2082,2084
1531033459,2060,2063
1531034435,2066,2069
1531035382,2060,2063
1531036345,2066,2070
1531037308,2059,2063
1531038268,2058,2062
1531039219,2053,2057
1531040189,2049,2053
1531041180,2050,2054
1531042093,2046,2050
1531043073,2048,2052
1531044054,2053,2057
1531045007,2051,2056
1531046188,2055,2060
1531047620,2056,2061
1531048582,2050,2055
1531049544,2054,2058
1531050494,2048,2052
1531051486,2050,2054
1531052422,2059,2063
1531053369,2059,2063
1531054344,2058,2062
1531055291,2056,2060
1531056261,2051,2055
1531057207,2064,2068
1531058185,2064,2068
1531059153,2065,2070
1531060240,2057,2062
1531061188,2052,2057
1531062264,2041,2046
1531063472,2046,2051
1531064784,2051,2056
1531065741,2052,2057
1531066950,2058,2063
1531067909,2056,2061
1531068862,2051,2056
1531069835,2046,2051
1531070885,2046,2051
1531071854,2037,2042
1531072851,2028,2033
1531073783,2036,2041
1531074760,2022,2027
1531075771,2019,2024
1531076909,2021,2025
1531077863,2018,2022
1531078842,2029,2033
1531079775,2041,2045
1531080732,2046,2050
1531081816,2041,2045
1531082889,2044,2048
1531083864,2046,2050
1531084814,2051,2056
1531085771,2061,2066
1531086776,2062,2067
1531088815,2069,2074
1531089851,2067,2072
1531090826,2047,2051
1531091790,2057,2061
1531092791,2026,2030
1531093693,2031,2035
1531094668,1986,1990
1531095608,1990,1994
1531096573,1980,1984
1531097532,1956,1961
1531098858,1909,1914
1531099951,1902,1907
1531100893,1889,1894
1531101862,1887,1892
1531102881,1886,1891
1531104004,1872,1877
1531105012,1864,1869
1531105940,1864,1868
1531106891,1851,1855
1531107863,1841,1845
1531108831,1830,1834
1531109780,1833,1837
1531111004,1835,1839
1531111993,1826,1830
1531112916,1823,1827
1531113870,1827,1831
1531114834,1834,1838
1531115795,1826,1830
1531116759,1820,1824
1531117709,1832,1836
1531118690,1831,1835
1531119616,1829,1833
1531120583,1839,1843
1531121561,1841,1845
1531122496,1857,1861
1531123460,1889,1893
1531124427,1921,1925
1531125405,1940,1944
1531126384,1946,1950
1531127318,1952,1956
1531128288,1966,1970
1531129207,1958,1962
1531130180,1969,1973
1531131151,1971,1975
1531132110,1972,1975
1531133054,1970,1974
1531134027,1978,1982
1531134974,1993,1997
1531135967,1993,1997
1531137191,2003,2007
1531138118,2006,2010
1531139081,2012,2016
1531140039,2016,2020
1531140968,2023,2027
1531141975,2015,2019
1531142893,2009,2013
1531143874,2006,2010
1531144839,2004,2008
1531145800,2006,2010
1531146754,2009,2013
1531147717,2008,2012
1531148677,2003,2008
1531149663,2011,2016
1531150706,2008,2013
1531151766,2012,2017
1531152981,2011,2016
1531153941,2024,2029
1531154898,2023,2028
1531155870,2025,2030
1531156813,2024,2029
1531157815,2031,2036
1531158740,2034,2039
1531159750,2033,2038
1531160657,2029,2034
1531161622,2024,2029
1531162571,2025,2030
1531163537,2016,2021
1531164506,2012,2017
1531165512,2013,2018
1531166458,2013,2018
1531167390,2008,2013
1531168350,2014,2019
1531169817,2017,2022
1531170739,2006,2011
1531171705,1999,2004
1531173146,2000,2005
1531174102,1989,1994
1531175065,1996,2001
1531176022,1987,1991
1531177011,1988,1992
1531178190,1976,1980
1531179153,1956,1960
1531180100,1917,1921
1531181059,1931,1935
1531182032,1898,1902
1531182971,1906,1910
1531183938,1883,1887
1531184927,1905,1909
1531185889,1892,1896
1531186847,1882,1886
1531187788,1869,1873
1531188790,1868,1872
1531189699,1867,1870
1531190681,1876,1879
1531191645,1878,1881
1531192588,1873,1876
1531193541,1867,1870
1531194504,1869,1872
1531195463,1874,1876
1531196419,1867,1869
1531197392,1880,1882
1531198572,1871,1874
1531199567,1864,1867
1531200489,1864,1867
1531201468,1857,1860
1531202460,1863,1866
1531203398,1860,1863
1531204353,1855,1858
1531205296,1857,1860
1531206257,1851,1854
1531207228,1849,1852
1531208174,1840,1843
1531209142,1845,1848
1531210100,1850,1853
1531211072,1842,1845
1531212025,1840,1843
1531212977,1837,1840
1531213947,1837,1840
1531214907,1864,1867
1531215851,1876,1879
1531216837,1881,1884
1531217793,1900,1903
1531218846,1913,1916
1531219927,1930,1933
1531220906,1922,1925
1531221852,1932,1935
1531222805,1926,1929
1531224086,1934,1937
1531225234,1939,1942
1531226186,1931,1934
1531227129,1927,1930
1531228106,1927,1930
1531229078,1931,1934
1531230044,1924,1927
1531230991,1924,1927
1531231972,1919,1922
1531232912,1916,1919
1531233883,1921,1924
1531234840,1915,1918
1531235804,1914,1917
1531236790,1912,1915
1531237805,1905,1908
1531239189,1908,1911
1531240092,1905,1908
1531241052,1908,1911
1531242036,1908,1911
1531242986,1910,1913
1531243974,1913,1916
1531244894,1916,1919
1531245879,1917,1920
1531246811,1918,1921
1531247773,1913,1916
1531248745,1907,1910
1531249725,1902,1905
1531250722,1899,1902
1531252611,1879,1882
1531253531,1879,1882
1531254498,1876,1879
1531255958,1867,1870
1531256920,1856,1859
1531257877,1856,1859
1531258843,1850,1853
1531259789,1844,1847
1531260755,1840,1842
1531261692,1841,1843
1531262674,1841,1843
1531263616,1839,1841
1531264582,1849,1851
1531265558,1845,1847
1531266498,1858,1860
1531267464,1848,1850
1531268449,1862,1864
1531269376,1881,1883
1531270345,1889,1891
1531271293,1906,1908
1531272268,1927,1929
1531273216,1930,1932
1531274180,1943,1945
1531275198,1932,1934
1531276343,1943,1945
1531277295,1950,1952
1531278265,1958,1960
1531279219,1964,1967
1531280180,1979,1982
1531281132,1967,1970
1531282102,1940,1943
1531283052,1947,1950
1531284010,1953,1956
1531285269,1946,1949
1531286174,1947,1950
1531287138,1957,1960
1531288099,1959,1962
1531289060,1960,1963
1531290031,1941,1944
1531290970,1936,1939
1531291939,1927,1930
1531292903,1928,1931
1531293870,1941,1944
1531294810,1917,1920
1531295776,1898,1901
1531296743,1888,1891
1531297687,1871,1874
1531298674,1870,1873
1531299625,1868,1871
1531300574,1865,1868
1531301554,1860,1863
1531302493,1851,1854
1531303462,1843,1846
1531304408,1841,1844
1531305390,1837,1840
1531306355,1826,1830
1531307294,1835,1839
1531308265,1821,1825
1531309222,1816,1820
1531310175,1823,1827
1531311183,1819,1822
1531312120,1815,1817
1531313103,1825,1827
1531314019,1821,1823
1531314983,1826,1828
1531315950,1830,1832
1531316912,1829,1831
1531317873,1832,1834
1531318821,1833,1835
1531319803,1836,1838
1531320751,1837,1839
1531321720,1832,1834
1531322674,1824,1826
1531323632,1823,1825
1531324590,1819,1821
1531325793,1827,1829
1531326745,1822,1824
1531327703,1815,1817
1531328652,1816,1818
1531329618,1818,1820
1531330578,1823,1825
1531331544,1821,1823
1531332506,1825,1827
1531333458,1827,1829
1531334421,1825,1827
1531335378,1825,1827
1531336353,1822,1824
1531337324,1812,1814
1531338275,1823,1825
1531339232,1826,1828
1531340189,1827,1829
1531341138,1823,1825
1531342105,1828,1830
1531343073,1827,1829
1531344022,1825,1827
1531344978,1821,1823
1531345950,1816,1819
1531347664,1812,1815
1531348576,1814,1817
1531349534,1816,1819
1531350508,1818,1821
1531351464,1822,1825
1531352429,1834,1837
1531353372,1838,1841
1531354332,1847,1850
1531355312,1865,1868
1531356262,1880,1883
1531357235,1872,1874
1531358183,1885,1887
1531359159,1907,1909
1531360093,1900,1902
1531361076,1910,1912
1531362009,1894,1896
1531362995,1901,1903
1531363931,1893,1895
1531364900,1906,1908
1531365853,1909,1911
1531366843,1919,1921
1531367767,1911,1913
1531368738,1923,1925
1531369705,1926,1928
1531370659,1925,1927
1531371623,1941,1943
1531372625,1934,1936
1531373537,1941,1943
1531374502,1915,1917
1531375463,1913,1915
1531376434,1908,1910
1531377371,1909,1911
1531378366,1910,1912
1531379298,1932,1934
1531380271,1923,1925
1531381234,1920,1922
1531382175,1942,1944
1531383141,1937,1939
1531384119,1913,1915
1531385075,1921,1923
1531386038,1922,1924
1531386986,1907,1909
1531387943,1927,1929
1531388914,1917,1919
1531389893,1918,1920
1531390836,1913,1915
1531391774,1924,1926
1531392759,1924,1926
1531393727,1923,1925
1531394673,1921,1923
1531395635,1924,1926
1531396591,1918,1920
1531397575,1929,1931
1531398510,1926,1928
1531399486,1933,1935
1531400449,1923,1925
1531401397,1919,1921
1531402346,1928,1931
1531403309,1935,1938
1531404279,1935,1938
1531405238,1935,1938
1531406179,1944,1947
1531407145,1947,1950
1531408109,1946,1949
1531409084,1936,1939
1531410027,1939,1942
1531410983,1944,1947
1531411972,1941,1945
1531412922,1937,1941
1531414099,1929,1933
1531415069,1922,1927
1531416009,1925,1930
1531416971,1919,1923
1531417972,1917,1921
1531418894,1923,1927
1531419860,1911,1915
1531420834,1904,1908
1531421769,1910,1914
1531422744,1905,1909
1531423707,1906,1910
1531424718,1899,1903
1531425849,1892,1896
1531426827,1884,1888
1531428013,1890,1894
1531428997,1892,1896
1531429935,1894,1898
1531430911,1888,1892
1531431901,1894,1898
1531432819,1881,1885
1531434780,1885,1889
1531435691,1893,1897
1531436661,1887,1891
1531437610,1882,1886
1531438591,1883,1887
1531439530,1879,1883
1531440505,1870,1874
1531441454,1878,1882
1531442422,1858,1862
1531443378,1886,1890
1531444341,1888,1892
1531445290,1881,1885
1531446271,1890,1894
1531447465,1902,1906
1531448427,1896,1900
1531449377,1922,1926
1531450356,1920,1924
1531451305,1925,1929
1531452283,1918,1922
1531453210,1941,1945
1531454187,1936,1940
1531455149,1934,1937
1531456094,1944,1947
1531457079,1938,1941
1531458040,1935,1938
1531459004,1945,1948
1531460209,1940,1943
1531461155,1939,1942
1531462111,1939,1942
1531463053,1942,1945
1531464025,1944,1947
1531464986,1942,1945
1531465942,1935,1938
1531466891,1941,1944
1531467877,1935,1938
1531468865,1938,1941
1531469806,1950,1953
1531470759,1954,1957
1531471702,1957,1960
1531472721,1965,1967
1531473626,1965,1967
1531474588,1974,1976
1531475563,1976,1978
1531476525,1976,1978
1531477481,1988,1990
