DateTime,AddedIPs,RemovedIPs
1530984489,6,5
1530985453,0,9
1530986430,1,9
1530987387,6,29
1530988342,19,26
1530989321,16,25
1530990287,6,17
1530991211,13,22
1530992194,10,16
1530993142,11,14
1530994123,10,18
1530995068,2,9
1530996010,7,14
1530996975,7,16
1530997957,5,9
1530998889,6,18
1530999859,5,14
1531000859,11,9
1531001802,9,12
1531002757,12,5
1531003694,7,4
1531005424,9,7
1531006337,31,0
1531007314,22,0
1531008254,16,0
1531009232,24,5
1531010195,24,7
1531011159,23,11
1531012116,15,0
1531013082,11,28
1531014027,34,13
1531014970,22,136
1531015938,13,0
1531016912,15,75
1531017869,26,80
1531018837,19,0
1531019797,14,38
1531020762,22,31
1531021715,13,38
1531022682,13,19
1531023886,19,12
1531024820,11,0
1531025776,8,3
1531026755,18,31
1531027689,12,39
1531028684,11,36
1531029624,16,15
1531030595,12,21
1531031553,15,19
1531032502,13,3
1531033459,16,34
1531034435,23,36
1531035382,7,8
1531036345,27,18
1531037308,6,25
1531038268,13,25
1531039219,13,19
1531040189,14,24
1531041180,23,24
1531042093,12,32
1531043073,14,26
1531044054,14,26
1531045007,20,19
1531046188,11,7
1531047620,11,33
1531048582,8,11
1531049544,20,18
1531050494,5,14
1531051486,14,13
1531052422,20,23
1531053369,9,0
1531054344,9,26
1531055291,12,0
1531056261,11,10
1531057207,19,18
1531058185,13,25
1531059153,9,13
1531060240,6,16
1531061188,5,12
1531062264,11,10
1531063472,11,11
1531064784,13,14
1531065741,9,14
1531066950,13,14
1531067909,3,12
1531068862,6,11
1531069835,3,15
1531070885,7,4
1531071854,3,3
1531072851,2,12
1531073783,8,7
1531074760,13,29
1531075771,8,0
1531076909,14,24
1531077863,8,23
1531078842,21,38
1531079775,14,0
1531080732,11,15
1531081816,3,24
1531082889,14,17
1531083864,9,24
1531084814,17,0
1531085771,13,21
1531086776,5,16
1531088815,26,23
1531089851,6,28
1531090826,8,0
1531091790,10,30
1531092791,10,16
1531093693,5,0
1531094668,10,59
1531095608,4,28
1531096573,15,0
1531097532,7,58
1531098858,8,31
1531099951,12,11
1531100893,4,33
1531101862,16,26
1531102881,13,15
1531104004,2,20
1531105012,10,12
1531105940,8,5
1531106891,5,3
1531107863,7,3
1531108831,7,4
1531109780,11,2
1531111004,14,3
1531111993,4,2
1531112916,8,7
1531113870,18,28
1531114834,10,27
1531115795,7,24
1531116759,7,16
1531117709,19,23
1531118690,18,20
1531119616,13,20
1531120583,15,20
1531121561,13,14
1531122496,31,16
1531123460,46,16
1531124427,47,19
1531125405,32,16
1531126384,25,24
1531127318,19,19
1531128288,24,19
1531129207,8,0
1531130180,22,25
1531131151,16,10
1531132110,12,16
1531133054,12,0
1531134027,19,6
1531134974,15,12
1531135967,16,15
1531137191,18,29
1531138118,14,14
1531139081,11,26
1531140039,14,12
1531140968,14,0
1531141975,8,39
1531142893,5,0
1531143874,8,23
1531144839,7,38
1531145800,11,31
1531146754,12,18
1531147717,8,20
1531148677,12,26
1531149663,8,19
1531150706,14,14
1531151766,11,22
1531152981,15,23
1531153941,18,26
1531154898,12,24
1531155870,13,25
1531156813,11,10
1531157815,8,13
1531158740,8,2
1531159750,7,13
1531160657,10,21
1531161622,2,36
1531162571,10,26
1531163537,6,22
1531164506,7,30
1531165512,10,28
1531166458,6,33
1531167390,2,27
1531168350,12,43
1531169817,7,22
1531170739,3,31
1531171705,6,0
1531173146,10,64
1531174102,5,27
1531175065,7,38
1531176022,5,23
1531177011,9,22
1531178190,4,16
1531179153,10,19
1531180100,10,25
1531181059,14,24
1531182032,14,20
1531182971,8,28
1531183938,21,22
1531184927,22,36
1531185889,18,26
1531186847,16,19
1531187788,15,18
1531188790,16,30
1531189699,20,0
1531190681,26,49
1531191645,19,21
1531192588,7,27
1531193541,10,0
1531194504,19,16
1531195463,15,52
1531196419,11,0
1531197392,13,36
1531198572,12,24
1531199567,9,11
1531200489,5,16
1531201468,11,32
1531202460,28,28
1531203398,13,25
1531204353,20,15
1531205296,16,0
1531206257,14,7
1531207228,11,32
1531208174,7,0
1531209142,15,17
1531210100,15,22
1531211072,12,50
1531212025,13,13
1531212977,9,0
1531213947,18,28
1531214907,33,14
1531215851,22,0
1531216837,20,19
1531217793,23,12
1531218846,27,26
1531219927,24,10
1531220906,6,12
1531221852,18,19
1531222805,9,12
1531224086,13,10
1531225234,15,31
1531226186,7,0
1531227129,9,8
1531228106,12,8
1531229078,9,33
1531230044,10,12
1531230991,6,6
1531231972,6,0
1531232912,5,24
1531233883,7,11
1531234840,4,11
1531235804,12,0
1531236790,7,26
1531237805,5,0
1531239189,13,28
1531240092,4,0
1531241052,9,10
1531242036,9,8
1531242986,6,12
1531243974,7,1
1531244894,7,16
1531245879,5,9
1531246811,6,19
1531247773,5,48
1531248745,5,14
1531249725,5,28
1531250722,10,0
1531252611,13,13
1531253531,5,10
1531254498,5,19
1531255958,13,30
1531256920,4,16
1531257877,7,0
1531258843,9,20
1531259789,4,24
1531260755,7,16
1531261692,6,22
1531262674,8,12
1531263616,9,11
1531264582,10,17
1531265558,9,18
1531266498,13,25
1531267464,10,29
1531268449,25,34
1531269376,21,14
1531270345,16,32
1531271293,17,20
1531272268,29,21
1531273216,8,26
1531274180,18,19
1531275198,22,27
1531276343,22,22
1531277295,12,22
1531278265,14,14
1531279219,13,18
