DateTime,AddedIPs,RemovedIPs
1530984489,6,7
1530985453,0,2
1530986430,1,10
1530987387,6,11
1530988342,19,19
1530989321,16,8
1530990287,6,11
1530991211,13,13
1530992194,10,11
1530993142,11,10
1530994123,10,2
1530995068,2,6
1530996010,7,8
1530996975,7,11
1530997957,5,7
1530998889,6,11
1530999859,5,3
1531000859,11,4
1531001802,9,8
1531002757,12,11
1531003694,7,8
1531005424,9,29
1531006337,31,16
1531007314,22,25
1531008254,16,27
1531009232,24,28
1531010195,24,25
1531011159,23,30
1531012116,15,36
1531013082,11,19
1531014027,34,19
1531014970,22,17
1531015938,13,18
1531016912,15,14
1531017869,26,16
1531018837,19,18
1531019797,14,9
1531020762,22,18
1531021715,13,17
1531022682,13,18
1531023886,19,8
1531024820,11,12
1531025776,8,13
1531026755,18,11
1531027689,12,14
1531028684,11,3
1531029624,16,15
1531030595,12,13
1531031553,15,7
1531032502,13,19
1531033459,16,15
1531034435,23,5
1531035382,7,11
1531036345,27,15
1531037308,6,14
1531038268,13,15
1531039219,13,13
1531040189,14,19
1531041180,23,13
1531042093,12,10
1531043073,14,16
1531044054,14,11
1531045007,20,14
1531046188,11,12
1531047620,11,13
1531048582,8,11
1531049544,20,9
1531050494,5,7
1531051486,14,8
1531052422,20,11
1531053369,9,5
1531054344,9,10
1531055291,12,7
1531056261,11,16
1531057207,19,11
1531058185,13,11
1531059153,9,9
1531060240,6,9
1531061188,5,9
1531062264,11,9
1531063472,11,16
1531064784,13,17
1531065741,9,7
1531066950,13,16
1531067909,3,5
1531068862,6,13
1531069835,3,11
1531070885,7,12
1531071854,3,1
1531072851,2,5
1531073783,8,8
1531074760,13,14
1531075771,8,7
1531076909,14,9
1531077863,8,15
1531078842,21,11
1531079775,14,9
1531080732,11,6
1531081816,3,7
1531082889,14,6
1531083864,9,4
1531084814,17,14
1531085771,13,13
1531086776,5,9
1531088815,26,16
1531089851,6,15
1531090826,8,8
1531091790,10,16
1531092791,10,30
1531093693,5,19
1531094668,10,30
1531095608,4,17
1531096573,15,30
1531097532,7,14
1531098858,8,30
1531099951,12,31
1531100893,4,26
1531101862,16,28
1531102881,13,17
1531104004,2,22
1531105012,10,17
1531105940,8,17
1531106891,5,12
1531107863,7,16
1531108831,7,17
1531109780,11,11
1531111004,14,18
1531111993,4,8
1531112916,8,12
1531113870,18,16
1531114834,10,5
1531115795,7,18
1531116759,7,22
1531117709,19,16
1531118690,18,25
1531119616,13,14
1531120583,15,20
1531121561,13,13
1531122496,31,16
1531123460,46,10
1531124427,47,10
1531125405,32,20
1531126384,25,15
1531127318,19,12
1531128288,24,18
1531129207,8,6
1531130180,22,10
1531131151,16,15
1531132110,12,4
1531133054,12,14
1531134027,19,7
1531134974,15,14
1531135967,16,8
1531137191,18,15
1531138118,14,5
1531139081,11,10
1531140039,14,15
1531140968,14,13
1531141975,8,12
1531142893,5,5
1531143874,8,17
1531144839,7,6
1531145800,11,11
1531146754,12,8
1531147717,8,2
1531148677,12,10
1531149663,8,13
1531150706,14,9
1531151766,11,12
1531152981,15,10
1531153941,18,7
1531154898,12,6
1531155870,13,9
1531156813,11,4
1531157815,8,4
1531158740,8,4
1531159750,7,4
1531160657,10,5
1531161622,2,10
1531162571,10,11
1531163537,6,10
1531164506,7,13
1531165512,10,16
1531166458,6,17
1531167390,2,5
1531168350,12,8
1531169817,7,22
1531170739,3,15
1531171705,6,7
1531173146,10,15
1531174102,5,10
1531175065,7,12
1531176022,5,5
1531177011,9,8
1531178190,4,11
1531179153,10,10
1531180100,10,3
1531181059,14,10
1531182032,14,10
1531182971,8,11
1531183938,21,2
1531184927,22,8
1531185889,18,8
1531186847,16,5
1531187788,15,5
1531188790,16,17
1531189699,20,16
1531190681,26,11
1531191645,19,5
1531192588,7,6
1531193541,10,6
1531194504,19,4
1531195463,15,21
1531196419,11,32
1531197392,13,17
1531198572,12,10
1531199567,9,23
1531200489,5,12
1531201468,11,5
1531202460,28,10
1531203398,13,10
1531204353,20,29
1531205296,16,18
1531206257,14,17
1531207228,11,12
1531208174,7,6
1531209142,15,27
1531210100,15,34
1531211072,12,17
1531212025,13,29
1531212977,9,12
1531213947,18,8
1531214907,33,14
1531215851,22,21
1531216837,20,28
1531217793,23,16
1531218846,27,9
1531219927,24,13
1531220906,6,17
1531221852,18,18
1531222805,9,9
1531224086,13,13
1531225234,15,14
1531226186,7,15
1531227129,9,10
1531228106,12,12
1531229078,9,10
1531230044,10,7
1531230991,6,17
1531231972,6,10
1531232912,5,9
1531233883,7,4
1531234840,4,9
1531235804,12,10
1531236790,7,11
1531237805,5,9
1531239189,13,14
1531240092,4,7
1531241052,9,14
1531242036,9,13
1531242986,6,12
1531243974,7,3
1531244894,7,1
1531245879,5,8
1531246811,6,3
1531247773,5,6
1531248745,5,7
1531249725,5,5
1531250722,10,9
1531252611,13,17
1531253531,5,5
1531254498,5,5
1531255958,13,10
1531256920,4,6
1531257877,7,10
1531258843,9,9
1531259789,4,6
1531260755,7,6
1531261692,6,12
1531262674,8,8
1531263616,9,4
1531264582,10,7
1531265558,9,12
1531266498,13,9
1531267464,10,18
1531268449,25,14
1531269376,21,14
1531270345,16,24
1531271293,17,28
1531272268,29,14
1531273216,8,18
1531274180,18,26
1531275198,22,21
1531276343,22,31
1531277295,12,20
1531278265,14,17
1531279219,13,11
1531280180,19,14
1531281132,9,19
1531282102,5,13
1531283052,24,6
1531284010,16,15
1531285269,16,17
1531286174,13,11
1531287138,15,14
1531288099,12,10
1531289060,11,19
1531290031,10,15
1531290970,13,19
1531291939,8,14
1531292903,13,12
1531293870,19,15
1531294810,3,5
1531295776,15,13
1531296743,7,16
1531297687,12,17
1531298674,11,14
1531299625,6,12
1531300574,11,7
1531301554,16,31
1531302493,19,16
1531303462,8,12
1531304408,7,14
1531305390,9,21
1531306355,7,7
1531307294,9,6
1531308265,13,9
1531309222,8,9
1531310175,7,14
1531311183,9,9
1531312120,10,10
1531313103,20,9
1531314019,8,6
1531314983,15,9
1531315950,11,12
1531316912,16,4
1531317873,13,4
1531318821,10,7
1531319803,7,4
1531320751,10,2
1531321720,5,7
1531322674,3,9
1531323632,8,8
1531324590,10,4
1531325793,15,10
1531326745,9,13
1531327703,6,13
1531328652,13,5
1531329618,5,10
1531330578,6,13
1531331544,6,4
1531332506,7,6
1531333458,8,6
1531334421,5,11
1531335378,5,9
1531336353,6,11
1531337324,7,3
1531338275,11,9
1531339232,8,3
1531340189,6,11
1531341138,6,12
1531342105,5,2
1531343073,5,6
1531344022,8,4
1531344978,5,7
1531345950,2,3
1531347664,14,19
1531348576,10,13
1531349534,6,8
1531350508,9,11
1531351464,16,18
1531352429,21,16
1531353372,22,13
1531354332,23,20
1531355312,32,21
1531356262,39,32
1531357235,19,11
1531358183,27,21
1531359159,40,30
1531360093,19,20
1531361076,31,17
1531362009,15,7
1531362995,27,23
1531363931,9,7
1531364900,24,12
1531365853,17,12
1531366843,29,18
1531367767,5,7
1531368738,18,11
1531369705,18,14
1531370659,16,14
1531371623,16,6
1531372625,18,14
1531373537,7,12
1531374502,3,9
1531375463,13,8
1531376434,14,9
1531377371,15,14
1531378366,13,10
1531379298,22,13
1531380271,11,12
1531381234,10,10
1531382175,22,12
1531383141,11,10
1531384119,7,9
1531385075,20,6
1531386038,8,9
1531386986,16,9
1531387943,20,11
1531388914,18,8
1531389893,15,12
1531390836,16,11
1531391774,11,10
1531392759,13,6
1531393727,8,16
1531394673,7,19
1531395635,17,11
1531396591,3,5
1531397575,11,5
1531398510,7,4
1531399486,16,8
1531400449,5,4
1531401397,8,10
1531402346,10,14
1531403309,11,8
1531404279,11,10
1531405238,4,8
1531406179,9,7
1531407145,5,9
1531408109,6,10
1531409084,7,15
1531410027,3,5
1531410983,9,5
1531411972,8,11
1531412922,9,11
1531414099,5,10
1531415069,9,6
1531416009,3,8
1531416971,6,10
1531417972,8,3
1531418894,6,7
1531419860,5,5
1531420834,2,3
1531421769,6,2
1531422744,6,6
1531423707,4,1
1531424718,5,7
1531425849,4,6
1531426827,4,8
1531428013,8,6
1531428997,8,1
1531429935,6,3
1531430911,1,2
1531431901,9,6
1531432819,6,1
1531434780,17,21
1531435691,16,11
1531436661,5,12
1531437610,13,15
1531438591,17,18
1531439530,9,18
1531440505,11,31
1531441454,29,39
1531442422,12,26
1531443378,39,30
1531444341,23,35
1531445290,23,29
1531446271,29,27
1531447465,29,33
1531448427,24,19
1531449377,26,21
1531450356,17,14
1531451305,17,23
1531452283,11,9
1531453210,23,15
1531454187,13,15
1531455149,11,22
1531456094,10,17
1531457079,14,16
1531458040,11,14
1531459004,10,15
1531460209,16,11
1531461155,7,10
1531462111,9,12
1531463053,17,8
1531464025,12,13
1531464986,11,20
1531465942,5,17
1531466891,16,12
1531467877,6,20
1531468865,13,8
1531469806,21,8
1531470759,10,22
1531471702,12,10
1531472721,16,6
1531473626,11,10
1531474588,17,24
1531475563,14,18
1531476525,11,13
1531477481,22,13
