DateTime,Entries,UniqueIPs
1530984489,927,927
1530985453,925,925
1530986430,916,916
1530987387,911,911
1530988342,911,911
1530989321,919,919
1530990287,914,914
1530991211,914,914
1530992194,913,913
1530993142,914,914
1530994123,922,922
1530995068,918,918
1530996010,917,917
1530996975,913,913
1530997957,911,911
1530998889,906,906
1530999859,908,908
1531000859,915,915
1531001802,916,916
1531002757,917,917
1531003694,916,916
1531005424,896,896
1531006337,911,911
1531007314,908,908
1531008254,897,897
1531009232,893,893
1531010195,892,892
1531011159,885,885
1531012116,864,864
1531013082,856,856
1531014027,871,871
1531014970,876,876
1531015938,871,871
1531016912,872,872
1531017869,882,882
1531018837,883,883
1531019797,888,888
1531020762,892,892
1531021715,888,888
1531022682,883,883
1531023886,894,894
1531024820,893,893
1531025776,888,888
1531026755,895,895
1531027689,893,893
1531028684,901,901
1531029624,902,902
1531030595,901,901
1531031553,909,909
1531032502,903,903
1531033459,904,904
1531034435,922,922
1531035382,918,918
1531036345,930,930
1531037308,922,922
1531038268,920,920
1531039219,920,920
1531040189,915,915
1531041180,925,925
1531042093,927,927
1531043073,925,925
1531044054,928,928
1531045007,934,934
1531046188,933,933
1531047620,931,931
1531048582,928,928
1531049544,939,939
1531050494,937,937
1531051486,943,943
1531052422,952,952
1531053369,956,956
1531054344,955,955
1531055291,960,960
1531056261,955,955
1531057207,963,963
1531058185,965,965
1531059153,965,965
1531060240,962,962
1531061188,958,958
1531062264,960,960
1531063472,955,955
1531064784,951,951
1531065741,953,953
1531066950,950,950
1531067909,948,948
1531068862,941,941
1531069835,933,933
1531070885,928,928
1531071854,930,930
1531072851,927,927
1531073783,927,927
1531074760,926,926
1531075771,927,927
1531076909,932,932
1531077863,925,925
1531078842,935,935
1531079775,940,940
1531080732,945,945
1531081816,941,941
1531082889,949,949
1531083864,954,954
1531084814,957,957
1531085771,957,957
1531086776,953,953
1531088815,963,963
1531089851,954,954
1531090826,954,954
1531091790,948,948
1531092791,928,928
1531093693,914,914
1531094668,894,894
1531095608,881,881
1531096573,866,866
1531097532,859,859
1531098858,837,837
1531099951,818,818
1531100893,796,796
1531101862,784,784
1531102881,780,780
1531104004,760,760
1531105012,753,753
1531105940,744,744
1531106891,737,737
1531107863,728,728
1531108831,718,718
1531109780,718,718
1531111004,714,714
1531111993,710,710
1531112916,706,706
1531113870,708,708
1531114834,713,713
1531115795,702,702
1531116759,687,687
1531117709,690,690
1531118690,683,683
1531119616,682,682
1531120583,677,677
1531121561,677,677
1531122496,692,692
1531123460,728,728
1531124427,765,765
1531125405,777,777
1531126384,787,787
1531127318,794,794
1531128288,800,800
1531129207,802,802
1531130180,814,814
1531131151,815,815
1531132110,823,823
1531133054,821,821
1531134027,833,833
1531134974,834,834
1531135967,842,842
1531137191,845,845
1531138118,854,854
1531139081,855,855
1531140039,854,854
1531140968,855,855
1531141975,851,851
1531142893,851,851
1531143874,842,842
1531144839,843,843
1531145800,843,843
1531146754,847,847
1531147717,853,853
1531148677,855,855
1531149663,850,850
1531150706,855,855
1531151766,854,854
1531152981,859,859
1531153941,870,870
1531154898,876,876
1531155870,880,880
1531156813,887,887
1531157815,891,891
1531158740,895,895
1531159750,898,898
1531160657,903,903
1531161622,895,895
1531162571,894,894
1531163537,890,890
1531164506,884,884
1531165512,878,878
1531166458,867,867
1531167390,864,864
1531168350,868,868
1531169817,853,853
1531170739,841,841
1531171705,840,840
1531173146,835,835
1531174102,830,830
1531175065,825,825
1531176022,825,825
1531177011,826,826
1531178190,819,819
1531179153,819,819
1531180100,826,826
1531181059,830,830
1531182032,834,834
1531182971,831,831
1531183938,850,850
1531184927,864,864
1531185889,874,874
1531186847,885,885
1531187788,895,895
1531188790,894,894
1531189699,898,898
1531190681,913,913
1531191645,927,927
1531192588,928,928
1531193541,932,932
1531194504,947,947
1531195463,941,941
1531196419,920,920
1531197392,916,916
1531198572,918,918
1531199567,904,904
1531200489,897,897
1531201468,903,903
1531202460,921,921
1531203398,924,924
1531204353,915,915
1531205296,913,913
1531206257,910,910
1531207228,909,909
1531208174,910,910
1531209142,898,898
1531210100,879,879
1531211072,874,874
1531212025,858,858
1531212977,855,855
1531213947,865,865
1531214907,884,884
1531215851,885,885
1531216837,877,877
1531217793,884,884
1531218846,902,902
1531219927,913,913
1531220906,902,902
1531221852,902,902
1531222805,902,902
1531224086,902,902
1531225234,903,903
1531226186,895,895
1531227129,894,894
1531228106,894,894
1531229078,893,893
1531230044,896,896
1531230991,885,885
1531231972,881,881
1531232912,877,877
1531233883,880,880
1531234840,875,875
1531235804,877,877
1531236790,873,873
