DateTime,AddedIPs,RemovedIPs
1530980655,35,23
1530981613,32,21
1530982573,51,41
1530983581,30,28
1530984519,36,20
1530985969,15,36
1530986926,14,18
1530987878,28,12
1530988810,48,32
1530989778,29,24
1530990756,40,38
1530991753,46,24
1530992695,41,27
1530993625,37,28
1530994587,28,16
1530995538,25,29
1530996516,24,25
1530997471,43,24
1530998423,31,33
1530999387,26,35
1531000353,27,29
1531001323,31,45
1531002273,20,37
1531003242,32,39
1531005425,37,47
1531006339,32,28
1531007363,43,34
1531008503,44,16
1531009736,43,29
1531010666,33,25
1531011635,18,24
1531012580,31,22
1531013544,55,43
1531014493,37,35
1531015499,54,23
1531016410,33,32
1531017396,36,31
1531018375,50,31
1531019301,55,31
1531020304,52,19
1531021218,35,28
1531022185,32,22
1531023405,35,36
1531024372,26,48
1531025319,25,39
1531026254,30,26
1531027221,49,22
1531028200,48,28
1531029156,41,24
1531030097,59,48
1531031064,40,29
1531032012,46,30
1531032986,45,25
1531033935,67,37
1531034892,32,39
1531035873,49,37
1531036853,27,16
1531037795,48,54
1531038749,57,40
1531039700,59,0
1531040712,57,67
1531041625,63,32
1531042596,30,38
1531043536,53,0
1531044606,64,22
1531045701,24,60
1531046711,35,37
1531047636,39,24
1531048584,38,40
1531049545,41,40
1531050496,32,0
1531051502,50,53
1531052423,45,30
1531053370,43,0
1531054346,31,24
1531055293,48,29
1531056276,42,62
1531057209,33,0
1531058187,54,19
1531059154,34,15
1531060246,42,34
1531061190,39,0
1531062274,43,35
1531063473,40,43
1531064792,34,21
1531065743,35,18
1531066988,42,12
1531067911,29,19
1531068863,35,18
1531069841,33,18
1531070887,28,35
1531071886,26,14
1531072852,5,26
1531073784,25,25
1531074762,37,27
1531075821,20,24
1531076910,532,42
1531077864,46,31
1531078843,67,0
1531079818,54,20
1531080733,37,23
1531081818,34,23
1531082891,37,33
1531083878,30,0
1531084816,41,23
1531085772,33,21
1531086778,20,19
1531088822,48,47
1531089853,35,32
1531090827,40,25
1531091791,44,19
1531092798,29,18
1531093942,16,19
1531094892,35,18
1531095859,33,17
1531096807,24,12
1531097892,28,16
1531098860,29,28
1531099952,29,20
1531100895,24,22
1531101864,37,19
1531102888,30,30
1531104016,22,29
1531105032,28,21
1531105941,27,15
1531106893,25,0
1531108350,28,36
1531109316,37,20
1531110502,28,20
1531111487,29,28
1531112427,35,31
1531113402,28,26
1531114341,35,17
1531115302,0,16
1531116276,29,31
1531117217,48,19
1531118183,35,34
1531119138,44,21
1531120115,34,32
1531121064,35,23
1531122016,39,22
1531122987,55,42
1531123935,66,35
1531124889,55,33
1531125875,46,48
1531126835,35,18
1531127792,45,28
1531128736,45,24
1531129721,31,35
1531130670,51,31
1531131707,40,28
1531132820,35,59
1531133765,36,0
1531134730,70,19
1531135688,38,14
1531136665,47,21
1531137641,42,19
1531138587,28,18
1531139542,52,23
1531140498,25,21
1531141488,42,40
1531142431,40,14
1531143374,32,0
1531144406,39,39
1531145307,50,9
1531146272,48,16
1531147227,26,19
1531148191,31,20
1531149167,49,17
1531150093,37,0
1531151086,50,32
1531152021,27,0
1531152982,50,36
1531153945,49,0
1531154908,42,40
1531155875,47,15
1531156815,45,0
1531157834,40,25
1531158742,18,0
1531159763,39,16
1531160937,35,40
1531161872,43,0
