DateTime,AddedIPs,RemovedIPs
1530980655,1236,1236
1530981613,1318,1318
1530982573,1341,1341
1530983581,1280,1280
1530984519,1286,1286
1530985969,711,711
1530986926,843,843
1530987878,1331,1331
1530988810,1346,1346
1530989778,1370,1370
1530990756,1306,1306
1530991753,1212,1212
1530992695,1266,1266
1530993625,1242,1242
1530994587,1268,1268
1530995538,1197,1197
1530996516,1185,1185
1530997471,1266,1266
1530998423,1250,1250
1530999387,1259,1259
1531000353,1306,1306
1531001323,1445,1445
1531002273,1500,1500
1531003242,1432,1432
1531005425,1318,1318
1531006339,1235,1235
1531007363,1191,1191
1531008503,1201,1201
1531009736,1227,1227
1531010666,1475,1475
1531011635,1564,1564
1531012580,1370,1370
1531013544,1327,1327
1531014493,1279,1279
1531015499,1223,1223
1531016410,1325,1325
1531017396,1310,1310
1531018375,1327,1327
1531019301,1250,1250
1531020304,1284,1284
1531021218,1355,1355
1531022185,1357,1357
1531023405,1402,1402
1531024372,1357,1357
1531025319,1478,1478
1531026254,1501,1501
1531027221,1441,1441
1531028200,1292,1292
1531029156,1329,1329
1531030097,1311,1311
1531031064,1408,1408
1531032012,1317,1317
1531032986,1241,1241
1531033935,1279,1279
1531034892,1348,1348
1531035873,1289,1289
1531036853,1442,1442
1531037795,1445,1445
1531038749,1299,1299
1531039700,1333,1333
1531040712,1283,1283
1531041625,1344,1344
1531042596,1391,1391
1531043536,1395,1395
1531044606,1473,1473
1531045701,1432,1432
1531046711,1390,1390
1531047636,1371,1371
1531048584,1418,1418
1531049545,1459,1459
1531050496,1469,1469
1531051502,1307,1307
1531052423,1380,1380
1531053370,1425,1425
1531054346,1348,1348
1531055293,1406,1406
1531056276,1343,1343
1531057209,1437,1437
1531058187,1452,1452
1531059154,1341,1341
1531060246,1443,1443
1531061190,1427,1427
1531062274,1342,1342
1531063473,1233,1233
1531064792,1313,1313
1531065743,1276,1276
1531066988,1283,1283
1531067911,1260,1260
1531068863,1247,1247
1531069841,1233,1233
1531070887,1203,1203
1531071886,779,779
1531072852,392,392
1531073784,839,839
1531074762,1462,1462
1531075821,1518,1518
1531076910,1916,1916
1531077864,1939,1939
1531078843,1487,1487
1531079818,1347,1347
1531080733,1219,1219
1531081818,1246,1246
1531082891,1268,1268
1531083878,1282,1282
1531084816,1265,1265
1531085772,1199,1199
1531086778,1196,1196
1531088822,1269,1269
1531089853,1254,1254
1531090827,1309,1309
1531091791,1333,1333
1531092798,1273,1273
1531093942,1227,1227
1531094892,1239,1239
1531095859,1292,1292
1531096807,1243,1243
1531097892,1263,1263
1531098860,1286,1286
1531099952,1255,1255
1531100895,1211,1211
1531101864,1241,1241
1531102888,1250,1250
1531104016,1244,1244
1531105032,1245,1245
1531105941,1232,1232
1531106893,1215,1215
1531108350,1238,1238
1531109316,1219,1219
1531110502,1247,1247
1531111487,1239,1239
1531112427,1236,1236
1531113402,1273,1273
1531114341,1258,1258
1531115302,147,147
1531116276,1287,1287
1531117217,1341,1341
1531118183,1357,1357
1531119138,1270,1270
1531120115,1265,1265
1531121064,1323,1323
1531122016,1317,1317
1531122987,1294,1294
1531123935,1374,1374
1531124889,1370,1370
1531125875,1233,1233
1531126835,1305,1305
1531127792,1348,1348
1531128736,1224,1224
1531129721,1230,1230
1531130670,1210,1210
1531131707,1245,1245
1531132820,1256,1256
1531133765,1337,1337
1531134730,1420,1420
1531135688,1403,1403
1531136665,1291,1291
1531137641,1361,1361
1531138587,1284,1284
1531139542,1366,1366
1531140498,1348,1348
1531141488,1402,1402
1531142431,1408,1408
1531143374,1382,1382
1531144406,1372,1372
1531145307,1341,1341
1531146272,1242,1242
1531147227,1202,1202
1531148191,1285,1285
1531149167,1351,1351
1531150093,1395,1395
1531151086,1244,1244
1531152021,1348,1348
1531152982,1321,1321
1531153945,1402,1402
1531154908,1412,1412
1531155875,1340,1340
1531156815,1271,1271
1531157834,1164,1164
1531158742,754,754
1531159763,1405,1405
1531160937,1348,1348
1531161872,1241,1241
1531162813,1260,1260
1531163792,1348,1348
1531165012,1350,1350
1531165996,1310,1310
