DateTime,Entries,UniqueIPs
1529676453,6544,6544
1529680048,6515,6515
1529683650,6520,6520
1529687248,6509,6509
1529690849,6496,6496
1529694461,6490,6490
1529698069,6620,6620
1529701675,6674,6674
1529705372,6688,6688
1529708968,6692,6692
1529712469,6700,6700
1529716066,6696,6696
1529719670,6704,6704
1529723270,6688,6688
1529726867,6682,6682
1529730458,6685,6685
1529734056,6666,6666
1529737651,6661,6661
1529741259,6653,6653
1529744852,6663,6663
1529748462,6657,6657
1529752056,6640,6640
1529755660,6631,6631
1529759255,6618,6618
1529762866,6607,6607
1529766456,6592,6592
1529770072,6575,6575
1529773658,6571,6571
1529777262,6522,6522
1529780859,6551,6551
1529784461,6520,6520
1529788057,6533,6533
1529791659,6514,6514
1529795255,6490,6490
1529798857,6495,6495
1529802460,6504,6504
1529806059,6498,6498
1529809647,6487,6487
1529813260,6450,6450
1529816853,6465,6465
1529820453,6450,6450
1529824049,6445,6445
1529827640,6410,6410
1529831246,6415,6415
1529834844,6393,6393
1529838442,6373,6373
1529842048,6386,6386
1529845640,6379,6379
1529849240,6373,6373
1529852834,6358,6358
1529856449,6320,6320
1529860052,6340,6340
1529863648,6321,6321
1529867251,6322,6322
1529870854,6302,6302
1529874449,6294,6294
1529878046,6271,6271
1529881646,6249,6249
1529885247,6241,6241
1529888846,6234,6234
1529892447,6222,6222
1529896044,6220,6220
1529899647,6205,6205
1529903240,6183,6183
1529906830,6183,6183
1529910433,6173,6173
1529914033,6167,6167
1529917626,6158,6158
1529921232,6167,6167
1529924827,6155,6155
1529928442,6139,6139
1529932042,6140,6140
1529935639,6144,6144
1529939238,6147,6147
1529942841,6125,6125
1529946436,6118,6118
1529950040,6131,6131
1529953644,6143,6143
1529957246,6151,6151
1529960841,6147,6147
1529964443,6160,6160
1529968049,6190,6190
1529971644,6167,6167
1529975244,6186,6186
1529978848,6204,6204
1529982443,6203,6203
1529986037,6192,6192
1529989640,6164,6164
1529993232,6163,6163
1529996829,6155,6155
1530000431,6171,6171
1530004029,6162,6162
1530007639,6166,6166
1530011244,6168,6168
1530014843,6164,6164
1530018417,6135,6135
1530022042,6105,6105
1530025636,6054,6054
1530029234,6014,6014
1530032827,5959,5959
1530036432,5951,5951
1530040029,5895,5895
1530043625,5847,5847
1530047224,5774,5774
1530050822,5746,5746
1530054423,5696,5696
1530058019,5729,5729
1530061622,5721,5721
1530065215,5712,5712
1530068811,5696,5696
1530072410,5686,5686
1530076006,5657,5657
1530079608,5651,5651
1530083189,5651,5651
1530086809,5637,5637
1530090402,5645,5645
1530094005,5627,5627
1530097607,5633,5633
1530101204,5631,5631
1530104804,5631,5631
1530108411,5646,5646
1530112002,5609,5609
1530115600,5596,5596
1530119204,5572,5572
1530122805,5563,5563
1530126409,5561,5561
1530130002,5531,5531
1530133597,5532,5532
1530140798,5547,5547
1530144409,5552,5552
1530148001,5550,5550
1530151601,5575,5575
1530155202,5586,5586
1530158804,5564,5564
1530162404,5557,5557
1530165988,5539,5539
1530169596,5546,5546
1530173196,5532,5532
1530176795,5538,5538
1530180400,5523,5523
1530183992,5505,5505
1530187600,5492,5492
1530191197,5494,5494
1530194797,5517,5517
1530198400,5504,5504
1530201995,5482,5482
1530205599,5478,5478
1530209198,5458,5458
1530212799,5468,5468
1530216399,5443,5443
1530219995,5451,5451
1530223596,5445,5445
1530227194,5424,5424
1530230797,5422,5422
1530234398,5428,5428
1530237994,5450,5450
1530241591,5403,5403
1530245189,5374,5374
1530248794,5366,5366
1530252400,5338,5338
1530255990,5344,5344
1530259587,5330,5330
1530263192,5332,5332
1530266787,5344,5344
1530270390,5324,5324
1530273989,5334,5334
1530277591,5338,5338
1530281197,5492,5492
1530284806,5612,5612
1530288409,5657,5657
1530292006,5714,5714
1530295611,5721,5721
1530299213,5735,5735
1530302814,5750,5750
1530306420,5769,5769
1530310020,5875,5875
1530313622,5922,5922
1530317222,5951,5951
1530320826,5991,5991
1530324415,6021,6021
1530328043,6055,6055
1530331646,6046,6046
1530335249,6043,6043
1530338840,6051,6051
1530342441,6046,6046
1530346038,6064,6064
1530349623,6072,6072
1530353219,6090,6090
1530356809,6088,6088
1530360437,6104,6104
1530364028,6101,6101
1530367629,6145,6145
1530371228,6168,6168
1530374832,6162,6162
1530378434,6135,6135
1530382045,6132,6132
1530385625,6082,6082
1530389241,6113,6113
1530392828,6100,6100
1530396429,6111,6111
1530400028,6120,6120
1530403635,6102,6102
1530407227,6105,6105
1530410827,6108,6108
1530414426,6130,6130
1530418032,6134,6134
1530421631,6119,6119
1530425225,6113,6113
1530428822,6098,6098
1530432422,6097,6097
1530436031,6111,6111
1530439626,6112,6112
1530443222,6115,6115
1530446824,6095,6095
1530450434,6097,6097
1530454023,6105,6105
1530457622,6115,6115
1530461226,6150,6150
1530464827,6141,6141
1530468435,6153,6153
1530472034,6136,6136
1530475627,6151,6151
1530479231,6163,6163
1530482832,6156,6156
1530486431,6173,6173
1530490033,6156,6156
1530493631,6168,6168
1530497235,6154,6154
1530500834,6155,6155
1530504432,6181,6181
1530508027,6169,6169
1530511618,6148,6148
1530515227,6130,6130
1530518825,6107,6107
