DateTime,AddedIPs,RemovedIPs
1525416319,0,1
1525427716,0,1
1525429218,3,0
1525431017,0,2
1525498819,1,0
1525581619,3,0
1525611317,1,0
1525632917,4,0
1525652116,1,0
1525672824,1,0
1525704317,1,0
1525837519,1,0
1525843518,1,0
1525882818,1,0
1525889718,1,0
1525917316,1,0
1525919418,1,0
1525944618,70,0
1525947317,5,0
1525947618,1,0
1525987517,30,0
1526002217,2,0
1526002818,3,0
1526004919,1,0
1526009116,2,0
1526010019,1,0
1526010616,23,0
1526023818,1,0
1526034620,1,0
1526034919,1,0
1526037916,0,1
1526038217,0,1
1526048417,0,1
1526049618,1,0
1526097316,1,0
1526097917,2,0
1526100018,1,0
1526104518,30,0
1526104821,7,0
1526105717,13,0
1526106018,1,0
1526106322,6,0
1526106918,5,0
1526107218,1,0
1526151318,1,0
1526160017,1,0
1526160317,1,0
1526190917,0,1
1526191519,0,1
1526191816,0,2
1526192418,0,1
1526193018,0,4
1526193618,0,1
1526193918,0,1
1526194216,0,1
1526195717,2,0
1526202317,1,0
1526231416,1,0
1526232017,1,0
1526232916,1,0
1526233519,2,0
1526233816,2,0
1526239218,1,0
1526239817,0,2
1526240716,0,1
1526243415,1,0
1526247018,1,0
1526247318,1,0
1526247618,1,0
1526271018,1,0
1526272818,10,0
1526273417,1,0
1526309719,0,0
1526323819,1,0
1526341220,0,5
1526381418,0,1
1526417119,0,1
1526437519,0,1
1526438118,0,2
1526544021,1,0
1526577617,0,1
1526594426,0,2
1526615717,1,0
1526618419,42,0
1526619018,108,0
1526619318,1,0
1526619620,9,0
1526643018,8,0
1526697617,6,0
1526706020,29,0
1526706618,2,0
1526726117,1,0
1526726419,176,0
1526726720,5,0
1526729418,1,0
1526736019,8,0
1526736317,2,0
1526736918,1,0
1526745620,0,3
1526745917,0,1
1526746517,0,2
1526746818,0,2
1526748319,1,0
1526764219,2,0
1526765420,11,0
1526768118,24,0
1526771419,2,0
1526772020,2,0
1526772619,2,0
1526772918,1,0
1526773218,1,0
1526775919,2,0
1526776218,1,0
1526777419,1,0
1526777718,1,0
1526778018,1,0
1526778318,1,0
1526778917,3,0
1526780117,1,2
1526793317,0,1
1526795418,1,0
1526824217,1,0
1526847917,36,0
1526848220,300,0
1526848820,351,0
1526863218,45,0
1526868019,4,0
1526875818,12,0
1526890217,1,0
1526909418,1,0
1526909717,1,0
1526915718,2,0
1526917518,2,0
1526918118,1,0
1526925019,2,0
1526925618,1,41567
1526946913,1,0
1526947814,1,0
1526952013,16,0
1526957114,1,0
1526959213,1,0
1526980813,1,0
1526986814,1,0
1526987112,1,0
1526987711,3,0
1526991612,1,0
1526996110,4,0
1526998510,1,0
1527000910,1,0
1527007211,30,0
1527007511,2,0
1527009012,1,0
1527014111,1,0
1527018012,0,1
1527030013,2,0
1527036012,1,0
1527038413,1,0
1527039310,15,0
1527060013,1,0
1527062414,6,0
1527062711,1,0
1527071412,1,0
1527072911,1,0
1527082810,2,0
1527084910,18,0
1527096310,12,0
1527119709,1,0
1527138312,12,0
1527141310,0,1
1527142510,0,4
1527142810,0,4
1527143411,0,3
1527144910,0,1
1527184812,1,0
1527190510,1,0
1527190811,1,0
1527198010,3,0
1527199510,1,0
1527202210,1,0
1527212410,2,0
1527212710,1,0
1527234310,7,0
1527234610,3,0
1527234910,1,0
1527250209,7,0
1527258610,1,0
1527261610,1,0
1527261911,6,0
1527265810,1,0
1527266110,1,0
1527266710,2,0
1527271810,1,0
1527273910,1,0
1527279309,1,0
1527282310,1,0
1527282610,1,0
1527283211,1,0
1527284410,11,0
1527313810,3,0
1527315310,0,0
1527345312,9,0
1527347413,1,0
1527350722,1,0
1527371112,39,0
1527392114,28,9
1527400211,0,0
1527450010,0,1
1527468011,16,0
1527469211,1,0
1527476709,0,1
1527477611,4,0
1527478210,4,0
1527479710,0,1
1527483010,13,0
1527486010,2,0
1527486310,1,0
1527486910,3,0
1527510011,1,0
1527510611,1,0
1527513910,1,0
1527541211,0,1
1527543010,7,0
1527558011,1,0
1527598210,1,0
1527600910,1,0
1527610509,1,0
1527613810,1,0
1527669611,1,0
1527669910,2,0
1527670210,2,0
1527694210,1,0
1527705010,0,1
1527734110,1,0
1527741310,1,0
1527741910,2,0
1527844811,0,2
1527861010,1,0
1527862811,1,0
1527873611,0,1
1527878709,1,0
1527904509,0,1
1527992713,343,0
1528004710,0,0
1528012811,1,0
1528074011,0,1
1528099511,1,0
1528120811,1,0
1528161311,6,0
1528182011,2,0
1528182311,1,0
1528182610,2,0
1528185009,1,0
1528232110,1,0
1528264510,29,0
1528264813,3,0
1528265111,8,0
1528265409,5,0
1528274410,21,0
1528277411,1,0
1528278311,1,0
1528278610,32,0
1528298110,3,0
1528308012,0,0
1528311910,0,0
1528313411,0,0
1528320310,0,0
1528324221,0,0
1528326621,0,0
1528331723,0,0
1528333221,0,0
1528448120,3,0
1528448421,11,0
1528450220,1,0
1528486821,1,0
1528512021,1,0
1528514721,1,0
1528531521,1,0
1528547423,1,0
1528596922,0,1
1528597221,0,1
1528598425,0,1
1528610423,0,1
1528613422,1,0
1528613722,48,0
1528620323,0,4
1528621224,19,0
1528621523,2,0
1528622723,3,0
1528623321,10,0
1528625422,3,0
1528626623,1,0
1528645224,0,1
1528706421,3,0
1528707022,7,0
1528723820,1,0
1528731921,6,0
1528771821,1,0
1528793720,1,0
1528818021,1,0
1528859721,1,0
1528879521,1,0
1528911020,0,1
1528911321,0,1
1528914322,1,0
1528914621,1,0
1528916422,1,0
1528923622,0,1
1528966520,1,0
1528966824,1,0
1528971027,4,0
1528993820,1,0
1528994421,1,0
1528994721,1,0
1528995621,1,0
1529060121,0,1
1529066122,1,0
1529097021,1,0
1529106927,1,0
1529136027,1,0
1529160620,1,0
1529163627,1,0
1529185524,2,0
1529195421,1,0
1529205029,1,0
1529230221,0,1
1529244926,1,0
1529258421,1,0
1529261426,32,0
1529262926,1,0
1529277322,1,0
1529278222,2,0
1529278520,1,0
1529290822,1,0
1529324421,1,0
1529335521,1,0
1529374527,3,0
1529405724,1,0
1529417122,1,0
1529417727,1,0
1529427622,2,0
1529436322,0,1
1529445021,1,0
1529460326,0,4
1529460625,0,3
1529483125,1,0
1529503221,1,0
1529517022,1,0
1529539223,1,0
1529589621,1,0
1529593225,0,1
1529593524,0,9
1529594124,0,2
1529594723,0,1
1529595627,1,0
1529599828,2,0
1529600424,1,0
1529645134,2,0
1529659527,1,0
1529682024,0,1
1529682624,0,1
1529688925,1,0
1529705121,0,1
1529767823,1,0
1529768426,1,0
1529785224,3,0
1529785822,2,0
1529786725,1,0
1529787624,1,0
1529788227,3,0
1529921127,1,0
1530109825,1,0
1530116121,1,0
1530130825,1,0
1530132623,0,1
1530185124,0,1
1530243622,1,0
1530276924,16,0
1530277522,229,0
1530278122,69,0
1530279025,103,0
1530279624,7,0
1530282626,11,0
1530283828,1,9
1530864329,16,11
1530884425,1,0
1530886524,1,0
1530898224,1,0
1530900927,1,0
1530915624,0,1
1530916526,0,2
1530925224,1,0
1530925825,1,0
1530936024,2,0
1530947127,1,0
1530964223,1,0
1530974426,1,0
1530993323,0,1
1531000827,1,0
1531003224,1,0
1531009227,2,0
1531010126,3,0
1531024825,0,1
1531038626,29,0
1531038925,34,0
1531044026,1,0
1531046127,1,0
1531050326,1,0
1531065022,24,0
1531075829,1,0
1531090822,1,0
1531102525,1,0
1531102824,1,0
1531130728,1,0
1531158024,0,1
1531179630,1,0
1531204225,0,1
1531204825,0,1
1531209626,1,0
1531214125,0,1
1531216222,1,0
1531216822,1,0
1531217421,45,0
1531218025,1,0
1531218624,2,0
1531220424,1,0
1531224322,2,0
1531224622,1,0
1531225224,2,0
1531226122,2,0
1531231827,1,0
1531232424,0,1
1531234823,1,0
1531236323,0,1
1531237227,1,0
1531238727,0,2
1531251923,0,1
1531302926,1,0
1531304422,1,0
1531306823,1,0
1531307427,1,0
1531314326,1,0
1531314624,1,0
1531323629,0,1
1531327223,3,0
1531350021,125,0
1531350327,292,0
1531350924,380,0
1531352123,214,0
1531352427,312,0
1531352723,303,0
1531353024,293,0
1531353327,190,0
1531353628,1,0
1531354223,2,0
1531365330,4,0
1531367723,4,0
1531368023,2,0
1531371623,20,0
1531372223,1,0
1531373721,36,0
1531374022,19,0
1531374322,15,0
1531379424,8,0
1531392621,1,0
1531393521,99,0
1531394124,136,0
1531395022,21,0
1531395622,236,0
1531395925,11,0
1531396524,5,0
1531414822,4,0
1531415123,1,0
1531415420,2,0
1531416925,8,0
1531417223,6,0
1531417822,8,0
1531418426,1,0
1531429228,1,0
1531437923,1,0
1531438531,1,0
1531438829,10,0
1531439128,13,0
1531439424,1,0
1531440028,1,0
1531441532,4,0
1531454731,7,0
1531455031,9,0
1531455627,2,0
1531461625,1,0
1531472723,2,0
1531473028,1,0
1531473628,1,0
1531473925,3,0
1531474227,5,0
1531474525,2,0
1531474824,1,0
1531475427,1,0
1531476027,4,0
1531476326,4,0
1531476925,2,0
