DateTime,AddedIPs,RemovedIPs
1531175771,22,4
1531176022,4,6
1531176753,19,6
1531177011,3,20
1531177451,93,58
1531177699,32,0
1531178190,4,0
1531178652,23,5
1531179153,6,9
1531179618,28,8
1531180100,7,15
1531180589,21,13
1531181059,7,18
1531181533,22,3
1531182032,9,24
1531182488,33,9
1531182971,5,26
1531183501,25,9
1531183938,9,18
1531184428,33,9
1531184927,10,17
1531185434,34,4
1531185889,10,16
1531186336,28,12
1531186847,12,9
1531187308,24,13
1531187788,7,20
1531188280,27,11
1531188790,9,25
1531189233,22,5
1531189699,14,5
1531190170,31,7
1531190681,19,8
1531191175,23,14
1531191645,14,9
1531192111,23,12
1531192588,3,11
1531193066,21,12
1531193541,6,18
1531194067,27,7
1531194504,9,4
1531194973,30,17
1531195463,6,19
1531195934,93,59
1531196419,5,4
1531196911,30,11
1531197392,8,7
1531198115,25,8
1531198572,8,10
1531199095,26,9
1531199567,5,2
1531200034,44,5
1531200489,1,0
1531200987,40,11
1531201468,1,18
1531201932,39,12
1531202460,14,6
1531202906,25,12
1531203398,6,10
1531203854,47,16
1531204353,8,4
1531204818,32,13
1531205296,9,0
1531205786,39,15
1531206257,6,6
1531206735,37,19
1531207228,4,15
1531207699,32,9
1531208174,1,0
1531209142,15,22
1531209640,24,35
1531210100,7,0
1531210598,26,13
1531211072,5,18
1531211539,34,17
1531212025,7,12
1531212499,57,43
1531212977,6,0
1531213475,37,6
1531213947,8,8
1531214412,48,13
1531214907,19,11
1531215372,40,17
1531215851,16,0
1531216351,26,10
1531216837,14,13
1531217293,31,12
1531217793,17,16
1531218272,50,19
1531218846,16,6
1531219221,47,15
1531219927,16,5
1531220190,36,14
1531220906,2,4
1531221134,33,10
1531221852,15,12
1531222108,32,16
1531222805,1,5
1531223605,38,28
1531224086,7,12
1531224751,870,1526
1531225234,10,3
1531225713,17,20
1531226186,6,3
1531226672,24,11
1531227129,2,6
1531227635,26,16
1531228106,7,8
1531228609,26,20
1531229078,2,12
1531229561,24,16
1531230044,4,5
1531230509,18,0
1531230991,3,7
1531231468,16,33
1531231972,6,15
1531232424,26,20
1531232912,2,10
1531233384,24,0
1531233883,4,7
1531234351,29,24
1531234840,1,11
1531235305,17,10
1531235804,8,3
1531236258,29,0
1531236790,2,5
1531237235,68,24
1531237805,1,4
1531238193,28,21
1531239191,22,23
1531240129,29,9
1531241081,29,13
1531242038,18,25
1531242987,36,27
1531243976,23,26
1531244895,25,0
1531245931,25,43
1531246811,6,8
1531247068,22,13
1531247773,5,5
1531248023,23,14
1531248745,4,16
1531249263,24,14
1531249725,3,10
1531250183,15,8
1531250722,4,6
1531251146,15,15
