DateTime,AddedIPs,RemovedIPs
1531152151,3,2
1531152963,7,58
1531153321,5,0
1531153921,2,0
1531154882,91,0
1531155745,3,0
1531156321,1,0
1531156922,8,0
1531157522,2,0
1531158121,18,0
1531158723,82,135
1531159322,2,0
1531159405,0,1
1531159921,12,0
1531160643,105,0
1531161182,3,0
1531161721,5,0
1531162922,4,0
1531163004,0,1
1531164122,1,0
1531164487,0,73
1531164781,4,0
1531165323,2,0
1531165922,5,0
1531166422,66,0
1531166606,2,0
1531167122,3,0
1531167722,7,0
1531168325,0,68
1531169521,8,0
1531170243,67,2
1531170722,5,0
1531171321,9,0
1531171921,5,0
1531172162,60,23
1531172522,4,0
1531173121,2,0
1531173721,2,0
1531174083,0,144
1531174922,1,0
1531176003,62,0
1531176122,16,0
1531177322,15,0
1531178163,14,102
1531178522,4,0
1531179721,7,0
1531180082,77,0
1531180321,7,0
1531180946,5,1
1531182122,6,0
1531182722,10,0
1531183322,13,0
1531183923,34,90
1531184725,8,3
1531185122,5,0
1531185842,69,56
1531186322,9,0
1531186922,4,0
1531187522,8,0
1531188205,4,1
1531188721,1,0
1531189322,2,0
1531189922,5,0
1531190522,11,0
1531191621,61,135
1531191745,4,2
1531192322,2,0
1531192922,6,0
1531193523,78,0
1531194122,8,0
1531194721,3,0
1531195346,2,2
1531195827,2,0
1531196522,3,0
1531197364,4,93
1531197722,5,0
1531198322,1,0
1531199006,12,0
1531199523,88,0
1531200122,5,0
1531200722,7,0
1531201444,86,128
1531202605,3,0
1531203723,2,0
1531204922,1,0
1531205282,49,0
1531206146,3,0
1531207322,24,1
1531208521,15,0
1531209124,54,109
1531209805,10,3
1531210322,35,0
1531210922,1,0
1531211522,2,0
1531212122,4,0
1531212964,74,0
1531213345,1,1
1531214522,6,0
1531214883,48,15
1531215722,2,0
1531216922,11,0
1531217762,0,91
1531218121,11,0
1531218726,65,0
1531219321,15,0
1531220545,5,1
1531221721,2,0
1531222322,3,0
1531222562,57,13
1531222922,4,0
1531223522,2,0
1531224146,8,2
1531224721,1,0
1531225443,4,77
1531227806,4,2
1531228563,66,0
1531228923,1,0
1531229524,0,51
1531230122,2,0
1531230482,69,0
1531230721,8,0
1531231346,10,3
1531231921,10,0
1531232522,11,0
1531233181,8,0
1531233722,8,0
1531234322,57,14
1531235283,3,99
1531235522,3,0
1531236722,8,0
1531237321,3,0
1531238164,68,0
1531238607,4,1
1531239122,1,0
1531239721,1,0
1531240381,6,1
1531240922,3,0
1531241522,2,0
1531242024,69,19
1531242206,11,2
1531242963,0,86
1531243322,11,0
1531243923,72,0
1531244522,13,0
1531245037,21,0
1531245747,6,0
1531246804,0,72
1531246922,8,0
1531247762,91,0
1531248121,13,0
1531249406,4,1
1531249922,7,0
1531250521,6,1
1531251121,9,0
1531252567,58,17
1531252946,12,1
1531254122,12,0
1531254483,0,112
1531254782,15,0
1531255322,10,0
1531256407,77,0
1531256545,7,1
1531257122,2,0
1531257722,5,0
1531258323,74,12
1531258922,9,0
1531259522,1,0
1531260146,4,1
1531261203,0,130
1531261321,5,0
1531261922,1,0
1531262162,57,0
1531262521,5,0
1531263121,5,0
1531264322,4,0
1531264922,6,0
1531266003,86,11
1531266121,3,0
1531266963,0,155
1531267406,18,1
1531267922,3,0
1531268522,9,3
1531269121,9,0
1531269842,42,0
1531270922,13,0
1531272122,5,0
1531272723,0,80
1531273682,82,1
1531273922,5,0
1531274545,7,0
1531275123,2,0
1531275603,0,66
1531275721,6,0
1531276922,6,0
1531277522,126,0
1531278146,15,3
1531278723,0,121
1531279442,18,0
1531280522,5,0
1531281122,1,0
1531281362,87,0
1531281806,10,1
1531282322,1,0
1531282921,4,0
1531283521,1,0
1531284122,2,0
1531284483,0,110
1531284721,4,0
1531285683,78,3
1531286522,8,0
1531287121,6,0
1531287603,66,10
1531287722,7,0
1531288563,7,135
1531289006,5,0
1531290122,7,0
1531290722,1,0
1531291442,80,0
1531292522,11,0
1531292606,0,2
1531293122,1,0
1531293722,2,0
1531294922,4,0
1531295282,60,13
