DateTime,Entries,UniqueIPs
1530613246,23399,51800
1530617481,23391,51793
1530618651,23392,51794
1530619800,23393,51795
1530620204,23394,51796
1530620452,23411,51813
1530623175,23413,51815
1530623742,23417,51826
1530624744,23424,51833
1530627000,23390,51799
1530627637,23395,51804
1530628021,23411,51821
1530631246,23411,51566
1530634530,23416,51825
1530634837,23420,51829
1530637353,23422,51831
1530638821,23462,51869
1530642045,23465,51872
1530644990,23464,51871
1530648049,23464,51616
1530649249,23468,51620
1530649621,23488,51639
1530649800,23488,51639
1530655859,23486,51637
1530656448,23488,51639
1530657000,23491,51642
1530659139,23492,51643
1530660603,23498,51646
1530663640,23499,51647
1530664255,24287,52427
1530667241,24287,52427
1530669937,24275,52415
1530670607,24276,52416
1530671221,24268,52422
1530672000,23698,51864
1530673542,23699,51865
1530676997,23697,51863
1530678038,23704,51870
1530679200,23518,51684
1530682021,23483,51649
1530685238,23484,51650
1530686400,23458,51621
1530687722,23459,51622
1530687940,23460,51623
1530692440,23463,51626
1530692821,23391,51551
1530693107,23392,51552
1530693600,23390,51551
1530697604,23391,51552
1530698780,23392,51553
1530699632,23394,51555
1530701400,23387,51548
1530703008,23388,51549
1530703806,23392,51562
1530706981,23394,51564
1530708600,23393,51563
1530710015,23394,51564
1530711007,23471,51645
1530712004,23466,51640
1530712241,23447,51621
1530713554,23434,51605
1530714629,23452,51616
1530715800,23452,51616
1530721241,23457,51621
1530723000,23460,51624
1530724822,23461,51625
1530725406,23459,51623
1530726407,23460,51369
1530728449,23463,51372
1530731888,23462,51371
1530734400,23463,51372
1530736021,23466,51372
1530741630,23465,51371
1530742268,23465,51372
1530743054,23466,51373
1530746821,23454,51367
1530748800,24179,52086
1530750035,24180,52088
1530753262,24180,52088
1530753410,24181,52089
1530755445,24160,52062
1530756350,23719,51629
1530757248,23720,51630
1530757829,23787,51698
1530763200,23579,51491
1530763950,23576,51487
1530764442,23582,51493
1530768043,23583,51494
1530768491,23584,51495
1530768629,23590,51506
1530770400,23565,51477
1530771641,23568,51480
1530775054,23571,51483
1530775858,23572,51484
1530776812,23573,51485
1530777600,23563,51475
1530778843,23564,51476
1530779221,23562,51474
1530784800,23550,51459
1530785807,23551,51460
1530786039,23556,51465
1530790232,23561,51469
1530790317,23562,51470
1530792102,23559,51466
1530793239,23566,51473
1530796675,23568,51475
1530797502,23566,51473
1530797743,23541,51477
1530798644,23510,51446
1530799200,23509,51445
1530800434,23512,51448
1530800821,23529,51464
1530801609,23527,51462
1530804047,23528,51463
1530806746,23525,51460
1530807379,23524,51459
1530807641,23527,51462
1530808222,23526,51206
1530811806,23569,51248
1530812180,23573,51252
1530813628,23564,50988
1530814840,23567,50991
1530815419,23568,51247
1530818261,23568,51247
1530820929,23568,51247
1530822050,23573,51252
1530822421,23605,51284
1530827445,23606,51285
1530828000,23606,51285
1530828352,23608,51287
1530828933,23605,51284
1530829241,23608,51287
1530833498,23628,51304
1530835200,24378,52054
1530836447,24380,52056
1530838004,24369,52297
1530838244,24370,52298
1530839802,24371,52299
1530841836,24372,52300
1530842400,23890,51825
1530843641,23892,51827
1530844021,23909,51848
1530849551,23908,51847
1530849600,23693,51632
1530850839,23699,51638
1530855105,23692,51628
1530856916,23652,51584
1530858040,23656,51588
1530860518,23655,51587
1530862310,23656,51589
1530864119,23641,51573
1530865250,23648,51580
1530865836,23610,51541
1530868611,23611,51542
1530870407,23612,51543
1530871200,23613,51544
1530872442,23614,51545
1530876606,23549,51484
1530878437,23547,51482
1530879790,23552,51487
1530881207,23556,51491
1530884144,23580,51515
1530885037,23561,51499
1530886200,23564,51502
1530886846,23568,51506
1530887221,23444,51398
1530888637,23445,51399
1530889694,23443,51396
1530892241,23440,51393
1530893732,23438,51391
1530894037,23444,51397
1530898021,23355,51311
1530899559,23356,51312
1530900600,23354,51311
1530902724,23348,51305
1530906429,23348,51050
1530908519,23353,51055
1530909005,23251,50958
1530913513,23250,50957
1530915644,23252,50959
1530919904,23134,50839
1530922841,23135,50840
1530923409,23875,51580
1530924404,23882,51587
1530928238,23858,51563
1530930036,23861,51566
1530930604,24402,52112
1530935771,24403,52113
1530937241,24406,52116
1530937804,23674,51386
1530939048,23675,51387
1530940835,23676,51388
1530941437,23640,51351
1530943250,23645,51100
1530944446,23644,51099
1530945107,23602,51056
1530946548,23601,51055
1530951638,23602,51056
1530952200,23536,50990
1530954339,23537,50991
1530957938,23538,50992
1530958840,23541,50995
1530959404,23536,50990
1530959744,23537,50991
1530962821,23466,50924
1530966604,23465,50924
1530968450,23462,50921
1530968746,23480,50939
1530969422,23473,50932
1530971204,23470,50932
1530971436,23423,50883
1530973239,23425,50885
1530973835,23323,50783
1530978008,23331,50791
1530978407,23332,50792
1530980443,23336,50796
1530981004,23335,50795
1530984421,23282,50735
1530984944,23283,50736
1530987385,23284,50991
1530987639,23288,50995
1530988210,23287,50994
1530988767,23289,50996
1530994851,23295,51002
1530995400,23208,50912
1530996642,23210,50914
1530999654,23209,50913
1531002046,23211,50915
1531002606,23211,51171
1531006021,23160,51111
1531009240,23162,51113
1531009905,23904,51850
1531010024,23904,51850
1531011036,23905,51851
1531014643,23891,51837
1531015540,23892,51838
1531016438,23893,51839
1531017000,23680,51637
1531019143,23681,51638
1531020637,23681,51638
1531023650,23686,51643
1531024205,23509,51467
1531028149,23443,51386
1531029043,23444,51387
1531030878,23448,51391
1531031410,23408,51349
1531038055,23411,51352
1531038606,23279,51219
1531040752,23280,51220
1531041643,23282,51222
1531044362,23282,51223
1531045251,23286,51229
1531045908,23278,51219
1531049221,23162,51101
1531051671,23163,51102
1531052127,23163,51357
1531052634,23164,51361
1531053006,23165,51362
1531056048,23170,51367
1531056634,23158,51355
1531057530,23203,51400
1531058508,23171,51368
1531060021,23091,51285
1531060200,23090,51284
1531063821,23086,51280
1531066410,23082,51276
1531066851,23085,51279
1531067408,23085,51279
1531070821,22990,51180
1531073735,22989,51179
1531074047,22994,51184
1531074600,22980,51170
1531081252,22982,51172
1531081621,22894,51085
1531081905,22893,51084
1531084538,22892,51083
1531088448,22893,51084
1531089050,22893,51084
1531091149,22894,51085
1531092421,22863,51063
1531095100,22861,51061
1531095856,22864,51064
1531096248,23590,51787
1531101043,23574,51771
1531102836,23576,51773
1531103404,23162,51361
1531106070,23160,51359
1531110498,23168,51367
1531110600,23016,51214
1531114265,22763,50961
1531116635,22763,50961
1531117240,22767,50965
1531117940,22724,50921
1531122646,22725,50922
1531124446,22727,50924
1531125392,22396,50590
1531127753,22397,50591
