DateTime,AddedIPs,RemovedIPs
1531155092,6,9
1531155813,4,9
1531157012,7,6
1531157292,12,19
1531157732,3,21
1531158452,6,0
1531159236,13,0
1531160132,7,5
1531160852,6,5
1531161572,259,1
1531162336,5,2
1531163012,4,9
1531163295,8,8
1531163733,6,5
1531164452,4,0
1531165465,22,33
1531166852,11,56
1531167379,2,0
1531167813,7,14
1531169806,15,14
1531170212,22,16
1531170932,7,5
1531171703,13,2
1531172373,7,5
1531173092,4,2
1531173635,3,5
1531173814,5,3
1531174532,2,5
1531175252,3,3
1531175533,3,5
1531175972,3,5
1531176693,6,1
1531177465,7,5
1531178132,4,6
1531179093,3,4
1531179615,3,3
1531179814,3,9
1531180532,4,9
1531181253,4,7
1531181531,2,10
1531181972,9,1
1531182692,4,4
1531183462,7,13
1531184134,3,8
1531184418,3,0
1531184854,5,1
1531185385,6,6
1531185813,5,27
1531186772,4,4
1531187299,5,16
1531187733,4,2
1531188452,2,2
1531189224,10,1
1531189893,1,5
1531190612,12,0
1531191137,9,13
1531192052,4,3
1531193064,10,9
1531193732,1,3
1531194452,7,2
1531194971,4,4
1531195652,2,4
1531196373,4,3
1531196901,12,15
1531197333,5,6
1531198052,1034,22
1531198828,12,9
1531199051,3,1
1531199492,2,1
1531200212,2,5
1531200741,5,0
1531200932,5,5
1531201652,3,2
1531202372,4,2
1531202904,8,8
1531203332,4,3
1531204292,6,2
1531204815,28,18
1531205732,10,2
1531206010,2,0
1531206453,1,5
1531206732,12,0
1531207172,7,6
1531207892,2,4
1531208663,22,29
1531209141,23,17
1531209573,1527,7
1531210588,13,9
1531211252,0,10
1531211972,29,12
1531212497,11,11
1531212692,3,12
1531213413,6,6
1531213933,1,2
1531214134,5,7
1531214407,6,6
1531214853,4,2
1531215572,543,5
1531216293,461,8
1531217013,1804,3
1531217733,161,5
1531218255,8,3
1531218693,17,9
1531219413,109,5
1531220181,11,11
1531220852,219,5
1531221363,1,0
1531221572,6,8
1531222091,2,2
1531222292,4,8
1531223012,6,9
1531224033,5,4
1531224695,1,5
1531225412,6,5
1531225934,14,7
1531226133,9,8
1531226853,7,2
1531227572,7,1
1531228587,15,4
1531229493,4,4
1531230035,9,31
1531230212,4,3
1531230932,5,3
1531231955,13,16
1531232852,5,5
1531233872,14,14
1531234773,3,10
1531235794,9,3
1531236452,2,5
1531237173,3,3
1531237701,10,12
1531238132,10,5
1531239093,7,6
1531239622,12,7
1531239812,3,0
1531240533,6,8
1531241551,18,17
1531242452,7,4
1531243470,27,15
1531244374,3,4
1531245092,7,4
1531245375,8,4
1531245813,1,4
1531246533,6,4
1531247304,22,21
1531247972,6,3
1531248693,3,3
1531249222,2,17
1531249714,10,4
1531250613,6,6
1531252533,9,14
1531253060,4,3
1531253253,4,5
1531253972,7,3
1531254996,14,9
1531255893,2,7
1531256852,6,8
1531257813,3,4
1531258337,7,2
1531258827,14,18
1531259732,7,7
1531260746,14,7
1531261412,3,1
1531262133,4,6
1531262658,17,8
1531263093,4,4
1531264053,6,2
1531264773,3,3
1531265044,2,0
1531265493,3,2
1531266213,2,1
1531266496,10,10
1531266932,5,3
1531267893,4,6
1531268447,4,8
1531268870,6,9
1531269572,3,3
1531270335,17,11
1531270773,9,4
1531271492,4,5
1531272261,19,13
1531272975,12,5
1531273653,3,1
1531274173,8,0
1531274374,2,6
1531275094,4,1
1531275813,1,2
1531276089,15,0
1531276773,3,6
1531277502,2,7
1531278019,7,11
1531278213,3,3
1531278933,2,3
1531279532,1,1
1531279931,12,6
1531280132,2,0
1531280852,4,4
1531281574,1,2
1531281860,8,0
1531282532,2,1
1531283493,7,3
1531284213,16,21
1531285174,1,4
1531285725,7,20
1531285893,0,1
1531286612,1,1
1531287657,12,6
1531288532,3,3
1531289253,1,2
1531289542,17,22
1531289973,2,3
1531290694,2,5
1531291468,15,12
1531291894,2,4
1531292613,1,6
1531293406,9,13
1531293812,5,7
1531294533,4,1
1531295306,12,1
1531295972,3,14
1531296693,2,3
1531297218,10,11
1531297413,2,3
1531298132,2,0
1531299149,14,4
1531300054,3,4
1531300773,3,3
1531301060,3,10
1531301492,4,4
1531302260,8,4
1531302983,6,5
1531303893,3,8
1531304614,1,1
1531304895,2,6
1531305333,3,7
1531306293,6,2
1531306835,10,10
1531307013,3,4
1531307734,0,2
1531308759,7,0
1531309172,11,4
1531309892,5,2
1531311092,6,5
1531311814,2,6
1531312584,7,15
1531313493,6,7
1531314213,5,6
1531314500,2,1
1531314932,4,7
1531315654,2,4
1531316430,10,4
1531316895,7,1
1531317333,80,7
1531318356,19,15
1531319013,3,4
1531319733,0,4
1531320257,22,2
1531320694,4,7
1531321653,4,5
1531322183,9,15
1531322613,5,4
1531323574,5,4
1531324103,13,3
1531324535,5,10
1531325133,2,5
1531325733,2,2
1531326254,13,2
1531326693,3,2
1531327412,2,3
