DateTime,AddedIPs,RemovedIPs
1531082522,3,0
1531083122,1,0
1531083722,7,0
1531084922,6,0
1531086121,5,0
1531088522,50,0
1531089182,17,0
1531089722,3,0
1531090922,6,0
1531091522,13,0
1531092121,6,0
1531092722,3,0
1531093322,11,0
1531094522,11,0
1531095723,4,0
1531096322,2,0
1531096922,18,0
1531097522,5,0
1531098121,9,0
1531098722,6,0
1531099322,2,0
1531099921,7,0
1531100522,5,0
1531101122,6,0
1531101722,6,1
1531102322,2,0
1531102921,5,0
1531103522,1,0
1531104122,7,1
1531104721,11,0
1531105322,9,0
1531105922,7,0
1531106522,3,0
1531107122,6,0
1531107722,2,0
1531108922,5,1
1531109522,4,0
1531110122,5,0
1531110782,1,0
1531111322,1,0
1531112522,2,0
1531113122,3,0
1531113722,1,0
1531114322,1,0
1531114381,8,0
1531114922,8,0
1531115522,269,0
1531116122,6,0
1531117322,7,0
1531117982,5,0
1531118521,3,0
1531119122,11,0
1531119721,7,0
1531120322,4,0
1531120922,2,0
1531121522,3,0
1531122121,2,0
1531123322,4,0
1531123922,1,0
1531124522,4,0
1531125182,3,0
1531125722,8,0
1531126922,11,0
1531127522,5,0
1531128122,6,0
1531128781,27,0
1531129322,6,0
1531129923,2,0
1531131722,3,0
1531132381,6,0
1531132922,6,0
1531133521,1,0
1531134122,2,0
1531135322,2,0
1531136521,10,0
1531137721,17,0
1531138322,16,0
1531138922,10,0
1531139521,3,0
1531140122,11,0
1531141322,4,0
1531141921,1,0
1531142522,11,0
1531143122,1,0
1531143722,13,0
1531144321,16,0
1531144922,15,0
1531145522,9,0
1531146121,8,0
1531146722,7,0
1531147322,13,0
1531147922,2,0
1531148522,3,0
1531149122,5,0
1531149722,1,0
1531150382,2,0
1531150921,6,0
1531152122,3,0
1531152722,7,0
1531153321,5,0
1531153921,2,0
1531155723,3,0
1531156321,1,0
1531156922,8,0
1531157522,2,0
1531158121,18,0
1531158722,7,0
1531159322,2,0
1531159921,12,0
1531160522,5,0
1531161182,3,0
1531161721,5,0
1531162922,4,0
1531164122,1,0
1531164781,4,0
1531165323,2,0
1531165922,5,0
1531166521,2,0
1531167122,3,0
1531167722,7,0
1531169521,8,0
1531170122,1,0
1531170722,5,0
1531171321,9,0
1531171921,5,0
1531172522,4,0
1531173121,2,0
1531173721,2,0
1531174922,1,0
1531176122,16,0
1531177322,15,0
1531177922,14,0
1531178522,4,0
1531179721,7,0
1531180321,7,0
1531180923,4,0
1531182122,6,0
1531182722,10,0
1531183322,13,0
1531184521,7,0
1531185122,5,0
1531185722,7,0
1531186322,9,0
1531186922,4,0
1531187522,8,0
1531188122,4,0
1531188721,1,0
1531189322,2,0
1531189922,5,0
1531190522,11,0
1531191722,4,0
1531192322,2,0
1531192922,6,0
1531193522,1,0
1531194122,8,0
1531194721,3,0
1531195322,1,0
1531195827,2,0
1531196522,3,0
1531197181,4,0
1531197722,5,0
1531198322,1,0
1531198922,11,0
1531199522,3,0
1531200122,5,0
1531200722,7,0
1531201322,4,0
1531202521,3,0
1531203723,2,0
1531204922,1,0
1531206122,3,0
1531207322,24,1
1531208521,15,0
1531209122,2,0
1531209722,10,0
1531210322,35,0
1531210922,1,0
1531211522,2,0
1531212122,4,0
1531213322,1,0
1531214522,6,0
1531215722,2,0
1531216922,11,0
1531218121,11,0
1531219321,15,0
1531220522,5,0
1531221721,2,0
1531222322,3,0
1531222922,4,0
1531223522,2,0
1531224121,8,0
1531224721,1,0
1531225322,4,0
1531227721,2,0
1531228322,6,0
1531228923,1,0
1531230122,2,0
1531230721,8,0
1531231322,10,0
1531231921,10,0
1531232522,11,0
1531233181,8,0
1531233722,8,0
1531234322,2,0
1531234922,3,0
1531235522,3,0
1531236722,8,0
1531237321,3,0
1531237922,3,0
1531238522,3,0
1531239122,1,0
1531239721,1,0
1531240381,6,1
1531240922,3,0
1531241522,2,0
1531242122,11,0
1531243322,11,0
1531244522,13,0
1531245037,21,0
1531245722,6,0
1531246922,8,0
1531248121,13,0
1531249322,4,0
1531249922,7,0
1531250521,6,1
1531251121,9,0
1531252322,3,0
1531252922,12,0
1531254122,12,0
1531254782,15,0
1531255322,10,0
1531255837,30,0
1531256522,7,0
1531257122,2,0
1531257722,5,0
1531258322,3,0
1531258922,9,0
1531259522,1,0
1531260122,4,0
1531261321,5,0
1531261922,1,0
1531262521,5,0
1531263121,5,0
1531264322,4,0
1531264922,6,0
1531266121,3,0
1531267322,18,0
1531267922,3,0
1531268522,9,3
1531269121,9,0
1531269723,5,0
1531270922,13,0
1531272122,5,0
1531273321,13,1
1531273922,5,0
1531274522,7,0
1531275123,2,0
1531275721,6,0
1531276922,6,0
1531278122,15,0
1531279322,18,0
1531280522,5,0
1531281122,1,0
1531281721,9,0
1531282322,1,0
1531282921,4,0
1531283521,1,0
1531284122,2,0
1531284721,4,0
1531285323,5,0
1531286522,8,0
1531287121,6,0
1531287722,7,0
1531288322,7,0
1531288922,5,0
1531290122,7,0
1531290722,1,0
1531291321,14,0
1531292522,11,0
1531293122,1,0
1531293722,2,0
1531294922,4,0
1531296122,2,0
1531297322,11,0
1531298522,4,0
1531299722,8,0
1531300922,6,0
1531301522,2,0
1531302122,5,0
1531303321,2,0
1531304522,3,0
1531305722,5,1
1531306321,1,0
1531306922,2,1
1531308123,2,0
1531309322,7,0
1531310522,1,1
1531311722,2,0
1531312922,2,2
1531313522,1,0
1531315922,2,0
1531316522,7,1
1531317122,3,0
1531317722,4,0
1531318322,1,0
1531318922,9,0
1531319581,5,0
1531320122,4,0
1531320722,1,0
1531321322,3,1
1531323723,1,0
1531324322,2,0
1531324922,2,0
1531325522,1,0
1531326122,2,0
1531327322,4,1
1531327922,7,0
1531328522,2,0
1531329122,3,0
1531329722,5,0
1531330922,7,1
1531332122,11,0
1531333322,4,0
1531333922,1,0
1531334522,4,1
1531335121,3,0
1531335722,6,0
1531336322,10,0
1531336922,11,0
1531337581,2,0
1531338122,4,0
1531339322,5,0
1531339922,4,0
1531340522,4,0
1531341122,9,0
1531341722,5,1
1531342322,8,0
1531342922,6,0
1531344122,11,0
1531344722,4,0
1531345321,5,0
1531345922,10,0
1531347122,19,1
1531347722,3,0
1531348922,3,0
1531350121,2,0
1531350722,6,0
1531351922,3,0
1531352522,1,0
1531353122,2,0
1531353722,3,0
1531354922,4,0
1531355581,8,0
1531356122,3,0
1531356722,1,0
1531357321,1,0
1531357922,2,0
1531358522,4,0
1531359122,1,0
1531359722,3,0
1531360322,1,0
1531360921,3,0
1531361523,3,0
1531362122,9,0
1531362722,1,0
1531363322,5,0
1531364522,6,0
1531365123,5,0
1531365722,14,0
1531366922,5,0
1531367522,2,0
1531368122,10,0
1531369322,3,0
1531370522,5,2
1531371122,1,0
1531371722,3,1
1531372322,2,0
1531372922,11,0
1531374123,7,0
1531374722,5,0
1531375321,6,0
1531375922,1,0
1531376522,9,0
1531377722,3,0
1531378321,1,0
1531378923,6,0
1531379522,1,0
1531380121,3,0
1531380721,2,0
1531382521,5,0
1531383122,2,0
1531383722,17,0
1531384381,2,0
1531386122,1,0
1531386721,1,0
1531387322,4,0
1531387922,1,0
1531388522,3,0
1531389122,9,0
1531390322,5,0
1531390921,2,0
1531392122,4,0
1531393321,9,1
1531393922,1,0
1531394523,1,0
1531395122,7,0
1531395722,4,0
1531396321,3,0
1531396922,5,0
1531397522,1,0
1531398122,1,0
1531398781,2,0
1531399322,1,0
1531399922,1,0
1531400522,8,0
1531401122,3,0
1531401722,2,0
1531402321,1,0
1531402922,1,0
1531403437,5,0
1531404121,2,0
1531405322,9,0
1531406522,7,0
1531407722,6,0
1531408321,7,0
1531408923,3,0
1531409522,2,0
1531410122,1,0
1531410722,3,0
1531411322,2,0
1531412522,4,0
1531413181,4,0
1531413722,2,0
1531414322,1,0
1531414922,5,0
1531416122,2,0
1531417322,3,0
1531418522,1,0
1531420922,2,0
1531422122,5,0
1531423322,8,0
1531423981,7,0
1531424521,2,0
1531425722,11,0
1531426323,5,0
1531427521,1,0
1531428121,3,0
1531430522,3,0
1531431721,5,0
1531434722,4,2
1531435322,2,0
1531436521,2,0
1531437122,1,0
1531437722,6,1
1531438322,2,0
1531438922,5,0
1531440122,3,0
1531440722,6,0
1531441322,1,1
1531442522,4,0
1531443721,2,0
1531444922,3,0
1531445581,1,0
1531446122,2,0
1531446722,1,0
1531447322,12,0
1531448522,6,0
1531449121,10,0
1531449722,8,0
1531450322,3,0
1531450922,5,0
1531452122,3,0
1531452722,1,0
1531453322,14,0
1531453921,9,0
1531454522,6,0
1531455122,2,0
1531455722,3,0
1531456922,5,0
1531457522,1,0
1531458121,3,0
1531458722,2,0
1531459322,6,0
1531460522,1,0
1531461722,3,0
1531462922,6,0
1531463522,1,0
1531465322,1,0
1531465922,1,0
1531466521,4,0
1531469522,1,0
1531470122,6,0
1531471323,26,0
1531472522,12,1
1531473722,13,0
1531474922,3,0
1531475522,4,0
1531476122,1,2
1531476722,2,0
1531477322,4,0
