DateTime,AddedIPs,RemovedIPs
1530498502,11,8
1530500670,18,15
1530502572,14,17
1530504496,14,13
1530506417,11,17
1530508337,17,22
1530510251,13,19
1530512185,31,29
1530514093,13,22
1530516006,19,13
1530517956,16,16
1530519850,17,16
1530521709,16,21
1530523687,10,19
1530525623,16,1093
1530528086,53,40
1530529948,509,0
1530531849,23,28
1530533775,33,28
1530535698,27,22
1530537610,31,16
1530539563,17,14
1530541453,15,23
1530543367,21,36
1530545298,13,32
1530547241,17,28
1530549137,18,12
1530551061,12,15
1530552972,31,28
1530554904,27,14
1530556815,29,15
1530558743,20,10
1530560651,0,12
1530562582,0,24
1530564763,9,15
1530566908,0,22
1530569002,0,27
1530570995,0,33
1530572902,442,0
1530574809,0,31
1530576773,0,21
1530578653,0,22
1530580646,0,19
1530582758,0,13
1530584650,0,21
1530586827,0,37
1530588741,0,30
1530590663,0,22
1530592694,0,13
1530594502,0,15
1530596419,0,30
1530598355,7,11
1530600262,0,14
1530602310,0,11
1530604350,0,21
1530606258,0,17
1530608181,0,15
1530610091,0,20
1530612045,0,1023
1530614500,0,27
1530616351,421,0
1530618250,0,26
1530620432,0,18
1530622332,0,24
1530624257,2,14
1530626169,0,21
1530628096,0,11
1530630015,0,22
1530631936,0,23
1530633795,0,15
1530636391,55,20
1530638315,78,22
1530640340,81,23
1530642249,56,16
1530644172,77,27
1530646770,40,22
1530648850,46,22
1530650773,40,21
1530653128,35,23
1530654968,24,15
1530656886,29,13
1530658825,397,0
1530660739,20,22
1530662657,18,17
1530664568,30,24
1530666494,22,11
1530668408,20,17
1530670334,27,10
1530672254,25,10
1530674196,21,26
1530676106,25,15
1530678016,20,18
1530679947,21,11
1530681853,24,17
1530683775,19,21
1530685968,29,16
1530687871,21,19
1530690017,32,20
1530691962,28,21
1530693870,30,17
1530695790,39,17
1530697706,22,13
1530700226,29,429
1530702256,44,0
1530704177,32,0
1530706345,32,0
1530708252,28,1
1530710252,103,0
1530712360,51,0
1530714341,58,0
1530716791,25,0
1530718810,38,0
1530720734,16,0
1530722651,34,0
1530724571,15,0
1530727867,63,0
1530729862,19,0
1530731772,17,0
1530733703,24,0
1530735610,15,0
1530737531,19,0
1530739463,11,0
1530741370,21,0
1530743301,13,0
1530745228,25,0
1530747152,22,0
1530749061,30,0
1530750979,27,0
1530752895,24,0
1530754811,29,0
1530756733,27,0
1530758662,29,0
1530760815,31,0
1530762734,17,0
1530764659,10,0
1530766567,17,0
1530768489,17,0
1530770430,41,1
1530772417,30,0
1530774275,15,0
1530776173,21,1
1530778100,24,0
1530780012,20,0
1530781934,23,0
1530783863,20,0
1530786022,28,1099
1530787931,40,38
1530789866,620,0
1530792053,54,26
1530793934,31,33
1530795865,28,21
1530798019,29,24
1530799949,25,28
1530801858,26,30
1530803787,15,24
1530805705,22,20
1530807625,13,20
1530809533,55,27
1530811464,47,20
1530813408,26,22
1530815294,11,23
1530817239,27,24
1530819148,13,19
1530821075,15,36
1530823227,17,45
1530825285,19,39
1530827295,26,24
1530829218,23,27
1530831150,24,36
1530833809,560,0
1530835710,30,19
1530837627,33,26
1530839540,31,27
1530841472,7,15
1530843380,18,29
1530845320,17,28
1530847284,16,20
1530849168,16,16
1530851058,15,18
1530852996,34,30
1530854895,16,20
1530856842,42,14
1530858753,35,21
1530860668,35,22
1530862595,56,24
1530864502,14,33
1530866418,27,39
1530868351,22,39
1530870357,30,22
1530872555,35,1193
1530874586,36,47
1530876517,572,0
1530878467,49,35
1530880352,49,24
1530882278,34,27
1530884557,57,32
1530886362,33,29
1530888265,29,31
1530890426,36,32
1530892340,21,20
1530894264,28,12
1530896174,19,22
1530898102,32,22
1530900032,32,18
1530901938,25,20
1530903870,18,17
1530905773,21,21
1530907713,15,14
1530909624,27,24
1530911543,12,26
1530913467,17,25
1530915386,23,27
1530917299,83,39
1530919232,509,0
