DateTime,Entries,UniqueIPs
1530498502,2204,2204
1530500670,2207,2207
1530502572,2204,2204
1530504496,2205,2205
1530506417,2199,2199
1530508337,2194,2194
1530510251,2188,2188
1530512185,2190,2190
1530514093,2181,2181
1530516006,2187,2187
1530517956,2187,2187
1530519850,2188,2188
1530521709,2183,2183
1530523687,2174,2174
1530525623,1097,1097
1530528086,1110,1110
1530529948,1619,1619
1530531849,1614,1614
1530533775,1619,1619
1530535698,1624,1624
1530537610,1639,1639
1530539563,1642,1642
1530541453,1634,1634
1530543367,1619,1619
1530545298,1600,1600
1530547241,1589,1589
1530549137,1595,1595
1530551061,1592,1592
1530552972,1595,1595
1530554904,1608,1608
1530556815,1622,1622
1530558743,1632,1632
1530560651,1620,1620
1530562582,1596,1596
1530564763,1590,1590
1530566908,1568,1568
1530569002,1541,1541
1530570995,1508,1508
1530572902,1950,1950
1530574809,1919,1919
1530576773,1898,1898
1530578653,1876,1876
1530580646,1857,1857
1530582758,1844,1844
1530584650,1823,1823
1530586827,1786,1786
1530588741,1756,1756
1530590663,1734,1734
1530592694,1721,1721
1530594502,1706,1706
1530596419,1676,1676
1530598355,1672,1672
1530600262,1658,1658
1530602310,1647,1647
1530604350,1626,1626
1530606258,1609,1609
1530608181,1594,1594
1530610091,1574,1574
1530612045,551,551
1530614500,524,524
1530616351,945,945
1530618250,919,919
1530620432,901,901
1530622332,877,877
1530624257,865,865
1530626169,844,844
1530628096,833,833
1530630015,811,811
1530631936,788,788
1530633795,773,773
1530636391,808,808
1530638315,864,864
1530640340,922,922
1530642249,962,962
1530644172,1012,1012
1530646770,1030,1030
1530648850,1054,1054
1530650773,1073,1073
1530653128,1085,1085
1530654968,1094,1094
1530656886,1110,1110
1530658825,1507,1507
1530660739,1505,1505
1530662657,1506,1506
1530664568,1512,1512
1530666494,1523,1523
1530668408,1526,1526
1530670334,1543,1543
1530672254,1558,1558
1530674196,1553,1553
1530676106,1563,1563
1530678016,1565,1565
1530679947,1575,1575
1530681853,1582,1582
1530683775,1580,1580
1530685968,1593,1593
1530687871,1595,1595
1530690017,1607,1607
1530691962,1614,1614
1530693870,1627,1627
1530695790,1649,1649
1530697706,1658,1658
1530700226,1258,1258
1530702256,1302,1302
1530704177,1334,1334
1530706345,1366,1366
1530708252,1393,1393
1530710252,1496,1496
1530712360,1547,1547
1530714341,1605,1605
1530716791,1630,1630
1530718810,1668,1668
1530720734,1684,1684
1530722651,1718,1718
1530724571,1733,1733
1530727867,1796,1796
1530729862,1815,1815
1530731772,1832,1832
1530733703,1856,1856
1530735610,1871,1871
1530737531,1890,1890
1530739463,1901,1901
1530741370,1922,1922
1530743301,1935,1935
1530745228,1960,1960
1530747152,1982,1982
1530749061,2012,2012
1530750979,2039,2039
1530752895,2063,2063
1530754811,2092,2092
1530756733,2119,2119
1530758662,2148,2148
1530760815,2179,2179
1530762734,2196,2196
1530764659,2206,2206
1530766567,2223,2223
1530768489,2240,2240
1530770430,2280,2280
1530772417,2310,2310
1530774275,2325,2325
1530776173,2345,2345
1530778100,2369,2369
1530780012,2389,2389
1530781934,2412,2412
1530783863,2432,2432
1530786022,1361,1361
1530787931,1363,1363
1530789866,1983,1983
1530792053,2011,2011
1530793934,2009,2009
1530795865,2016,2016
1530798019,2021,2021
1530799949,2018,2018
1530801858,2014,2014
