DateTime,AddedIPs,RemovedIPs
1531005722,1,0
1531007522,1,0
1531008722,6,0
1531009322,0,4
1531009922,2,0
1531010522,0,1
1531011722,4,4
1531012321,1,2
1531012921,0,1
1531013522,3,2
1531014122,5,0
1531014722,4,2
1531015321,1,6
1531017121,1,0
1531017722,0,3
1531018322,2,15
1531018922,1,0
1531019522,1,8
1531020122,4,0
1531021322,1,10
1531021922,3,0
1531022523,10,0
1531023122,4,3
1531023722,2,0
1531024922,1,11
1531025522,1,0
1531026122,1,3
1531026722,1,3
1531027321,1,0
1531027922,5,13
1531029721,3,9
1531030921,2,11
1531031522,1,0
1531032122,2,0
1531033322,5,9
1531033922,0,1
1531034522,1,0
1531035722,0,5
1531036922,3,0
1531038122,0,2
1531039321,0,1
1531040522,0,7
1531042923,3,0
1531043522,13,0
1531044122,4,7
1531044722,4,0
1531045322,1,3
1531045922,4,0
1531046521,0,7
1531047122,2,0
1531047722,1,8
1531048923,2,0
1531051321,1,26
1531053721,0,3
1531055522,4,0
1531056122,5,19
1531056721,1,0
1531058522,8,0
1531060922,2,0
1531062121,0,23
1531063321,0,1
1531065722,8,1
1531066922,3,8
1531067522,0,3
1531068122,1,8
1531069322,17,1
1531069921,1,2
1531070522,1,0
1531071722,1,0
1531072922,1,5
1531074122,2,10
1531075323,1,0
1531075921,0,1
1531076522,1,0
1531077122,5,0
1531077722,7,0
1531078922,1,0
1531080122,1,0
1531081322,0,29
1531081922,2,0
1531082522,3,0
1531083122,1,5
1531083722,2,0
1531084922,2,4
1531086121,1,1
1531088522,1,5
1531089122,16,0
1531089722,2,0
1531090922,0,3
1531091522,7,0
1531092121,3,14
1531093322,8,3
1531094522,11,0
1531095723,3,1
1531096922,6,1
1531098121,2,1
1531099322,0,5
1531100522,2,9
1531101122,6,0
1531101722,1,2
1531102322,3,0
1531102921,4,1
1531103522,2,0
1531104122,2,12
1531104721,1,0
1531105322,3,8
1531106522,3,7
1531107122,6,0
1531107722,2,0
1531108922,0,1
1531110122,3,2
1531110722,1,10
1531111322,1,0
1531111922,1,0
1531112522,2,1
1531113122,4,0
1531113722,2,0
1531114322,1,1
1531114922,5,11
1531115522,2,4
1531116122,4,3
1531117322,1,5
1531117921,2,9
1531118521,0,2
1531119122,15,0
1531119721,3,0
1531120322,2,9
1531120922,0,2
1531122121,3,0
1531123322,2,3
1531123922,1,2
1531124522,2,0
1531125122,2,2
1531125722,3,1
1531126922,0,3
1531127522,6,0
1531128122,1,0
1531129322,3,0
1531129923,2,0
1531131722,2,1
