DateTime,AddedIPs,RemovedIPs
1531071722,46,0
1531072922,17,27
1531074121,20,34
1531074721,10,24
1531075323,15,14
1531075921,14,0
1531076522,18,42
1531077122,18,0
1531077722,8,10
1531078922,19,15
1531080122,12,15
1531081322,18,61
1531081922,9,0
1531082522,8,16
1531083722,39,19
1531084922,26,45
1531086121,13,0
1531088522,20,40
1531089122,18,0
1531089722,7,0
1531090922,21,20
1531091522,18,0
1531092121,15,11
1531092722,11,20
1531093321,13,17
1531094522,28,23
1531095722,17,25
1531096322,8,19
1531096922,20,51
1531097522,31,0
1531098121,12,0
1531098722,22,14
1531099322,14,8
1531099921,16,18
1531100522,8,11
1531101722,12,0
1531102921,9,21
1531104122,14,12
1531104721,15,17
1531105322,11,0
1531105922,8,2
1531106522,3,16
1531107722,14,7
1531108921,12,37
1531109522,8,0
1531110122,10,22
1531110722,3,0
1531111322,1,0
1531111922,1,10
1531112522,7,30
1531113122,5,10
1531113721,2,0
1531114922,19,33
1531115522,10,9
1531116122,11,14
1531117322,23,38
1531117921,12,4
1531118521,7,21
1531119721,14,0
1531120322,7,29
1531120922,6,0
1531121522,8,15
1531122121,4,0
1531122722,8,7
1531123322,6,27
1531124522,13,26
1531125122,9,34
1531125722,13,13
1531126922,21,19
1531127522,7,16
1531128122,18,7
1531129322,14,11
1531129922,3,28
1531130521,4,0
1531131122,2,15
1531131722,6,22
1531132322,7,0
1531132922,9,9
1531134121,3,32
1531135322,9,4
1531136521,26,38
1531137721,31,32
1531138322,27,10
1531138922,14,12
1531139521,3,0
1531140122,10,24
1531141322,7,10
1531141921,4,9
1531142522,10,21
1531143721,22,19
1531144922,24,12
1531145522,14,0
1531146121,9,0
1531146722,13,0
1531147322,5,27
1531147922,12,13
1531148522,7,10
1531149122,3,0
1531150322,4,13
1531150921,3,34
1531151521,12,0
1531152122,4,48
1531152722,7,0
1531153321,18,7
1531153921,11,10
1531154522,13,18
1531155722,9,25
1531156922,26,46
1531158121,22,66
1531158722,21,0
1531159322,10,0
1531159921,38,20
1531160522,10,19
1531161122,22,24
1531161721,18,21
