DateTime,AddedIPs,RemovedIPs
1531074721,82,82
1531075323,83,83
1531075921,91,91
1531076522,83,83
1531077122,83,83
1531077722,36,36
1531078922,85,85
1531080122,78,78
1531081322,58,58
1531081922,32,32
1531082522,39,39
1531083722,100,100
1531084922,98,98
1531086121,85,85
1531088522,87,87
1531089122,85,85
1531089722,83,83
1531090922,98,98
1531091522,92,92
1531092121,87,87
1531092722,84,84
1531093321,79,79
1531094522,98,98
1531095722,100,100
1531096322,87,87
1531096922,89,89
1531097522,86,86
1531098121,66,66
1531098722,81,81
1531099322,48,48
1531099921,78,78
1531100522,58,58
1531101722,85,85
1531102921,81,81
1531104122,74,74
1531104721,52,52
1531105322,69,69
1531105922,58,58
1531106522,35,35
1531107722,83,83
1531108921,95,95
1531109522,74,74
1531110122,75,75
1531110722,41,41
1531111322,47,47
1531111922,45,45
1531112522,70,70
1531113122,66,66
1531113721,38,38
1531114922,96,96
1531115522,68,68
1531116122,53,53
1531117322,84,84
1531117921,67,67
1531118521,49,49
1531119721,69,69
1531120322,28,28
1531120922,65,65
1531121522,80,80
1531122121,41,41
1531122722,67,67
1531123322,49,49
1531124522,82,82
1531125122,53,53
1531125722,53,53
1531126922,85,85
1531127522,46,46
1531128122,58,58
1531129322,72,72
1531129922,33,33
1531130521,21,21
1531131122,15,15
1531131722,39,39
1531132322,60,60
1531132922,61,61
1531134121,63,63
1531135322,53,53
1531136521,86,86
1531137721,84,84
1531138322,83,83
1531138922,63,63
1531139521,24,24
1531140122,49,49
1531141322,44,44
1531141921,31,31
1531142522,42,42
1531143721,80,80
1531144922,75,75
1531145522,49,49
1531146121,46,46
1531146722,43,43
1531147322,39,39
1531147922,56,56
1531148522,56,56
1531149122,59,59
1531149722,40,40
1531150322,36,36
1531150921,27,27
1531151521,50,50
1531152122,50,50
1531152722,26,26
1531153321,62,62
1531153921,71,71
1531154522,85,85
1531155722,91,91
1531156922,98,98
1531158121,100,100
1531158722,87,87
1531159322,25,25
1531159921,90,90
1531160522,74,74
1531161122,79,79
1531161721,78,78
1531162922,98,98
1531164122,54,54
1531164722,38,38
1531165322,20,20
1531165922,59,59
1531166521,31,31
1531167122,27,27
1531167722,77,77
1531169521,85,85
1531170122,42,42
1531170722,76,76
1531171321,83,83
1531171921,52,52
1531172522,54,54
1531173721,75,75
1531174322,14,14
1531174922,72,72
1531176122,100,100
1531177322,97,97
1531177922,89,89
1531178522,86,86
1531179721,100,100
1531180321,89,89
1531180922,87,87
1531182122,96,96
1531182722,85,85
1531183322,80,80
1531184521,100,100
1531185122,94,94
1531185722,79,79
1531186322,77,77
1531186922,93,93
1531187522,92,92
1531188122,81,81
1531189322,98,98
1531189922,78,78
1531190522,47,47
1531191721,96,96
1531192322,71,71
1531192922,73,73
1531193522,75,75
1531194122,61,61
